"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.074080360E-1;-5.389773846E-2;-6.481528282E-2;2.801074982E-1
1.254502720E-1;-1.209200621E-1;7.046353817E-2;-3.295631409E-1
1.434936680E-1;-7.478034496E-2;1.410305500E-2;3.278141022E-1
1.615307780E-1;-6.614160538E-2;6.148374081E-2;-2.396163940E-1
1.795703280E-1;-9.191262722E-2;9.411215782E-3;8.404922485E-2
1.976167760E-1;-8.401250839E-2;5.220723152E-2;-1.250591278E-1
2.156565710E-1;-1.190135479E-1;5.163812637E-2;6.480026245E-2
2.336981360E-1;-4.914236069E-2;1.053482294E-1;-5.590438843E-3
2.517430570E-1;3.940141201E-2;7.404804230E-2;-2.486705780E-2
2.697774200E-1;4.688310623E-2;3.804147243E-2;-4.873561859E-2
2.878230140E-1;1.785250902E-1;8.762824535E-2;-7.205486298E-2
3.058636020E-1;1.333051920E-1;9.992611408E-2;-1.948547363E-2
3.239065100E-1;1.836690903E-1;1.024644375E-1;-6.258392334E-2
3.419485630E-1;3.394589424E-1;1.051982641E-1;1.913452148E-2
3.599812780E-1;3.346824646E-1;1.465116739E-1;-5.237007141E-2
3.780302890E-1;3.525596857E-1;1.265584230E-1;-6.716442108E-2
3.960733190E-1;3.432700634E-1;1.737693548E-1;-5.809783936E-2
4.141133580E-1;3.442478180E-1;2.589521408E-1;-3.428459167E-2
4.321555330E-1;1.307443142E0;5.505528450E-1;2.084732056E-3
4.501933750E-1;4.043986797E-1;1.842470169E-1;1.815414429E-1
4.682334750E-1;4.521250725E-2;1.266028881E-1;-1.932725906E-1
4.862776640E-1;1.099749804E0;6.984592676E-1;-3.253831863E-1
5.043178860E-1;6.474018097E-2;3.231630325E-1;1.714611053E-1
5.223597570E-1;3.645966053E-1;7.655484676E-1;-6.914997101E-2
5.404007720E-1;-2.523464561E-1;4.294390678E-1;-1.763458252E-1
5.584413000E-1;3.740181923E-1;6.539826393E-1;8.791732788E-2
5.764842690E-1;-1.998887658E-1;5.558966398E-1;-1.553268433E-1
5.945111840E-1;4.283056259E-1;6.410384178E-1;-6.875610352E-2
6.125696560E-1;6.900990009E-2;3.773659468E-1;1.620769501E-2
6.306053010E-1;4.196131229E-2;4.532870054E-1;-8.578681946E-2
6.486461940E-1;5.131900311E-1;4.303883314E-1;7.610225677E-2
6.666916050E-1;8.656704426E-2;2.118071318E-1;-3.865623474E-2
6.847331080E-1;1.191518307E0;6.290115118E-1;-2.581691742E-1
7.027769320E-1;-1.191571951E0;2.243328094E-2;-6.891422272E-1
7.208118440E-1;1.640718222E0;5.152413845E-1;8.817338943E-1
7.388522500E-1;2.429436684E0;1.377265930E0;-4.737758636E-2
7.568955230E-1;1.776500344E-1;6.974601746E-2;1.084918976E-1
7.749442290E-1;5.389913321E-1;7.483911514E-1;-1.174640656E-1
7.929838410E-1;1.042369008E0;5.135943890E-1;-6.166515350E-1
8.110171660E-1;2.187995911E-1;1.065541506E-1;-3.042030334E-2
8.290628820E-1;1.011277914E0;6.665250063E-1;-2.553739548E-1
8.471070100E-1;7.959390283E-1;5.514663458E-1;6.262331009E-1
8.651467440E-1;-4.818028212E-2;2.634941339E-1;-2.118721008E-1
8.831928860E-1;6.138336658E-2;2.693877220E-1;-5.876073837E-1
9.012257230E-1;2.352811694E-1;3.329837322E-1;-2.088460922E-1
9.192707670E-1;-2.149557173E-1;5.210129023E-1;-2.885951996E-1
9.373134920E-1;2.018890977E-1;4.770343304E-1;7.166290283E-2
9.553540800E-1;-2.798815966E-1;4.417520761E-1;3.526916504E-1
9.733982690E-1;-1.750005007E0;6.990426779E-1;-1.447361946E0
9.914339150E-1;8.103638887E-1;6.613049507E-1;1.209480286E0
1.009474625E0;6.757986546E-1;3.313480616E-1;2.278499603E-1
1.027516128E0;1.921547651E-1;6.097607613E-1;-5.750207901E-1
1.045559525E0;-1.351997972E0;-5.033465624E-1;4.826812744E-1
1.063606888E0;4.384570718E-1;5.035387278E-1;-6.158294678E-1
1.081644790E0;2.089252025E-1;-3.351169229E-1;-5.640716553E-1
1.099682206E0;1.016635299E0;2.352331877E-1;5.219173431E-2
1.117713273E0;-3.610568047E-1;1.344994307E-1;-4.844636917E-1
1.135768204E0;-1.084998697E-1;3.331221342E-1;2.415065765E-1
1.153810806E0;-3.603896499E-1;2.275859118E-1;-9.113845825E-1
1.171853226E0;1.033923775E-1;-4.526233673E-2;4.081439972E-2
1.189888993E0;6.922355294E-1;2.810906172E-1;6.685256958E-1
1.207935379E0;4.246753454E-2;2.813478708E-1;4.742383957E-1
1.225975113E0;-2.838134170E-1;-1.463838816E-1;-5.420951843E-1
1.244007340E0;-5.836402178E-1;-3.264039159E-1;-3.733110428E-1
1.262060196E0;5.173356533E-1;1.497020721E-1;6.777849197E-1
1.280092300E0;1.014717460E0;2.657914162E-1;6.937952042E-1
1.298146317E0;2.220741808E-1;2.060142756E-1;-5.263395309E-1
1.316182755E0;-1.062189937E-1;-1.000298262E-1;-7.303123474E-1
1.334221390E0;-2.915659547E-2;2.869429588E-1;-2.030839920E-1
1.352268693E0;6.182798743E-1;4.409266710E-1;5.860233307E-1
1.370302993E0;7.411147356E-1;1.519640684E-1;4.647293091E-1
1.388346451E0;7.043591142E-1;1.870535612E-1;-4.413013458E-1
1.406390091E0;-2.419450879E-2;5.024315119E-1;3.444862366E-2
1.424431046E0;-8.674753904E-1;5.076096058E-1;1.937408447E-1
1.442476395E0;-1.329351664E0;6.198859215E-2;-1.647307396E0
1.460513749E0;1.292223454E0;1.658068776E0;3.988943100E-1
1.478552323E0;-1.386663795E0;1.002431750E0;-8.585367203E-1
1.496586075E0;6.267380714E-1;1.861933470E-1;3.917579651E-1
1.514639541E0;-1.431168318E-1;7.091922760E-1;-1.223154068E-1
1.532683121E0;-1.704871953E-1;1.208037376E0;1.009969711E-1
1.550718582E0;5.284062624E-1;1.251134515E0;7.664804459E-1
1.568757828E0;3.342857063E-1;7.156825066E-1;-1.321316719E0
1.586804093E0;5.487909913E-1;5.006757975E-1;2.552032471E-3
1.604846878E0;7.690767050E-1;1.333914876E0;-2.188034058E-1
1.622889664E0;9.049412012E-1;-3.258621693E-2;3.720035553E-1
1.640925125E0;7.022774220E-1;7.232919931E-1;-4.946460724E-1
1.658963333E0;1.910163760E-1;1.032549858E0;-7.271022797E-1
1.677016190E0;3.580113649E-1;2.907595634E-1;5.710563660E-1
1.695052445E0;2.187708467E-1;5.469231606E-1;-5.380001068E-1
1.713097244E0;3.269255161E-2;6.028052568E-1;-1.548328400E-1
1.731132095E0;1.927264333E-1;3.001027107E-1;5.518321991E-1
1.749173661E0;1.017453969E-1;1.637316942E-1;-2.200851440E-1
1.767215714E0;-1.171646595E0;2.983375788E-1;-4.022321701E-1
1.785260819E0;-8.485624790E-1;1.263082862E0;2.003612518E-1
1.803302932E0;-7.359490991E-1;2.065893650E0;-7.021942139E-1
1.821340957E0;-1.119392514E0;1.346165538E0;-1.449671745E0
1.839381119E0;-8.248547912E-1;1.986042738E0;3.331718445E-1
1.857428116E0;-1.060247421E-3;1.073043227E0;8.569650650E-1
1.875467850E0;3.452926278E-1;9.714019299E-1;3.065567017E-1
1.893512100E0;5.334428549E-1;2.050233841E0;-1.664432526E0
1.911548843E0;7.117289305E-1;1.947253585E0;-1.736869812E-1
1.929587967E0;2.267978787E-1;1.604462385E0;-5.975532532E-1
1.947634597E0;8.896306157E-1;2.726524353E0;8.929443359E-2
1.965675247E0;2.480717599E-1;2.770171642E0;2.877092361E-1
1.983717911E0;-6.268692017E-1;3.857700348E0;-1.022909164E0
2.001760879E0;-1.476114154E0;4.287412643E0;-1.403890610E0
2.019788834E0;-1.133409262E0;3.301712513E0;-3.568944931E-1
2.037842545E0;-1.418517709E0;3.772829533E0;-5.025320053E-1
2.055882462E0;-7.299739718E-1;3.412289619E0;-1.134099960E0
2.073926102E0;-3.702509403E-1;4.046903610E0;-3.710385799E0
2.091967118E0;-9.702044725E-1;1.750742078E0;-8.001060486E-1
2.110002884E0;-9.679425955E-1;-6.323051453E-2;3.904481888E0
2.128051284E0;-2.323876619E-1;2.443391085E-1;1.182068825E0
2.146090408E0;7.335525751E-1;6.219906807E-1;2.075929642E-1
2.164122635E0;-1.543878317E-1;1.243653297E-1;-1.252496719E0
2.182174759E0;-8.195126057E-1;-2.745857239E-1;-2.758398056E-1
2.200212357E0;-4.391652346E-1;-2.320011139E0;7.158441544E-1
2.218257645E0;1.335625291E0;-2.763385773E0;1.124330521E0
2.236296707E0;2.189921141E0;3.071190834E0;4.453086853E-1
2.254341812E0;1.243628860E0;-7.029305696E-1;-1.207155228E0
2.272383133E0;4.737506509E-1;-7.032074928E-1;6.279640198E-1
2.290419083E0;-1.738024831E0;3.655605316E-1;-3.015170574E0
2.308466140E0;2.465473413E0;-1.700475931E0;4.036961555E0
2.326511856E0;-3.468147516E-1;-5.638091564E-1;-9.513158798E-1
2.344548172E0;9.209740162E-1;-1.106807351E0;1.124763489E-1
2.362591386E0;-8.541787863E-1;-1.469800711E0;1.366587639E0
2.380626297E0;-7.126708031E-1;-1.915443182E0;-6.900968552E-1
2.398668900E0;4.091501832E-1;-2.103803396E0;1.712238312E0
2.416708267E0;1.600431085E0;-1.334000945E0;1.497602463E-1
2.434755936E0;1.052853346E0;-2.025582552E0;1.001986504E0
2.452798660E0;3.279706836E-1;-1.126624823E0;8.296012878E-2
2.470834793E0;7.654176354E-1;-1.620380521E0;1.910514832E-1
2.488875320E0;1.224590540E-1;-5.608338118E-2;1.111450195E-1
2.506921036E0;1.450603485E0;-8.107223511E-1;-5.030126572E-1
2.524964188E0;6.493889689E-1;5.959746242E-1;4.744939804E-1
