"event","experiment time","system time","system time text"
"START",0.000000000E0,1720954923.582,"2024-07-14 13:02:03.582 UTC+02:00"
"PAUSE",1.808594192E1,1720954941.667,"2024-07-14 13:02:21.667 UTC+02:00"
