"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.441538100E-1,1.072692871E-2,6.439208984E-3,-6.698608398E-3
7.491892110E-1,1.023864746E-2,2.914428711E-3,-5.920410156E-3
7.542246110E-1,1.071166992E-2,4.119873047E-4,-6.210327148E-3
7.592600110E-1,9.628295898E-3,2.563476562E-3,-6.988525391E-3
7.642954120E-1,8.880615234E-3,4.730224609E-3,-6.652832031E-3
7.693308120E-1,9.201049805E-3,5.889892578E-3,-5.920410156E-3
7.743662120E-1,9.948730469E-3,4.470825195E-3,-6.591796875E-3
7.794016130E-1,9.948730469E-3,2.655029297E-3,-7.690429688E-3
7.844370130E-1,9.948730469E-3,2.655029297E-3,-7.339477539E-3
7.894724140E-1,9.567260742E-3,4.455566406E-3,-8.422851562E-3
7.945078140E-1,8.880615234E-3,5.157470703E-3,-8.361816406E-3
7.995432140E-1,8.880615234E-3,5.920410156E-3,-7.369995117E-3
8.045786150E-1,8.880615234E-3,8.483886719E-3,-8.056640625E-3
8.096140150E-1,9.689331055E-3,1.089477539E-2,-8.865356445E-3
8.146494160E-1,1.101684570E-2,9.887695312E-3,-9.353637695E-3
8.196848160E-1,1.185607910E-2,5.584716797E-3,-8.056640625E-3
8.247202160E-1,1.271057129E-2,4.776000977E-3,-8.483886719E-3
8.297556170E-1,1.072692871E-2,9.078979492E-3,-8.666992188E-3
8.347910170E-1,9.338378906E-3,1.339721680E-2,-7.583618164E-3
8.398264180E-1,9.948730469E-3,1.441955566E-2,-6.042480469E-3
8.448618180E-1,9.948730469E-3,1.118469238E-2,-4.852294922E-3
8.498972180E-1,1.091003418E-2,8.453369141E-3,-5.813598633E-3
8.549326190E-1,1.208496094E-2,7.781982422E-3,-5.996704102E-3
8.599680190E-1,1.107788086E-2,9.857177734E-3,-4.348754883E-3
8.650034190E-1,9.948730469E-3,1.257324219E-2,-3.784179688E-3
8.700388200E-1,9.948730469E-3,1.316833496E-2,-3.784179688E-3
8.750742200E-1,1.046752930E-2,1.263427734E-2,-2.716064453E-3
8.801096210E-1,1.155090332E-2,1.263427734E-2,-1.647949219E-3
8.851450210E-1,1.098632812E-2,1.208496094E-2,-2.182006836E-3
8.901804210E-1,1.049804688E-2,1.156616211E-2,-2.716064453E-3
8.952158220E-1,1.158142090E-2,1.098632812E-2,-3.280639648E-3
9.002512220E-1,1.150512695E-2,1.280212402E-2,-2.624511719E-3
9.052866230E-1,1.042175293E-2,1.652526855E-2,-1.647949219E-3
9.103220230E-1,9.353637695E-3,1.678466797E-2,-2.227783203E-3
9.153574230E-1,8.880615234E-3,1.461791992E-2,-2.105712891E-3
9.203928240E-1,7.644653320E-3,1.307678223E-2,-1.647949219E-3
9.254282240E-1,6.118774414E-3,1.387023926E-2,-2.258300781E-3
9.304636250E-1,6.301879883E-3,1.666259766E-2,-3.967285156E-3
9.354990250E-1,6.088256836E-3,1.731872559E-2,-5.493164062E-3
9.405344250E-1,5.676269531E-3,1.690673828E-2,-5.264282227E-3
9.455698260E-1,4.348754883E-3,1.690673828E-2,-4.180908203E-3
9.506052260E-1,4.867553711E-3,1.756286621E-2,-4.440307617E-3
9.556406270E-1,4.989624023E-3,1.864624023E-2,-5.523681641E-3
9.606760270E-1,4.608154297E-3,1.904296875E-2,-5.920410156E-3
9.657114270E-1,4.608154297E-3,1.904296875E-2,-5.218505859E-3
9.707468280E-1,5.310058594E-3,1.904296875E-2,-4.852294922E-3
9.757822280E-1,4.959106445E-3,2.046203613E-2,-4.852294922E-3
9.808176280E-1,3.875732422E-3,2.189636230E-2,-4.119873047E-3
9.858530290E-1,4.272460938E-3,1.930236816E-2,-3.036499023E-3
9.908884290E-1,6.088256836E-3,1.647949219E-2,-2.716064453E-3
9.959238300E-1,6.744384766E-3,1.507568359E-2,-1.953125000E-3
1.000959230E0,5.966186523E-3,1.629638672E-2,-8.697509766E-4
1.005994630E0,7.217407227E-3,1.844787598E-2,1.983642578E-4
1.011030031E0,6.240844727E-3,1.747131348E-2,1.281738281E-3
1.016065431E0,4.882812500E-3,1.611328125E-2,7.781982422E-4
1.021100832E0,3.005981445E-3,1.583862305E-2,4.882812500E-4
1.026136232E0,2.471923828E-3,1.745605469E-2,-3.204345703E-4
1.031171632E0,8.239746094E-4,1.878356934E-2,1.068115234E-3
1.036207033E0,2.822875977E-3,1.904296875E-2,2.395629883E-3
1.041242433E0,3.540039062E-3,1.904296875E-2,9.765625000E-4
1.046277834E0,2.685546875E-3,1.988220215E-2,1.342773438E-3
1.051313234E0,7.476806641E-4,1.924133301E-2,1.556396484E-3
1.056348634E0,3.356933594E-4,1.904296875E-2,1.556396484E-3
1.061384035E0,1.205444336E-3,1.815795898E-2,1.556396484E-3
1.066419435E0,-3.814697266E-4,1.885986328E-2,6.713867188E-4
1.071454836E0,-7.324218750E-4,1.992797852E-2,1.388549805E-3
1.076490236E0,-7.324218750E-4,1.919555664E-2,6.561279297E-4
1.081525636E0,1.831054688E-4,1.811218262E-2,-4.272460938E-4
1.086561037E0,-5.950927734E-4,1.982116699E-2,-1.495361328E-3
1.091596437E0,-7.324218750E-4,2.104187012E-2,-7.019042969E-4
1.096631837E0,-1.678466797E-3,2.210998535E-2,-5.798339844E-4
1.101667238E0,-1.800537109E-3,2.128601074E-2,-1.525878906E-3
1.106702638E0,-1.800537109E-3,2.020263672E-2,3.051757812E-4
1.111738039E0,-1.800537109E-3,2.206420898E-2,4.882812500E-4
1.116773439E0,-2.792358398E-3,2.420043945E-2,4.882812500E-4
1.121808839E0,-3.860473633E-3,2.438354492E-2,1.480102539E-3
1.126844240E0,6.103515625E-5,1.835632324E-2,2.563476562E-3
1.131879640E0,3.356933594E-4,1.695251465E-2,6.103515625E-4
1.136915041E0,-6.866455078E-4,2.507019043E-2,4.882812500E-4
1.141950441E0,-1.770019531E-3,3.161621094E-2,4.882812500E-4
1.146985841E0,2.746582031E-4,2.976989746E-2,3.616333008E-3
1.152021242E0,2.426147461E-3,2.447509766E-2,4.745483398E-3
1.157056642E0,2.471923828E-3,2.331542969E-2,5.828857422E-3
1.162092043E0,3.356933594E-4,2.865600586E-2,4.760742188E-3
1.167127443E0,-7.324218750E-4,3.073120117E-2,3.707885742E-3
1.172162843E0,3.356933594E-4,2.645874023E-2,4.760742188E-3
1.177198244E0,2.593994141E-4,2.340698242E-2,4.730224609E-3
1.182233644E0,-1.846313477E-3,2.651977539E-2,3.692626953E-3
1.187269044E0,-2.777099609E-3,2.627563477E-2,3.692626953E-3
1.192304445E0,-7.324218750E-4,2.105712891E-2,3.753662109E-3
