"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.704900980E-1,1.770019531E-3,4.455566406E-3,2.624511719E-3
3.755254980E-1,1.693725586E-3,5.157470703E-3,2.243041992E-3
3.805608990E-1,7.324218750E-4,5.554199219E-3,1.556396484E-3
3.855962990E-1,1.403808594E-3,5.386352539E-3,1.556396484E-3
3.906316990E-1,2.243041992E-3,3.662109375E-3,1.556396484E-3
3.956671000E-1,3.097534180E-3,3.890991211E-3,1.129150391E-3
4.007025000E-1,2.471923828E-3,4.699707031E-3,9.460449219E-4
4.057379010E-1,2.471923828E-3,3.631591797E-3,1.113891602E-3
4.107733010E-1,2.929687500E-3,3.479003906E-3,3.051757812E-5
4.158087010E-1,2.563476562E-3,4.562377930E-3,-5.798339844E-4
4.208441020E-1,3.967285156E-4,5.645751953E-3,9.155273438E-4
4.258795020E-1,-7.324218750E-4,5.203247070E-3,2.624511719E-3
4.309149020E-1,-2.136230469E-4,4.608154297E-3,1.586914062E-3
4.359503030E-1,8.697509766E-4,4.608154297E-3,1.037597656E-3
4.409857030E-1,1.403808594E-3,3.524780273E-3,1.007080078E-3
4.460211040E-1,1.403808594E-3,3.021240234E-3,-6.103515625E-5
4.510565040E-1,1.403808594E-3,3.021240234E-3,-5.798339844E-4
4.560919040E-1,1.403808594E-3,3.021240234E-3,1.525878906E-5
4.611273050E-1,1.403808594E-3,3.021240234E-3,4.882812500E-4
4.661627050E-1,1.831054688E-4,3.021240234E-3,-1.068115234E-4
4.711981060E-1,-1.220703125E-4,2.395629883E-3,4.577636719E-5
4.762335060E-1,3.356933594E-4,2.578735352E-3,1.129150391E-3
4.812689060E-1,-3.204345703E-4,3.021240234E-3,1.556396484E-3
4.863043070E-1,-7.324218750E-4,3.021240234E-3,9.155273438E-4
4.913397070E-1,-7.324218750E-4,3.021240234E-3,-1.678466797E-4
4.963751080E-1,-1.419067383E-3,3.021240234E-3,1.068115234E-4
5.014105080E-1,-3.204345703E-3,3.021240234E-3,4.882812500E-4
5.064459080E-1,-3.234863281E-3,3.021240234E-3,1.205444336E-3
5.114813090E-1,-1.434326172E-3,3.021240234E-3,2.288818359E-3
5.165167090E-1,-1.480102539E-3,2.273559570E-3,1.159667969E-3
5.215521100E-1,-1.800537109E-3,3.433227539E-3,-2.441406250E-4
5.265875100E-1,-2.563476562E-3,2.563476562E-3,9.460449219E-4
5.316229100E-1,-2.868652344E-3,1.953125000E-3,2.334594727E-3
5.366583110E-1,-2.090454102E-3,2.731323242E-3,1.846313477E-3
5.416937110E-1,-2.593994141E-3,2.227783203E-3,2.349853516E-3
5.467291110E-1,-2.868652344E-3,1.953125000E-3,1.831054688E-3
5.517645120E-1,-2.059936523E-3,1.953125000E-3,2.380371094E-3
5.567999120E-1,-1.800537109E-3,2.777099609E-3,1.800537109E-3
5.618353130E-1,-1.800537109E-3,2.166748047E-3,7.171630859E-4
5.668707130E-1,-1.800537109E-3,2.792358398E-3,2.197265625E-3
5.719061130E-1,-9.460449219E-4,3.021240234E-3,2.624511719E-3
5.769415140E-1,-3.372192383E-3,2.136230469E-3,2.624511719E-3
5.819769140E-1,-3.051757812E-3,1.953125000E-3,1.739501953E-3
5.870123150E-1,-2.868652344E-3,1.037597656E-3,6.561279297E-4
5.920477150E-1,-2.868652344E-3,1.800537109E-3,1.419067383E-3
5.970831150E-1,-2.868652344E-3,1.953125000E-3,1.556396484E-3
6.021185160E-1,-3.814697266E-3,1.953125000E-3,-3.051757812E-4
6.071539160E-1,-3.936767578E-3,9.918212891E-4,-5.798339844E-4
6.121893170E-1,-2.975463867E-3,2.807617188E-3,2.319335938E-3
6.172247170E-1,-3.845214844E-3,2.044677734E-3,2.624511719E-3
6.222601170E-1,-2.960205078E-3,9.613037109E-4,2.624511719E-3
6.272955180E-1,-1.876831055E-3,1.876831055E-3,1.632690430E-3
6.323309180E-1,-1.800537109E-3,9.307861328E-4,3.585815430E-3
6.373663180E-1,-2.822875977E-3,8.850097656E-4,2.685546875E-3
6.424017190E-1,-3.906250000E-3,8.850097656E-4,1.602172852E-3
6.474371190E-1,-3.936767578E-3,-1.678466797E-4,1.556396484E-3
6.524725200E-1,-2.883911133E-3,-1.251220703E-3,5.035400391E-4
6.575079200E-1,-1.800537109E-3,-1.831054688E-4,1.571655273E-3
6.625433200E-1,-7.781982422E-4,9.002685547E-4,2.609252930E-3
6.675787210E-1,-2.914428711E-3,1.953125000E-3,1.556396484E-3
6.726141210E-1,-3.936767578E-3,1.861572266E-3,1.602172852E-3
6.776495220E-1,-3.890991211E-3,-1.373291016E-4,2.624511719E-3
6.826849220E-1,-2.944946289E-3,8.850097656E-4,2.563476562E-3
6.877203220E-1,-3.936767578E-3,7.934570312E-4,1.556396484E-3
6.927557230E-1,-3.845214844E-3,-9.155273438E-5,1.556396484E-3
6.977911230E-1,-2.868652344E-3,8.850097656E-4,1.556396484E-3
7.028265240E-1,-2.761840820E-3,7.629394531E-4,1.556396484E-3
7.078619240E-1,-1.937866211E-3,-3.204345703E-4,1.556396484E-3
7.128973240E-1,-2.746582031E-3,-1.251220703E-3,1.434326172E-3
7.179327250E-1,-1.663208008E-3,-9.613037109E-4,6.408691406E-4
7.229681250E-1,-7.324218750E-4,5.493164062E-4,1.892089844E-3
7.280035260E-1,-1.266479492E-3,-1.083374023E-3,3.341674805E-3
7.330389260E-1,-3.936767578E-3,-3.814697266E-4,1.556396484E-3
7.380743260E-1,-3.540039062E-3,-1.052856445E-3,1.556396484E-3
7.431097270E-1,-2.029418945E-3,-1.831054688E-4,1.556396484E-3
7.481451270E-1,-3.112792969E-3,-1.831054688E-4,2.029418945E-3
7.531805270E-1,-3.707885742E-3,-1.831054688E-4,3.463745117E-3
7.582159280E-1,-3.128051758E-3,6.103515625E-5,2.624511719E-3
7.632513280E-1,-4.211425781E-3,8.850097656E-4,2.624511719E-3
7.682867290E-1,-4.455566406E-3,5.950927734E-4,2.914428711E-3
7.733221290E-1,-2.868652344E-3,-1.831054688E-4,3.128051758E-3
7.783575290E-1,-3.173828125E-3,1.068115234E-4,1.861572266E-3
7.833929300E-1,-3.631591797E-3,2.441406250E-4,2.624511719E-3
7.884283300E-1,-2.868652344E-3,-1.251220703E-3,2.624511719E-3
7.934637310E-1,-2.532958984E-3,-1.251220703E-3,2.624511719E-3
