"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.815367200E-2,-2.981567383E-1,9.590347290E0,-9.438781738E0
4.318907200E-2,-3.027496338E-1,9.599456787E0,-9.452774048E0
4.822447300E-2,-2.863159180E-1,9.572082520E0,-9.444381714E0
5.325987300E-2,-2.804412842E-1,9.556304932E0,-9.407806396E0
5.829527400E-2,-3.296356201E-1,9.572570801E0,-9.402954102E0
6.333067400E-2,-3.145751953E-1,9.562011719E0,-9.408386230E0
6.836607400E-2,-3.236694336E-1,9.565902710E0,-9.429412842E0
7.340147500E-2,-3.408355713E-1,9.587585449E0,-9.404251099E0
7.843687500E-2,-3.424682617E-1,9.581726074E0,-9.428268433E0
8.347227600E-2,-3.300170898E-1,9.547592163E0,-9.421600342E0
8.850767600E-2,-3.376159668E-1,9.553649902E0,-9.401519775E0
9.354307600E-2,-3.278503418E-1,9.547698975E0,-9.428771973E0
9.857847700E-2,-3.044281006E-1,9.557952881E0,-9.447814941E0
1.036138770E-1,-2.927551270E-1,9.575958252E0,-9.408493042E0
1.086492770E-1,-2.837371826E-1,9.553741455E0,-9.389694214E0
1.136846780E-1,-2.886199951E-1,9.557449341E0,-9.397613525E0
1.187200780E-1,-2.611846924E-1,9.489028931E0,-9.352172852E0
1.237554790E-1,-3.126831055E-1,9.534057617E0,-9.411529541E0
1.287908790E-1,-3.080596924E-1,9.540451050E0,-9.404769897E0
1.338262790E-1,-2.699890137E-1,9.560684204E0,-9.459701538E0
1.388616800E-1,-2.662048340E-1,9.587646484E0,-9.460494995E0
1.438970800E-1,-3.067779541E-1,9.564498901E0,-9.401916504E0
1.489324810E-1,-3.266754150E-1,9.572998047E0,-9.392883301E0
1.539678810E-1,-3.187866211E-1,9.571578979E0,-9.387161255E0
1.590032810E-1,-3.046875000E-1,9.581176758E0,-9.377883911E0
1.640386820E-1,-3.090209961E-1,9.572341919E0,-9.426712036E0
1.690740820E-1,-3.077850342E-1,9.579360962E0,-9.425247192E0
1.741094830E-1,-3.075103760E-1,9.582550049E0,-9.361953735E0
1.791448830E-1,-3.009948730E-1,9.561019897E0,-9.392166138E0
1.841802830E-1,-2.915496826E-1,9.536926270E0,-9.373580933E0
1.892156840E-1,-2.975158691E-1,9.550720215E0,-9.354064941E0
1.942510840E-1,-3.249816895E-1,9.556335449E0,-9.424758911E0
1.992864850E-1,-3.106079102E-1,9.549774170E0,-9.442626953E0
2.043218850E-1,-3.145141602E-1,9.581756592E0,-9.390182495E0
2.093572850E-1,-3.006439209E-1,9.578109741E0,-9.430557251E0
2.143926860E-1,-2.861785889E-1,9.537811279E0,-9.450271606E0
2.194280860E-1,-3.570098877E-1,9.584884644E0,-9.350585938E0
2.244634860E-1,-2.778015137E-1,9.540420532E0,-9.380554199E0
2.294988870E-1,-3.416137695E-1,9.566635132E0,-9.462265015E0
2.345342870E-1,-2.902526855E-1,9.581054688E0,-9.388046265E0
2.395696880E-1,-2.766876221E-1,9.542434692E0,-9.430175781E0
2.446050880E-1,-2.811431885E-1,9.547180176E0,-9.405639648E0
2.496404880E-1,-3.134307861E-1,9.583770752E0,-9.383422852E0
2.546758890E-1,-3.004455566E-1,9.566940308E0,-9.466369629E0
2.597112890E-1,-3.239898682E-1,9.573074341E0,-9.429748535E0
2.647466900E-1,-3.009033203E-1,9.552871704E0,-9.396667480E0
2.697820900E-1,-3.057250977E-1,9.581283569E0,-9.417236328E0
2.748174900E-1,-3.074493408E-1,9.587860107E0,-9.374740601E0
2.798528910E-1,-2.992553711E-1,9.588912964E0,-9.429946899E0
2.848882910E-1,-3.463439941E-1,9.577316284E0,-9.449661255E0
2.899236920E-1,-3.186645508E-1,9.549453735E0,-9.453903198E0
2.949590920E-1,-3.056793213E-1,9.560943604E0,-9.487991333E0
2.999944920E-1,-3.605957031E-1,9.558532715E0,-9.456832886E0
3.050298930E-1,-3.080596924E-1,9.559982300E0,-9.465515137E0
3.100652930E-1,-3.203125000E-1,9.570724487E0,-9.446578979E0
3.151006930E-1,-2.916259766E-1,9.561370850E0,-9.498016357E0
3.201360940E-1,-2.966461182E-1,9.559692383E0,-9.468566895E0
3.251714940E-1,-2.742309570E-1,9.549545288E0,-9.449356079E0
3.302068950E-1,-2.774810791E-1,9.537017822E0,-9.501022339E0
3.352422950E-1,-3.043060303E-1,9.553878784E0,-9.457000732E0
3.402776950E-1,-3.016662598E-1,9.583816528E0,-9.476623535E0
3.453130960E-1,-2.974090576E-1,9.567092896E0,-9.445037842E0
3.503484960E-1,-2.671813965E-1,9.542480469E0,-9.409698486E0
3.553838970E-1,-3.074035645E-1,9.552185059E0,-9.434600830E0
3.604192970E-1,-3.099517822E-1,9.544525146E0,-9.439849854E0
3.654546970E-1,-3.187866211E-1,9.549346924E0,-9.445480347E0
