"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
8.194916420E-1;5.103133270E1;1.372448780E1;1.375153208E2;NaN;NaN;3.868199921E1;1.000000000E0
4.021649050E0;5.103149195E1;1.372409878E1;1.789437669E2;0.000000000E0;NaN;1.484243202E1;1.959702682E1
5.029631147E0;5.103155878E1;1.372407122E1;1.802186474E2;0.000000000E0;NaN;1.645105362E1;2.880338287E1
6.064035322E0;5.103163584E1;1.372391782E1;1.939987141E2;4.165084839E0;3.258158875E2;1.873163033E1;3.361619949E1
7.116093021E0;5.103161976E1;1.372386419E1;1.690961976E2;3.563943624E0;3.091553955E2;1.954254723E1;3.107528114E1
8.105192143E0;5.103160379E1;1.372374431E1;1.493071476E2;3.835969687E0;3.061304321E2;1.124459076E1;1.685310745E1
9.113260340E0;5.103162034E1;1.372370313E1;1.478117052E2;3.779875517E0;3.039695740E2;7.704103470E0;1.102626228E1
1.022459799E1;5.103162837E1;1.372363696E1;1.423697965E2;3.637146235E0;2.709250793E2;4.983520031E0;6.101672649E0
1.124506926E1;5.103161999E1;1.372361829E1;1.420462993E2;2.495814085E0;2.474220123E2;3.635133266E0;4.143067837E0
1.223845195E1;5.103157995E1;1.372360116E1;1.387187535E2;3.078192711E0;2.217792969E2;2.968223333E0;3.120148659E0
1.316745664E1;5.103155487E1;1.372358302E1;1.384694256E2;2.560372114E0;2.287355804E2;2.741709471E0;3.000000000E0
1.416745564E1;5.103153707E1;1.372356109E1;1.390311898E2;2.754446030E0;2.316430511E2;2.689489365E0;3.000000000E0
1.516765264E1;5.103151485E1;1.372353390E1;1.391793536E2;3.358375549E0;2.169310150E2;2.715292931E0;3.000000000E0
1.616751064E1;5.103148290E1;1.372350691E1;1.391491310E2;3.303426743E0;2.164178619E2;2.738513708E0;3.000000000E0
1.716749764E1;5.103144834E1;1.372348006E1;1.383003612E2;3.623155832E0;2.138265381E2;2.709499836E0;3.000000000E0
1.816752264E1;5.103141914E1;1.372345213E1;1.383911296E2;2.990872383E0;2.147080841E2;2.744994402E0;3.000000000E0
1.916753364E1;5.103139258E1;1.372342903E1;1.384843853E2;2.421620369E0;2.132396545E2;2.680433512E0;3.000000000E0
2.016757364E1;5.103137403E1;1.372341616E1;1.380960147E2;2.092032909E0;2.058425446E2;2.424792290E0;3.000000000E0
2.116758564E1;5.103135910E1;1.372340365E1;1.380499539E2;1.821183205E0;1.805831757E2;2.633883715E0;3.000000000E0
2.216764964E1;5.103132858E1;1.372342713E1;1.380529108E2;3.794368267E0;1.557025299E2;2.430878878E0;3.000000000E0
2.316761164E1;5.103130047E1;1.372347212E1;1.381990490E2;3.916543245E0;1.318973694E2;2.232821465E0;3.000000000E0
2.416766164E1;5.103127872E1;1.372353440E1;1.382308467E2;4.648761272E0;1.237789307E2;2.045570850E0;3.000000000E0
2.516767164E1;5.103125968E1;1.372359582E1;1.386533990E2;4.991182804E0;1.287814941E2;2.209456921E0;3.000000000E0
