"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.366008390E-1;6.594729424E-2;4.816545546E-2;-2.964019775E-3
1.546388020E-1;9.390199184E-2;1.456306875E-2;-4.926872253E-2
1.726779870E-1;1.173936129E-1;-5.484312773E-3;-4.762458801E-2
1.907158290E-1;1.366910934E-1;6.547036767E-2;-7.587432861E-3
2.087559290E-1;9.968972206E-2;5.703987181E-2;-2.476692200E-2
2.267935270E-1;1.448322535E-1;5.321134627E-2;-5.135631561E-2
2.448329560E-1;2.104680538E-1;7.393512130E-2;-5.795192719E-2
2.628709190E-1;1.902722120E-1;1.937498152E-2;1.988220215E-2
2.809110190E-1;1.943137646E-1;7.874672115E-2;-6.310844421E-2
2.989488000E-1;2.719881535E-1;1.297227740E-1;-6.438350677E-2
3.169880460E-1;2.988014221E-1;1.143693924E-1;-2.758026123E-2
3.350259490E-1;5.902220011E-1;2.376158535E-1;-3.640842438E-2
3.530657440E-1;6.889911890E-1;2.680726051E-1;-7.032871246E-2
3.711040740E-1;8.185596466E-1;2.996489704E-1;8.766269684E-2
3.891430140E-1;9.361904860E-1;4.508870542E-1;-4.389953613E-2
4.071646820E-1;1.126438260E0;5.111969709E-1;-7.429981232E-2
4.252202850E-1;1.283675671E0;5.682548881E-1;-8.487415314E-2
4.432596530E-1;-5.612933636E-1;5.164994001E-1;-1.025156021E0
4.612855930E-1;1.226698399E0;1.044810534E0;1.093544006E0
4.793337490E-1;1.262152195E0;1.256963968E0;6.572427750E-1
4.973787320E-1;-5.779988766E-1;8.064735532E-1;-1.798434734E0
5.154134000E-1;8.730095625E-1;3.901506960E-1;1.253598213E0
5.334528900E-1;-2.200982571E-1;7.883189321E-1;-2.429189682E-1
6.056074920E-1;-1.134098768E0;4.477190971E-2;-1.246633530E0
6.236413060E-1;9.977459908E-2;2.644405365E-1;4.315586090E-1
6.416898290E-1;-6.021809578E-2;2.002596617E0;-1.090901375E0
6.597234580E-1;1.923594832E0;1.330599785E0;1.420475960E0
6.777629480E-1;2.060087204E0;2.222114563E0;1.156072617E-1
6.957974330E-1;1.128388762E0;1.975239038E0;-4.622621536E-1
7.138404020E-1;8.476154804E-1;1.536747813E0;4.173402786E-1
7.318784880E-1;7.679483891E-1;1.514911413E0;-2.101030350E-1
7.499060150E-1;1.240086913E0;1.438323975E0;1.061258316E-1
7.679510590E-1;1.702350616E0;1.051382661E0;-1.473312378E-1
7.859985440E-1;6.027202606E-1;8.504726887E-1;4.407377243E-1
8.040330290E-1;-1.847668171E0;7.738254666E-1;-6.740283966E-2
8.220727020E-1;-1.825148106E0;-1.159765720E-1;-9.407901764E-2
8.400985190E-1;-1.563532352E-1;3.890850544E-1;3.052186966E-1
8.581509490E-1;-1.005492210E0;5.877847672E-1;1.818046570E-1
8.761875090E-1;-1.460541487E0;9.140318632E-1;-1.816492081E-1
8.942276090E-1;-2.116037130E0;1.904327869E-1;2.253046036E-1
9.122653900E-1;-2.253235340E0;-1.033048391E0;-1.122188568E-1
9.303052460E-1;-1.774592161E0;-9.669723511E-1;-8.637142181E-2
9.483430870E-1;-1.297543764E0;-2.995380163E-1;-1.081037521E-1
9.663825770E-1;-1.282730341E0;1.561473608E-1;-2.738733292E-1
9.844202360E-1;-1.154579878E0;1.289800644E0;-1.021471024E-1
1.002458444E0;-2.255053997E0;-8.749398589E-1;1.519527435E-1
1.020500131E0;-1.951119661E0;-1.230364799E0;-3.379421234E-1
1.038537484E0;-1.288459063E0;8.824592233E-1;-1.388934135E0
1.056575448E0;-3.164179325E-1;-3.090973496E-1;-2.562713623E-1
1.074614999E0;-1.390230656E-1;-2.192784548E0;3.250083923E-1
1.092653207E0;-1.938998699E-1;2.172596753E-1;-2.401609421E-1
1.110689157E0;6.741816998E-1;5.637056828E-1;-5.458278656E-1
1.128733224E0;7.323012352E-1;-1.300022602E0;-7.477769852E-1
1.146767465E0;1.513824940E0;-1.271053076E0;-5.138874054E-1
1.164810556E0;1.720852971E0;-5.309461951E-1;8.705024719E-1
1.182847482E0;1.034670115E0;-1.390254021E0;-1.275119781E-1
1.200873788E0;7.051577568E-1;-1.959928274E0;1.963138580E-2
1.218916879E0;7.900111675E-1;-1.453746915E0;7.059288025E-2
1.236963143E0;1.468322277E-1;-1.771158457E0;2.300815582E-1
1.255002450E0;-6.397294998E-2;-2.325856686E0;-5.800390244E-1
1.273040109E0;-1.481299400E-1;-2.028128386E0;2.099752426E-1
1.291080148E0;-2.178966999E-1;-1.834993720E0;5.432128906E-2
1.309117929E0;-5.856864452E-1;-2.189100266E0;-3.492040634E-1
1.327157296E0;-2.433490753E-1;-1.879122496E0;-2.846450806E-1
1.345195138E0;-8.795738220E-3;-1.467006087E0;2.296638489E-2
1.363227548E0;-2.748808861E-1;-1.494323492E0;-1.557474136E-1
1.381272653E0;-2.703351974E-1;-1.330924034E0;-1.613225937E-1
1.399315622E0;-1.650643349E-1;-8.790161610E-1;-1.174526215E-1
1.417350412E0;-5.668544769E-2;-8.696360588E-1;-1.000061035E-1
1.435390145E0;-6.878066063E-2;-7.838745713E-1;-1.690177917E-1
1.453428048E0;1.626832485E-1;-5.055046082E-1;-6.976127625E-3
1.471467355E0;4.205489159E-2;-3.213497698E-1;-5.616283417E-2
1.489505197E0;9.304809570E-2;-2.848745584E-1;-9.671306610E-2
1.507544686E0;1.210439205E-1;-2.440066338E-1;-7.890796661E-2
1.525582101E0;1.596450806E-1;-1.691849232E-1;-8.041381836E-3
1.543623361E0;2.941181660E-1;-2.240616977E-1;-1.667976379E-1
1.561659250E0;4.000749588E-1;-1.580666304E-1;8.554840088E-2
1.579701364E0;3.399419785E-1;-1.872575581E-1;-2.050018311E-2
1.597729197E0;2.245876789E-1;-1.356597394E-1;-3.977775574E-2
1.615774179E0;1.896460056E-1;-1.129045188E-1;-4.958152771E-2
1.633815499E0;2.939870358E-1;-6.168732047E-2;-2.505970001E-2
1.651855050E0;4.228281975E-2;-1.716040075E-1;-5.408000946E-2
1.669893075E0;-2.959840298E-1;-2.489608973E-1;-2.698802948E-1
1.687929330E0;-4.392411709E-1;-1.504702568E-1;-8.769226074E-2
1.705970224E0;-7.752733231E-1;-4.385088682E-1;4.757118225E-2
1.724010324E0;-7.487161160E-1;-1.020809114E-1;-5.139636993E-2
1.742050302E0;-6.490328312E-1;-9.602767229E-2;-2.576837540E-1
1.760084725E0;-8.526010513E-1;-2.396383882E-2;9.744930267E-2
1.778128549E0;-7.713408470E-1;1.751125753E-1;-1.369285583E-2
1.796165353E0;-6.187160015E-1;4.847830832E-1;-1.674060822E-1
1.814203500E0;-5.194637775E-1;4.857109189E-1;-2.038412094E-1
1.832242746E0;-3.438091278E-2;6.643149853E-1;-3.312969208E-2
1.850280770E0;2.654204369E-1;9.143410921E-1;3.917694092E-3
1.868320565E0;1.594955921E-1;6.497440934E-1;1.086454391E-1
1.886346566E0;1.614496708E-1;8.525608182E-1;-1.356639862E-1
