"event","experiment time","system time","system time text"
"START",0.000000000E0,1725192612.557,"2024-09-01 14:10:12.557 UTC+02:00"
"PAUSE",4.788501290E1,1725192660.442,"2024-09-01 14:11:00.442 UTC+02:00"
