"event","experiment time","system time","system time text"
"START",0.000000000E0,1720954449.329,"2024-07-14 12:54:09.329 UTC+02:00"
"PAUSE",1.303462135E1,1720954462.363,"2024-07-14 12:54:22.363 UTC+02:00"
