"event","experiment time","system time","system time text"
"START",0.000000000E0,1723298465.113,"2024-08-10 16:01:05.113 UTC+02:00"
"PAUSE",2.246834760E1,1723298487.582,"2024-08-10 16:01:27.582 UTC+02:00"
