"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.111464260E1;1.378481660E1;1.956997556E2;NaN;NaN;1.938100052E1;1.847491264E0
0.000000000E0;5.111457040E1;1.378495230E1;1.969996687E2;NaN;NaN;1.719799995E1;1.823145390E0
1.926427166E0;5.111464215E1;1.378481344E1;1.643497765E2;NaN;NaN;1.125649357E1;2.009416199E1
3.006453819E0;5.111480553E1;1.378490504E1;1.785216569E2;2.001484871E0;2.278370819E2;1.267125225E1;1.876390076E1
3.997616539E0;5.111472707E1;1.378480949E1;1.786335009E2;1.697957039E0;2.593981628E2;1.226405525E1;2.301588249E1
5.077111941E0;5.111468756E1;1.378487683E1;1.806128721E2;2.356552839E0;2.283990021E2;8.616870880E0;4.703692245E1
6.080510746E0;5.111467122E1;1.378483830E1;1.845667007E2;2.214151382E0;2.440669250E2;1.324960613E1;2.496965027E1
7.071155237E0;5.111466962E1;1.378473725E1;1.973200375E2;2.277676105E0;2.422647858E2;4.496477604E0;7.107361794E0
8.077032923E0;5.111466130E1;1.378470132E1;1.985706233E2;2.093574762E0;2.470622253E2;3.111824036E0;5.020377636E0
9.072384689E0;5.111465487E1;1.378467338E1;1.991495042E2;2.101120472E0;2.656779785E2;2.610257626E0;4.067636490E0
9.987668201E0;5.111466094E1;1.378463773E1;1.987004820E2;1.829275608E0;2.948656311E2;2.374441147E0;3.451893330E0
1.098776220E1;5.111467422E1;1.378461537E1;1.984716956E2;1.441009521E0;3.150007019E2;2.228752136E0;3.077200651E0
1.198758920E1;5.111468624E1;1.378459967E1;1.982221360E2;1.100907326E0;3.199909668E2;2.148223639E0;3.000000000E0
1.298761120E1;5.111469590E1;1.378459513E1;1.979798922E2;0.000000000E0;3.199909668E2;2.120989799E0;3.000000000E0
1.398763920E1;5.111469672E1;1.378460175E1;1.977433318E2;0.000000000E0;3.199909668E2;2.113609314E0;3.000000000E0
1.498766420E1;5.111469817E1;1.378460328E1;1.976060023E2;0.000000000E0;3.199909668E2;2.107715368E0;3.000000000E0
1.598764620E1;5.111470167E1;1.378460233E1;1.976356010E2;3.362372816E-1;3.230753479E2;2.108750820E0;3.000000000E0
1.698767720E1;5.111470688E1;1.378460141E1;1.977347371E2;1.564135075E0;3.437855530E2;2.179317951E0;3.000000000E0
1.798769420E1;5.111472337E1;1.378459472E1;1.975385129E2;1.561741114E0;3.341095886E2;2.282071590E0;3.000000000E0
1.898772520E1;5.111473901E1;1.378458371E1;1.970155158E2;2.100283861E0;3.173612366E2;2.368330717E0;3.000000000E0
1.998773920E1;5.111475710E1;1.378456049E1;1.966156593E2;2.177162886E0;3.181581421E2;2.342464924E0;3.000000000E0
2.098797120E1;5.111477307E1;1.378453690E1;1.964533294E2;2.250347376E0;3.173877563E2;2.395808697E0;3.000000000E0
2.198775720E1;5.111478918E1;1.378451399E1;1.963030559E2;2.259932041E0;3.204973145E2;2.139015198E0;3.000000000E0
2.298780520E1;5.111480460E1;1.378448993E1;1.961701943E2;2.247569323E0;3.189948425E2;1.936546087E0;3.000000000E0
2.398777520E1;5.111481963E1;1.378446977E1;1.961115392E2;2.241702318E0;3.219819336E2;1.776165009E0;3.000000000E0
2.498780120E1;5.111483722E1;1.378444910E1;1.962005314E2;2.439989567E0;3.263188782E2;1.633242607E0;3.000000000E0
2.598783520E1;5.111485682E1;1.378442694E1;1.965284693E2;2.689547062E0;3.297527771E2;1.476792693E0;3.000000000E0
2.698783320E1;5.111487935E1;1.378440367E1;1.964732829E2;2.918611526E0;3.299024048E2;1.355521441E0;3.000000000E0
2.798798620E1;5.111490102E1;1.378437717E1;1.967370622E2;3.109532118E0;3.267182617E2;1.785889864E0;3.000000000E0
2.898786120E1;5.111492438E1;1.378434626E1;1.969739962E2;3.132477283E0;3.233824158E2;1.568404675E0;3.000000000E0
2.998789120E1;5.111494598E1;1.378431741E1;1.970648024E2;3.075014830E0;3.307931824E2;1.871161222E0;3.000000000E0
3.098790820E1;5.111496843E1;1.378429110E1;1.970303884E2;3.103304148E0;3.277183533E2;1.632007122E0;3.000000000E0
3.198790820E1;5.111499297E1;1.378426592E1;1.968679813E2;3.126685381E0;3.277082825E2;1.462953806E0;3.000000000E0
3.298792720E1;5.111501623E1;1.378424007E1;1.968989820E2;3.169476986E0;3.241764832E2;1.332077026E0;3.000000000E0
3.398793120E1;5.111503769E1;1.378421115E1;1.968446662E2;3.170470953E0;3.205695496E2;1.258731604E0;3.000000000E0
3.498797220E1;5.111505935E1;1.378418290E1;1.967329694E2;3.185868502E0;3.210401611E2;1.202939510E0;3.000000000E0
3.598805120E1;5.111508175E1;1.378415466E1;1.966953400E2;3.158103704E0;3.206708679E2;1.158410311E0;3.000000000E0
3.698801220E1;5.111510447E1;1.378412827E1;1.967406602E2;3.179024935E0;3.232528687E2;1.121761560E0;3.000000000E0
3.798802420E1;5.111512761E1;1.378409977E1;1.968390198E2;3.337474585E0;3.213554688E2;1.085408926E0;3.000000000E0
3.898804020E1;5.111515218E1;1.378406834E1;1.968631310E2;3.487956762E0;3.225061035E2;1.044193745E0;3.000000000E0
3.998805620E1;5.111517988E1;1.378403927E1;1.968910196E2;3.674580812E0;3.261997681E2;1.007146358E0;3.000000000E0
