"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.864445300E-2,-2.696075439E-1,9.614135742E0,-7.039733887E0
5.367985400E-2,-2.807617188E-1,9.609680176E0,-7.052017212E0
5.871525400E-2,-2.812194824E-1,9.613082886E0,-7.061264038E0
6.375065400E-2,-2.577514648E-1,9.634078979E0,-7.063720703E0
6.878605500E-2,-2.507019043E-1,9.632156372E0,-7.066192627E0
7.382145500E-2,-2.671508789E-1,9.600219727E0,-7.056930542E0
7.885685600E-2,-2.751770020E-1,9.619125366E0,-7.047378540E0
8.389225600E-2,-2.695617676E-1,9.639678955E0,-7.058731079E0
8.892765600E-2,-2.639770508E-1,9.618789673E0,-7.083190918E0
9.396305700E-2,-2.663269043E-1,9.617523193E0,-7.074188232E0
9.899845700E-2,-2.803039551E-1,9.616943359E0,-7.016571045E0
1.040338580E-1,-2.866516113E-1,9.626419067E0,-7.026992798E0
1.090692580E-1,-2.670440674E-1,9.623809814E0,-7.059005737E0
1.141046580E-1,-2.791900635E-1,9.639328003E0,-7.060668945E0
1.191400590E-1,-2.854156494E-1,9.602447510E0,-7.056991577E0
1.241754590E-1,-2.810974121E-1,9.591262817E0,-7.073852539E0
1.292108590E-1,-2.711944580E-1,9.610290527E0,-7.098403931E0
1.342462600E-1,-2.305450439E-1,9.600173950E0,-7.086227417E0
1.392816600E-1,-2.269744873E-1,9.589111328E0,-7.079071045E0
1.443170610E-1,-2.515716553E-1,9.613739014E0,-7.067642212E0
1.493524610E-1,-2.638549805E-1,9.615631104E0,-7.046340942E0
1.543878610E-1,-2.763061523E-1,9.589935303E0,-7.054580688E0
1.594232620E-1,-2.756805420E-1,9.609893799E0,-7.065719604E0
1.644586620E-1,-2.800750732E-1,9.616653442E0,-7.023010254E0
1.694940630E-1,-2.815093994E-1,9.620635986E0,-7.006561279E0
1.745294630E-1,-2.850036621E-1,9.614685059E0,-7.028060913E0
1.795648630E-1,-2.651977539E-1,9.608596802E0,-7.046997070E0
1.846002640E-1,-2.585754395E-1,9.609512329E0,-7.057327271E0
1.896356640E-1,-2.791442871E-1,9.605560303E0,-7.033508301E0
1.946710650E-1,-2.734680176E-1,9.607955933E0,-7.054138184E0
1.997064650E-1,-2.636718750E-1,9.617248535E0,-7.061614990E0
2.047418650E-1,-2.535247803E-1,9.627426147E0,-7.017944336E0
2.097772660E-1,-2.526702881E-1,9.613494873E0,-7.014526367E0
2.148126660E-1,-2.660675049E-1,9.591873169E0,-7.027175903E0
2.198480660E-1,-2.890625000E-1,9.605285645E0,-7.019989014E0
2.248834670E-1,-2.887725830E-1,9.595275879E0,-7.002197266E0
2.299188670E-1,-2.681427002E-1,9.617050171E0,-7.020233154E0
2.349542680E-1,-2.658386230E-1,9.620666504E0,-7.033721924E0
2.399896680E-1,-2.739105225E-1,9.604492188E0,-7.015487671E0
2.450250680E-1,-2.675170898E-1,9.616928101E0,-7.035934448E0
2.500604690E-1,-2.806854248E-1,9.602630615E0,-7.038024902E0
2.550958690E-1,-2.739715576E-1,9.597595215E0,-7.031082153E0
2.601312700E-1,-2.771301270E-1,9.623641968E0,-6.996109009E0
2.651666700E-1,-2.884674072E-1,9.644653320E0,-7.034133911E0
2.702020700E-1,-2.637176514E-1,9.622299194E0,-7.064468384E0
