"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.011224810E-1,1.174926758E-3,4.119873047E-4,-1.052856445E-3
4.061578810E-1,4.272460938E-4,-3.356933594E-4,-1.953125000E-3
4.111932810E-1,1.174926758E-3,-4.882812500E-4,-2.120971680E-3
4.162286820E-1,2.258300781E-3,-4.882812500E-4,-1.190185547E-3
4.212640820E-1,2.410888672E-3,-4.882812500E-4,-1.968383789E-3
4.262994830E-1,5.340576172E-4,4.425048828E-4,-2.120971680E-3
4.313348830E-1,2.746582031E-4,1.510620117E-3,-2.120971680E-3
4.363702830E-1,2.746582031E-4,1.647949219E-3,-2.120971680E-3
4.414056840E-1,2.182006836E-3,6.866455078E-4,-3.067016602E-3
4.464410840E-1,2.410888672E-3,1.541137695E-3,-2.212524414E-3
4.514764840E-1,4.577636719E-4,6.713867188E-4,-2.120971680E-3
4.565118850E-1,1.251220703E-3,-4.119873047E-4,-2.120971680E-3
4.615472850E-1,2.319335938E-3,1.464843750E-3,-2.120971680E-3
4.665826860E-1,1.419067383E-3,6.561279297E-4,-2.120971680E-3
4.716180860E-1,3.356933594E-4,-4.272460938E-4,-2.120971680E-3
4.766534860E-1,1.266479492E-3,-4.882812500E-4,-1.113891602E-3
4.816888870E-1,3.204345703E-4,5.187988281E-4,-1.052856445E-3
4.867242870E-1,-7.629394531E-4,-4.577636719E-4,-1.525878906E-5
4.917596880E-1,2.288818359E-4,-4.882812500E-4,1.525878906E-5
4.967950880E-1,2.746582031E-4,-4.882812500E-4,1.525878906E-5
5.018304880E-1,2.746582031E-4,-4.882812500E-4,1.525878906E-5
5.068658890E-1,1.312255859E-3,5.493164062E-4,1.525878906E-5
5.119012890E-1,2.746582031E-4,5.798339844E-4,-1.037597656E-3
5.169366900E-1,-1.861572266E-3,-4.882812500E-4,-2.105712891E-3
5.219720900E-1,2.746582031E-4,-4.882812500E-4,-3.189086914E-3
5.270074900E-1,2.746582031E-4,5.798339844E-4,-2.105712891E-3
5.320428910E-1,1.342773438E-3,1.632690430E-3,-1.052856445E-3
5.370782910E-1,1.312255859E-3,5.798339844E-4,-1.052856445E-3
5.421136910E-1,2.441406250E-4,5.187988281E-4,-1.068115234E-3
5.471490920E-1,-7.629394531E-4,-1.495361328E-3,-2.151489258E-3
5.521844920E-1,3.509521484E-4,5.340576172E-4,-3.097534180E-3
5.572198930E-1,2.349853516E-3,-4.425048828E-4,-9.918212891E-4
5.622552930E-1,1.281738281E-3,5.187988281E-4,-3.051757812E-5
5.672906930E-1,2.746582031E-4,-4.882812500E-4,-9.765625000E-4
5.723260940E-1,3.356933594E-4,-3.509521484E-4,-4.577636719E-5
5.773614940E-1,1.342773438E-3,1.556396484E-3,-1.052856445E-3
5.823968950E-1,1.342773438E-3,3.967285156E-4,-1.052856445E-3
5.874322950E-1,1.419067383E-3,-1.556396484E-3,-9.613037109E-4
5.924676950E-1,2.304077148E-3,-1.266479492E-3,1.525878906E-5
5.975030960E-1,1.342773438E-3,1.541137695E-3,1.525878906E-5
6.025384960E-1,1.220703125E-3,5.798339844E-4,-3.051757812E-4
6.075738970E-1,3.814697266E-4,5.798339844E-4,-3.067016602E-3
6.126092970E-1,1.205444336E-3,3.204345703E-4,-1.983642578E-3
6.176446970E-1,2.746582031E-4,-1.556396484E-3,-9.155273438E-4
6.226800980E-1,4.119873047E-4,-1.708984375E-3,1.525878906E-5
6.277154980E-1,1.480102539E-3,-2.334594727E-3,1.525878906E-5
6.327508990E-1,2.243041992E-3,-4.882812500E-4,-1.373291016E-4
6.377862990E-1,1.495361328E-3,-4.882812500E-4,-1.052856445E-3
6.428216990E-1,2.410888672E-3,-4.882812500E-4,-1.052856445E-3
6.478571000E-1,2.410888672E-3,-6.713867188E-4,-8.697509766E-4
6.528925000E-1,2.227783203E-3,-1.022338867E-3,-1.525878906E-4
6.579279000E-1,1.342773438E-3,1.647949219E-3,-1.419067383E-3
6.629633010E-1,1.342773438E-3,1.647949219E-3,-2.990722656E-3
6.679987010E-1,1.342773438E-3,1.434326172E-3,-1.907348633E-3
6.730341020E-1,1.129150391E-3,7.781982422E-4,-1.251220703E-3
6.780695020E-1,4.882812500E-4,1.419067383E-3,-2.120971680E-3
6.831049020E-1,1.342773438E-3,5.798339844E-4,-1.892089844E-3
6.881403030E-1,1.098632812E-3,3.356933594E-4,-1.052856445E-3
6.931757030E-1,2.746582031E-4,-7.324218750E-4,-1.052856445E-3
6.982111040E-1,1.525878906E-5,-1.068115234E-3,-1.296997070E-3
7.032465040E-1,-2.899169922E-4,8.239746094E-4,-1.861572266E-3
7.082819040E-1,1.602172852E-3,1.647949219E-3,-7.781982422E-4
7.133173050E-1,2.136230469E-3,1.373291016E-3,1.525878906E-5
7.183527050E-1,1.342773438E-3,5.798339844E-4,-2.441406250E-4
7.233881060E-1,1.342773438E-3,2.899169922E-4,-7.629394531E-4
7.284235060E-1,1.342773438E-3,-2.136230469E-4,1.525878906E-5
7.334589060E-1,1.037597656E-3,8.697509766E-4,1.525878906E-5
7.384943070E-1,5.798339844E-4,1.327514648E-3,-5.950927734E-4
7.435297070E-1,1.647949219E-3,-4.577636719E-5,-1.800537109E-3
7.485651080E-1,1.770019531E-3,-1.251220703E-3,-1.052856445E-3
7.536005080E-1,2.746582031E-4,-1.678466797E-4,-7.171630859E-4
7.586359080E-1,2.746582031E-4,2.441406250E-4,1.525878906E-5
7.636713090E-1,2.746582031E-4,-4.882812500E-4,-3.204345703E-4
7.687067090E-1,6.103515625E-4,-8.392333984E-4,-1.052856445E-3
7.737421090E-1,1.342773438E-3,-1.205444336E-3,-1.052856445E-3
7.787775100E-1,9.765625000E-4,-1.373291016E-4,-1.052856445E-3
7.838129100E-1,2.746582031E-4,2.136230469E-4,-6.866455078E-4
7.888483110E-1,1.007080078E-3,-4.882812500E-4,1.525878906E-5
7.938837110E-1,1.647949219E-3,2.593994141E-4,-3.509521484E-4
7.989191110E-1,1.052856445E-3,1.647949219E-3,-1.052856445E-3
8.039545120E-1,2.410888672E-3,1.235961914E-3,-6.408691406E-4
8.089899120E-1,2.410888672E-3,5.798339844E-4,1.525878906E-5
8.140253130E-1,1.586914062E-3,5.798339844E-4,4.272460938E-4
8.190607130E-1,6.866455078E-4,5.798339844E-4,2.593994141E-4
8.240961130E-1,1.342773438E-3,5.798339844E-4,-1.892089844E-3
8.291315140E-1,1.342773438E-3,1.373291016E-4,-3.189086914E-3
8.341669140E-1,9.002685547E-4,-4.882812500E-4,-2.746582031E-3
8.392023150E-1,7.171630859E-4,-9.460449219E-4,-2.120971680E-3
8.442377150E-1,1.342773438E-3,-1.113891602E-3,-1.663208008E-3
8.492731150E-1,8.850097656E-4,-4.882812500E-4,-1.373291016E-4
8.543085160E-1,7.324218750E-4,-3.051757812E-5,6.256103516E-4
8.593439160E-1,8.544921875E-4,9.155273438E-5,-4.577636719E-4
8.643793160E-1,2.746582031E-4,4.577636719E-4,-1.052856445E-3
8.694147170E-1,-2.136230469E-4,1.159667969E-3,-5.645751953E-4
8.744501170E-1,-7.934570312E-4,1.068115234E-3,1.525878906E-5
8.794855180E-1,-1.296997070E-3,1.144409180E-3,-4.730224609E-4
8.845209180E-1,-1.861572266E-3,5.798339844E-4,-1.556396484E-3
8.895563180E-1,-8.392333984E-4,6.103515625E-5,-1.602172852E-3
8.945917190E-1,2.746582031E-4,-4.882812500E-4,-1.571655273E-3
8.996271190E-1,7.934570312E-4,3.051757812E-5,-1.586914062E-3
9.046625200E-1,8.087158203E-4,5.798339844E-4,-1.052856445E-3
9.096979200E-1,8.087158203E-4,5.798339844E-4,-1.052856445E-3
9.147333200E-1,1.342773438E-3,1.525878906E-5,-1.052856445E-3
9.197687210E-1,2.136230469E-4,-4.882812500E-4,-1.602172852E-3
9.248041210E-1,-2.441406250E-4,-4.882812500E-4,-9.918212891E-4
9.298395220E-1,2.746582031E-4,7.629394531E-5,1.525878906E-5
9.348749220E-1,-3.051757812E-4,1.144409180E-3,-5.493164062E-4
9.399103220E-1,-1.968383789E-3,1.052856445E-3,-1.052856445E-3
9.449457230E-1,-2.349853516E-3,-1.525878906E-5,-1.632690430E-3
9.499811230E-1,-1.266479492E-3,-4.882812500E-4,-1.510620117E-3
9.550165240E-1,4.272460938E-4,-1.113891602E-3,-1.052856445E-3
9.600519240E-1,1.342773438E-3,-1.556396484E-3,-4.272460938E-4
9.650873240E-1,7.171630859E-4,-9.460449219E-4,-1.220703125E-3
9.701227250E-1,2.746582031E-4,-1.129150391E-3,-8.544921875E-4
9.751581250E-1,9.155273438E-4,-1.556396484E-3,1.525878906E-5
9.801935250E-1,1.342773438E-3,-9.155273438E-4,-1.281738281E-3
9.852289260E-1,6.713867188E-4,8.239746094E-4,-1.449584961E-3
9.902643260E-1,-3.967285156E-4,1.647949219E-3,-1.708984375E-3
9.952997270E-1,-1.373291016E-4,9.765625000E-4,-2.777099609E-3
1.000335127E0,2.746582031E-4,5.798339844E-4,-2.502441406E-3
1.005370527E0,2.746582031E-4,5.798339844E-4,-2.792358398E-3
1.010405928E0,1.647949219E-3,5.798339844E-4,-3.189086914E-3
1.015441328E0,1.708984375E-3,-1.220703125E-4,-1.785278320E-3
1.020476729E0,6.256103516E-4,-4.882812500E-4,-1.052856445E-3
1.025512129E0,2.746582031E-4,-4.882812500E-4,-3.173828125E-3
1.030547529E0,2.746582031E-4,-4.882812500E-4,-2.105712891E-3
1.035582930E0,2.746582031E-4,-1.220703125E-3,-1.052856445E-3
1.040618330E0,9.918212891E-4,-8.392333984E-4,-1.052856445E-3
1.045653731E0,1.342773438E-3,-4.882812500E-4,-1.052856445E-3
1.050689131E0,5.950927734E-4,-4.882812500E-4,-1.052856445E-3
1.055724531E0,2.746582031E-4,-4.882812500E-4,-1.052856445E-3
1.060759932E0,-4.882812500E-4,2.593994141E-4,-1.052856445E-3
1.065795332E0,-3.051757812E-5,-1.983642578E-4,-1.052856445E-3
1.070830733E0,-5.035400391E-4,-4.882812500E-4,-1.815795898E-3
1.075866133E0,-1.525878906E-5,-4.882812500E-4,-1.327514648E-3
1.080901533E0,2.746582031E-4,1.083374023E-3,-1.831054688E-3
1.085936934E0,1.068115234E-3,4.577636719E-5,-2.120971680E-3
1.090972334E0,1.342773438E-3,3.051757812E-4,-2.120971680E-3
1.096007734E0,5.340576172E-4,5.798339844E-4,-2.914428711E-3
1.101043135E0,1.083374023E-3,5.798339844E-4,-2.365112305E-3
1.106078535E0,1.342773438E-3,5.798339844E-4,-1.296997070E-3
1.111113936E0,1.342773438E-3,-2.593994141E-4,-1.052856445E-3
1.116149336E0,1.342773438E-3,-4.882812500E-4,-1.876831055E-3
1.121184736E0,2.182006836E-3,-4.882812500E-4,-2.120971680E-3
1.126220137E0,1.556396484E-3,-4.882812500E-4,-2.120971680E-3
1.131255537E0,1.342773438E-3,-1.358032227E-3,-1.251220703E-3
1.136290938E0,4.730224609E-4,-7.019042969E-4,-1.831054688E-4
1.141326338E0,1.144409180E-3,3.814697266E-4,1.525878906E-5
1.146361738E0,4.577636719E-4,-3.051757812E-4,-8.544921875E-4
1.151397139E0,2.044677734E-3,-4.882812500E-4,-1.052856445E-3
1.156432539E0,6.256103516E-4,3.967285156E-4,-1.052856445E-3
1.161467940E0,1.159667969E-3,5.798339844E-4,-1.937866211E-3
1.166503340E0,4.272460938E-4,5.798339844E-4,-3.021240234E-3
1.171538740E0,2.746582031E-4,-3.356933594E-4,-2.273559570E-3
1.176574141E0,2.746582031E-4,-4.882812500E-4,-1.190185547E-3
1.181609541E0,2.746582031E-4,4.272460938E-4,-2.899169922E-3
1.186644941E0,2.746582031E-4,1.510620117E-3,-3.189086914E-3
1.191680342E0,1.205444336E-3,7.019042969E-4,-2.243041992E-3
1.196715742E0,3.814697266E-4,5.798339844E-4,-1.159667969E-3
1.201751143E0,-6.866455078E-4,-3.814697266E-4,-2.960205078E-3
1.206786543E0,1.129150391E-3,4.730224609E-4,-2.212524414E-3
1.211821943E0,3.662109375E-4,5.798339844E-4,-1.144409180E-3
1.216857344E0,1.251220703E-3,-4.119873047E-4,-1.052856445E-3
1.221892744E0,1.342773438E-3,-1.480102539E-3,-2.029418945E-3
1.226928145E0,1.342773438E-3,-5.798339844E-4,-2.120971680E-3
1.231963545E0,-6.713867188E-4,-4.882812500E-4,-2.120971680E-3
1.236998945E0,1.220703125E-3,-4.882812500E-4,-1.098632812E-3
1.242034346E0,3.204345703E-4,-4.882812500E-4,-1.052856445E-3
1.247069746E0,1.296997070E-3,5.340576172E-4,1.007080078E-3
1.252105147E0,1.342773438E-3,1.602172852E-3,6.103515625E-5
1.257140547E0,3.051757812E-4,6.103515625E-4,-2.044677734E-3
1.262175947E0,2.746582031E-4,5.798339844E-4,-2.120971680E-3
1.267211348E0,1.312255859E-3,5.798339844E-4,-2.120971680E-3
1.272246748E0,1.342773438E-3,1.632690430E-3,-2.120971680E-3
1.277282149E0,1.342773438E-3,1.647949219E-3,-2.120971680E-3
1.282317549E0,-7.934570312E-4,5.645751953E-4,-2.120971680E-3
1.287352949E0,2.746582031E-4,-4.882812500E-4,-2.105712891E-3
1.292388350E0,2.746582031E-4,-4.730224609E-4,-1.052856445E-3
1.297423750E0,2.441406250E-4,5.950927734E-4,-1.052856445E-3
1.302459150E0,-7.629394531E-4,1.602172852E-3,-1.083374023E-3
1.307494551E0,3.051757812E-4,5.798339844E-4,-2.120971680E-3
1.312529951E0,1.419067383E-3,5.340576172E-4,-2.151489258E-3
1.317565352E0,3.417968750E-3,-4.425048828E-4,-3.189086914E-3
1.322600752E0,2.410888672E-3,5.798339844E-4,-3.112792969E-3
1.327636152E0,2.410888672E-3,5.035400391E-4,-2.120971680E-3
1.332671553E0,2.319335938E-3,-4.882812500E-4,-2.120971680E-3
1.337706953E0,1.251220703E-3,-4.882812500E-4,-2.120971680E-3
1.342742354E0,2.746582031E-4,-4.882812500E-4,-2.197265625E-3
1.347777754E0,2.746582031E-4,-3.967285156E-4,-3.082275391E-3
1.352813154E0,3.662109375E-4,6.713867188E-4,-2.014160156E-3
1.357848555E0,1.342773438E-3,1.525878906E-3,-1.052856445E-3
1.362883955E0,1.220703125E-3,4.577636719E-4,-1.052856445E-3
1.367919356E0,3.967285156E-4,-6.256103516E-4,-1.052856445E-3
1.372954756E0,1.205444336E-3,-1.434326172E-3,-1.052856445E-3
1.377990156E0,2.746582031E-4,-2.136230469E-4,-9.002685547E-4
1.383025557E0,2.746582031E-4,1.495361328E-3,-1.220703125E-4
1.388060957E0,2.746582031E-4,4.119873047E-4,-1.205444336E-3
1.393096358E0,2.746582031E-4,-4.882812500E-4,-2.120971680E-3
1.398131758E0,2.746582031E-4,-4.882812500E-4,-1.937866211E-3
1.403167158E0,2.746582031E-4,-3.204345703E-4,-1.052856445E-3
1.408202559E0,9.155273438E-5,7.476806641E-4,-1.052856445E-3
1.413237959E0,-4.272460938E-4,1.647949219E-3,-1.052856445E-3
1.418273359E0,1.342773438E-3,1.647949219E-3,-1.235961914E-3
1.423308760E0,9.155273438E-4,1.647949219E-3,-1.907348633E-3
1.428344160E0,-3.662109375E-4,1.647949219E-3,-1.052856445E-3
1.433379561E0,8.850097656E-4,1.647949219E-3,-1.266479492E-3
1.438414961E0,-7.934570312E-4,1.403808594E-3,-1.647949219E-3
1.443450361E0,-5.645751953E-4,5.798339844E-4,2.593994141E-4
1.448485762E0,5.187988281E-4,3.204345703E-4,8.392333984E-4
1.453521162E0,1.586914062E-3,-2.441406250E-4,-2.288818359E-4
1.458556563E0,2.136230469E-3,3.051757812E-4,-1.312255859E-3
1.463591963E0,1.342773438E-3,-4.882812500E-4,-2.120971680E-3
1.468627363E0,1.342773438E-3,-7.629394531E-4,-1.846313477E-3
1.473662764E0,7.781982422E-4,-1.556396484E-3,-1.052856445E-3
1.478698164E0,-5.187988281E-4,-1.007080078E-3,-1.052856445E-3
