"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.303397190E-1;6.640571952E-1;2.100795507E-1;8.074579239E-1
1.483829310E-1;4.162330627E-1;-6.205214262E-1;-7.632293701E-1
1.664176610E-1;7.070221901E-1;9.053220749E-1;-1.663199425E0
1.844597750E-1;-9.200569391E-1;-1.449003339E0;-2.992744446E-1
2.024892550E-1;3.371015489E-1;1.297274232E-1;1.176078796E0
2.205266690E-1;-5.657426119E-1;-9.912093282E-1;-8.477592468E-1
2.385750090E-1;4.496864378E-1;-2.583128810E-1;1.108856201E-1
2.566036960E-1;7.500916719E-1;-1.072162271E0;4.154014587E-1
2.746421470E-1;-4.580985606E-1;-4.354750514E-1;-1.474752426E-1
2.926759000E-1;-4.234073162E-1;-4.913528264E-1;-5.247783661E-2
3.107123990E-1;2.733611763E-1;-1.182051420E0;7.280225754E-1
3.287556730E-1;-1.419046521E-1;1.326927662E0;-1.628694534E-1
3.467903410E-1;6.529549137E-3;-2.422787428E0;-1.177158356E-1
3.648308080E-1;-2.009283900E-1;-3.021812141E-1;1.091798782E0
3.828630340E-1;1.332622886E0;3.162350059E-1;-8.394594193E-1
4.008995330E-1;-4.542468488E-1;3.122532368E-1;2.979688644E-1
4.189435400E-1;-1.663755924E-1;8.572868109E-1;-1.388307571E0
4.369737510E-1;-8.322021961E-1;-3.384684324E-1;1.652914047E0
4.550165380E-1;-6.427294612E-1;2.389585972E-2;-4.502477646E-1
4.730410740E-1;-3.917739987E-1;3.462812901E-1;5.417346954E-2
4.910821500E-1;-3.279624581E-1;-8.674118519E-1;5.958948135E-1
5.091284760E-1;-1.447634548E-1;1.077646017E-2;-8.270254135E-1
5.271624730E-1;-9.120406508E-1;-7.524737716E-1;7.119388580E-1
5.452030000E-1;-1.590950966E0;-6.647250056E-1;1.684083939E-1
5.632384620E-1;-1.968279481E0;-2.066664696E-1;-9.344711304E-1
5.812716030E-1;-1.888769507E0;-5.955437422E-1;2.246942520E-1
5.993131680E-1;-1.974255562E0;-8.981034160E-1;-1.999216080E-1
6.173502780E-1;-1.988109231E0;-2.868017554E-1;-1.731863022E-1
6.353876310E-1;-1.172236443E0;-2.216117620E0;5.722780228E-1
6.534273040E-1;-2.043438673E0;9.771999717E-1;-2.909173965E-1
6.714550140E-1;-1.681401968E0;-1.482247829E0;3.407230377E-1
6.895015840E-1;-2.185029745E0;5.013247132E-1;-9.627628326E-1
7.075239230E-1;-1.866391897E0;-5.487574339E-1;-2.070288181E0
7.255745210E-1;-2.119601488E0;-1.773745298E0;2.938909531E0
7.436122410E-1;-1.623577356E0;1.068644524E-1;-1.206514359E0
7.616444060E-1;-1.548129559E0;-5.413613319E-1;-3.987312317E-1
7.796796230E-1;-2.803948402E0;-7.399108410E-1;-6.838989258E-2
7.977244840E-1;-7.810915709E-1;-1.282313943E0;-8.760919571E-1
8.157600680E-1;-3.427932262E0;-1.641345978E0;-1.986160278E-1
8.337966270E-1;-8.526600599E-1;-2.352632284E-1;6.457242966E-1
8.518254360E-1;-2.304631948E0;-4.435733855E-1;-1.729583740E-1
8.698637670E-1;-9.076855183E-1;-1.044823527E0;-1.343088150E-1
8.879116790E-1;-9.922868013E-1;-9.895603061E-1;5.662527084E-1
9.059527550E-1;-1.238826513E0;-1.154620171E0;-1.509952545E-1
9.239865690E-1;-2.197782040E0;-5.796962976E-1;-1.466045380E-1
9.420165980E-1;-2.636968613E0;-1.137241721E0;7.772512436E-1
9.600507170E-1;-2.553850412E0;-5.795373917E-1;2.140868187E0
9.780973480E-1;-1.944849968E0;-1.450242996E-1;-1.674312115E0
9.961321380E-1;-1.730594277E0;-8.821147680E-1;-4.547595978E-1
1.014171872E0;-9.556987882E-1;-9.841497540E-1;1.220246315E0
1.032201595E0;-1.143894315E0;-9.768426418E-3;-1.828241348E-1
1.050240353E0;-8.291159868E-1;1.344225407E-1;1.127754211E0
1.068275143E0;-7.661898136E-1;2.579380274E-1;-4.691066742E-1
1.086310116E0;5.061483383E-2;-4.085494876E-1;7.045078278E-1
1.104355344E0;2.103483677E-1;-5.899598002E-1;2.423706055E-1
1.122390805E0;2.719593048E-1;-5.030709505E-1;-2.434778214E-1
1.140422970E0;7.118105888E-2;-1.529796124E0;1.311903954E0
1.158468442E0;4.643199444E-1;7.862873077E-1;-4.648561478E-1
1.176506833E0;-6.529581547E-2;-6.023229957E-1;5.638647079E-1
1.194544308E0;7.014822960E-2;1.244316697E-1;-2.690410614E-1
1.212574155E0;6.828212738E-2;-7.786934972E-1;1.073760033E0
1.230605771E0;6.108835936E-1;-3.235638142E-2;-6.455221176E-1
1.248648556E0;-2.752454281E-1;-1.605281532E-1;-7.855653763E-1
1.266691586E0;-1.035987139E-1;-1.094713569E0;1.001194954E0
1.284729489E0;-1.362345219E-1;-2.091565430E-1;-3.532743454E-1
1.302761532E0;-6.739468575E-1;-1.492662191E0;5.920581818E-1
1.320792233E0;-6.596971750E-1;-7.235761285E-1;3.009757996E-1
1.338827511E0;-1.025614977E0;-8.019461632E-1;-4.453277588E-1
1.356878109E0;-1.185614109E0;-4.771832824E-1;-5.720891953E-1
1.374916562E0;-1.276953697E0;-8.301479816E-1;6.513910294E-1
1.392967038E0;-8.970518112E-1;8.318369985E-1;-2.298974991E-1
1.410986020E0;-1.056545377E0;-1.862472534E0;4.859142303E-1
1.429030698E0;-6.499916315E-1;2.276051641E-1;-1.476812363E-1
1.447063047E0;-1.017803073E0;-9.480795264E-1;2.313117981E-1
1.465087704E0;-1.266807437E0;1.737782001E0;-1.510172844E0
1.483138364E0;-1.986248970E0;9.672217369E-1;-1.777253628E0
1.501170956E0;-1.590465784E0;-5.848329663E-1;1.806395531E0
1.519212948E0;-1.402322054E0;6.289660931E-1;-1.378202438E0
1.537248837E0;-1.333842278E0;-5.096888542E-1;5.859718323E-1
1.555278439E0;-1.274179220E0;-3.914648294E-2;1.258068085E-1
1.573309811E0;-1.252995253E0;-2.924840748E-1;-7.458257675E-1
1.591360043E0;-1.268034816E0;-8.482508659E-1;7.996931076E-1
1.609396420E0;-1.781550884E0;-6.720166802E-1;4.405879974E-1
1.627443662E0;-1.988217115E0;-1.505865753E-1;-1.923465729E-2
1.645472592E0;-1.873428941E0;-7.818064690E-1;4.688491821E-1
1.663512204E0;-1.960540891E0;2.320238352E-1;4.578104019E-1
1.681543271E0;-1.007056355E0;1.885981560E-1;-9.772329330E-1
