"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.864872840E-1,-2.426147461E-3,1.040649414E-2,-2.441406250E-3
3.915226840E-1,-3.341674805E-3,7.476806641E-3,-3.372192383E-3
3.965580850E-1,-3.189086914E-3,7.019042969E-3,-3.204345703E-3
4.015934850E-1,-2.105712891E-3,9.414672852E-3,-2.639770508E-3
4.066288850E-1,-1.205444336E-3,6.881713867E-3,-4.241943359E-3
4.116642860E-1,-1.403808594E-3,2.960205078E-3,-3.372192383E-3
4.166996860E-1,-2.075195312E-3,1.617431641E-3,-3.372192383E-3
4.217350870E-1,-1.205444336E-3,4.211425781E-3,-3.585815430E-3
4.267704870E-1,-1.205444336E-3,7.629394531E-3,-4.440307617E-3
4.318058870E-1,-1.205444336E-3,6.423950195E-3,-4.669189453E-3
4.368412880E-1,-1.205444336E-3,1.541137695E-3,-5.249023438E-3
4.418766880E-1,-1.480102539E-3,-6.561279297E-4,-4.440307617E-3
4.469120890E-1,-2.838134766E-3,1.251220703E-3,-4.440307617E-3
4.519474890E-1,-4.409790039E-3,4.699707031E-3,-4.440307617E-3
4.569828890E-1,-4.714965820E-3,4.592895508E-3,-4.135131836E-3
4.620182900E-1,-6.103515625E-3,4.119873047E-4,-3.677368164E-3
4.670536900E-1,-7.293701172E-3,-4.119873047E-3,-4.104614258E-3
4.720890900E-1,-7.217407227E-3,-3.799438477E-3,-3.692626953E-3
4.771244910E-1,-9.033203125E-3,-2.365112305E-3,-4.089355469E-3
4.821598910E-1,-1.046752930E-2,-9.155273438E-4,-3.723144531E-3
4.871952920E-1,-1.188659668E-2,-1.663208008E-3,-4.058837891E-3
4.922306920E-1,-1.226806641E-2,-3.814697266E-3,-2.990722656E-3
4.972660920E-1,-1.257324219E-2,-5.981445312E-3,-2.304077148E-3
5.023014930E-1,-1.188659668E-2,-8.132934570E-3,-2.700805664E-3
5.073368930E-1,-1.147460938E-2,-9.048461914E-3,-3.372192383E-3
5.123722940E-1,-1.040649414E-2,-7.980346680E-3,-2.944946289E-3
5.174076940E-1,-1.019287109E-2,-6.011962891E-3,-2.304077148E-3
5.224430940E-1,-1.037597656E-2,-5.020141602E-3,-2.304077148E-3
5.274784950E-1,-9.750366211E-3,-7.186889648E-3,-2.304077148E-3
5.325138950E-1,-1.022338867E-2,-8.392333984E-3,-1.831054688E-3
5.375492960E-1,-1.034545898E-2,-7.431030273E-3,-1.235961914E-3
5.425846960E-1,-9.262084961E-3,-5.264282227E-3,-1.724243164E-3
5.476200960E-1,-8.178710938E-3,-4.638671875E-3,-1.785278320E-3
5.526554970E-1,-7.614135742E-3,-7.797241211E-3,-1.754760742E-3
5.576908970E-1,-6.561279297E-3,-1.213073730E-2,-2.304077148E-3
5.627262980E-1,-6.027221680E-3,-1.211547852E-2,-1.754760742E-3
5.677616980E-1,-8.209228516E-3,-7.217407227E-3,-2.334594727E-3
5.727970980E-1,-9.201049805E-3,-4.684448242E-3,-3.921508789E-3
5.778324990E-1,-9.826660156E-3,-7.476806641E-3,-3.295898438E-3
5.828678990E-1,-1.081848145E-2,-1.005554199E-2,-1.708984375E-3
5.879032990E-1,-1.142883301E-2,-8.728027344E-3,-1.235961914E-3
5.929387000E-1,-1.251220703E-2,-6.713867188E-3,-1.846313477E-3
5.979741000E-1,-1.295471191E-2,-9.368896484E-3,-2.914428711E-3
6.030095010E-1,-1.232910156E-2,-1.541137695E-2,-2.731323242E-3
6.080449010E-1,-1.254272461E-2,-1.670837402E-2,-1.647949219E-3
6.130803010E-1,-1.362609863E-2,-1.190185547E-2,-1.235961914E-3
6.181157020E-1,-1.469421387E-2,-7.461547852E-3,-2.563476562E-3
6.231511020E-1,-1.509094238E-2,-9.674072266E-3,-2.685546875E-3
6.281865030E-1,-1.440429688E-2,-1.507568359E-2,-2.990722656E-3
6.332219030E-1,-1.332092285E-2,-1.835632324E-2,-1.953125000E-3
6.382573030E-1,-1.223754883E-2,-1.475524902E-2,-1.953125000E-3
6.432927040E-1,-1.261901855E-2,-1.121520996E-2,-3.021240234E-3
6.483281040E-1,-1.147460938E-2,-1.127624512E-2,-3.372192383E-3
6.533635050E-1,-1.158142090E-2,-1.461791992E-2,-2.609252930E-3
6.583989050E-1,-1.112365723E-2,-1.586914062E-2,-1.525878906E-3
6.634343050E-1,-1.159667969E-2,-1.432800293E-2,-1.998901367E-3
6.684697060E-1,-1.268005371E-2,-1.295471191E-2,-3.082275391E-3
6.735051060E-1,-1.216125488E-2,-1.266479492E-2,-3.372192383E-3
6.785405070E-1,-1.271057129E-2,-1.510620117E-2,-2.548217773E-3
6.835759070E-1,-1.295471191E-2,-1.586914062E-2,-2.304077148E-3
6.886113070E-1,-1.379394531E-2,-1.420593262E-2,-2.304077148E-3
6.936467080E-1,-1.402282715E-2,-1.542663574E-2,-2.304077148E-3
