"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.858464150E-1,-8.031058311E-2,-4.655838013E-3,8.447360992E-2
3.908207800E-1,-9.119504690E-2,-6.871223450E-3,1.337614059E-1
3.958256630E-1,-5.356496572E-2,4.717826843E-3,8.511829376E-2
4.008000280E-1,-9.087067842E-2,-2.310085297E-2,6.131172180E-2
4.057743930E-1,-2.357971668E-2,2.915382385E-3,5.454349518E-2
4.107487580E-1,-1.823234558E-2,-1.792907715E-2,1.125106812E-1
4.157536410E-1,-5.904430151E-2,-1.741218567E-2,1.041994095E-1
4.207280070E-1,-1.562732458E-2,4.763793945E-2,8.242034912E-2
4.257023720E-1,-6.366729736E-2,-6.933212280E-3,4.064083099E-2
4.306767370E-1,-7.344865799E-2,-1.831817627E-2,1.410655975E-1
4.356816200E-1,3.641843796E-4,6.685256958E-4,4.912281036E-2
4.406559850E-1,7.500946522E-3,2.144241333E-2,8.241748810E-2
4.456303500E-1,-2.490359545E-2,1.385593414E-2,3.147125244E-2
4.506047150E-1,-4.962873459E-2,4.118061066E-2,1.255197525E-1
4.556095980E-1,-1.587909460E-2,2.847671509E-3,5.716609955E-2
4.605534460E-1,-5.955386162E-2,9.550094604E-3,6.779670715E-3
4.655583290E-1,1.411175728E-2,2.093315125E-3,-2.388668060E-2
4.705326940E-1,8.151334524E-2,2.732658386E-2,2.281284332E-2
4.755070590E-1,3.221094608E-3,-2.243328094E-2,3.586578369E-2
4.805119420E-1,8.065879345E-3,-1.298522949E-2,9.974575043E-2
4.854863070E-1,1.124739647E-3,-3.816604614E-3,6.443405151E-2
4.904606730E-1,6.021618843E-3,-1.817893982E-2,1.124000549E-2
4.954350380E-1,3.864765167E-3,-8.971214294E-3,2.671432495E-2
5.004094030E-1,-5.143284798E-4,-2.291679382E-3,3.488063812E-2
5.054142860E-1,1.862865686E-2,-6.101894379E-2,7.089233398E-2
5.103886510E-1,2.810937166E-2,-1.126384735E-2,1.109056473E-1
5.153630160E-1,3.034555912E-2,2.355098724E-2,9.189033508E-2
5.203373820E-1,1.142680645E-2,-1.700305939E-2,-3.760337830E-3
5.253422640E-1,7.692593336E-2,-7.495880127E-4,5.150794983E-3
5.303166300E-1,5.020934343E-2,4.793548584E-2,4.896545410E-2
5.352909950E-1,1.232862473E-2,1.393032074E-2,9.664630890E-2
5.402653600E-1,7.789671421E-3,8.589744568E-3,2.661800385E-2
5.452397250E-1,-3.744959831E-3,1.976108551E-2,3.505706787E-2
5.502140900E-1,9.952348471E-2,3.780746460E-2,1.066207886E-2
5.552189730E-1,1.239836216E-1,6.259918213E-2,-1.096153259E-2
5.601933390E-1,-1.323938370E-2,2.618408203E-2,1.012325287E-1
5.651677040E-1,2.970069647E-2,2.317333221E-2,6.881809235E-2
5.701725870E-1,3.899991512E-2,3.735542297E-3,-1.466846466E-2
5.751469520E-1,8.301854134E-3,-2.480030060E-2,5.305099487E-2
5.801823520E-1,7.424521446E-2,-2.480697632E-2,4.704856873E-2
5.850956820E-1,2.905756235E-2,-6.107330322E-3,1.067304611E-1
5.900700480E-1,-1.315718889E-2,-3.929519653E-2,7.407569885E-2
5.950749300E-1,2.257508039E-2,-6.386756897E-3,3.484249115E-2
6.000492960E-1,1.570588350E-2,-6.814002991E-3,5.949211121E-2
6.050236610E-1,7.017219067E-2,-4.868507385E-3,4.627227783E-2
6.099980260E-1,2.067160606E-2,-1.234054565E-2,1.036357880E-1
6.149723910E-1,6.319946051E-2,-1.975440979E-2,2.405643463E-2
6.199772740E-1,-1.470679045E-2,1.513767242E-2,1.831245422E-2
6.249516390E-1,-2.339726686E-2,-5.376338959E-2,4.784297943E-2
6.299260050E-1,3.399306536E-2,-2.544498444E-2,3.707504272E-2
6.349003700E-1,5.317360163E-2,-3.269672394E-2,9.695625305E-2
6.398747350E-1,-5.520164967E-3,-2.102375031E-2,4.806709290E-2
6.448796180E-1,-1.893317699E-2,-2.360248566E-2,4.916763306E-2
6.498539830E-1,-1.337891817E-2,-2.775192261E-4,3.619384766E-2
6.548283480E-1,1.098847389E-2,-1.248073578E-2,5.396080017E-2
6.598027140E-1,4.919320345E-2,1.307296753E-2,6.680774689E-2
6.648075960E-1,4.457676411E-2,-1.576232910E-2,5.599594116E-2
6.697514440E-1,4.705423117E-2,-4.898548126E-2,6.879901886E-2
6.747563270E-1,2.130025625E-2,-1.362133026E-2,5.323123932E-2
6.797306920E-1,1.000404358E-2,1.896953583E-2,1.178255081E-1
6.847050570E-1,1.234471798E-3,-2.411937714E-2,4.520893097E-2
6.897099400E-1,2.075999975E-2,-7.918357849E-3,5.811309814E-2
6.946843050E-1,3.064739704E-2,-4.839515686E-2,6.614971161E-2
6.996586710E-1,5.938738585E-2,-1.077842712E-2,6.701087952E-2
7.046635530E-1,4.321521521E-2,-6.775379181E-2,9.843349457E-2
7.096074010E-1,-5.760431290E-3,-8.776664734E-3,4.476451874E-2
7.146122840E-1,1.630038023E-2,-2.295494080E-3,9.992885590E-2
7.195866490E-1,2.865672112E-2,-5.945205688E-2,6.739807129E-2
7.245610140E-1,-1.782971621E-2,-9.969711304E-3,5.413055420E-2
7.295353800E-1,6.816786528E-2,-3.635406494E-2,2.218723297E-2
7.345097450E-1,3.548389673E-2,-1.773452759E-2,1.882457733E-2
7.395146280E-1,3.606629372E-2,-1.667976379E-3,2.727794647E-2
7.444889930E-1,4.606765509E-2,-1.167583466E-2,1.445007324E-2
7.494633580E-1,2.776783705E-2,-1.924705505E-2,1.713647842E-1
7.544377230E-1,4.270952940E-2,-3.383445740E-2,9.340572357E-2
7.594120890E-1,2.684515715E-2,-8.175849915E-3,6.577396393E-2
7.644169710E-1,1.807481050E-2,-1.337432861E-2,2.668952942E-2
7.693913370E-1,4.236322641E-2,-4.206848145E-2,9.880256653E-2
7.743657020E-1,-8.987188339E-3,-2.805614471E-2,9.714984894E-2
7.793705850E-1,4.393756390E-2,-3.773593903E-2,9.554195404E-2
7.843449500E-1,2.331840992E-2,-4.256153107E-2,5.628967285E-2
7.893193150E-1,1.701784134E-2,-3.555679321E-2,1.117296219E-1
7.942936800E-1,3.673869371E-2,2.035140991E-3,2.753067017E-2
7.992680460E-1,2.802366018E-2,-1.729965210E-2,9.035205841E-2
8.042729280E-1,3.349733353E-2,-3.648567200E-2,9.597110748E-2
8.092472940E-1,5.066782236E-2,-5.964279175E-3,6.381416321E-2
8.142216590E-1,-1.249033213E-2,-4.408168793E-2,2.492618561E-2
8.191960240E-1,4.994392395E-2,-2.050495148E-2,1.114444733E-1
8.242009070E-1,6.941187382E-2,2.881050110E-3,9.341621399E-2
8.291752720E-1,4.154735804E-2,4.832267761E-3,1.062307358E-1
8.341496370E-1,2.335619926E-2,-3.570270538E-2,9.299182892E-2
8.391240030E-1,4.778277874E-2,1.142501831E-2,1.506729126E-1
8.440983680E-1,2.482151985E-2,-3.386974335E-2,4.932403564E-3
8.490727330E-1,2.574568987E-2,-5.515956879E-2,7.994461060E-2
8.540776160E-1,7.390004396E-2,-6.449604034E-2,1.755456924E-1
8.590519810E-1,3.665369749E-2,-4.306888580E-2,1.830282211E-1
