"event","experiment time","system time","system time text"
"START",0.000000000E0,1721470296.538,"2024-07-20 12:11:36.538 UTC+02:00"
"PAUSE",5.975591821E1,1721470356.294,"2024-07-20 12:12:36.294 UTC+02:00"
