"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1741453267.048;"2025-03-08 18:01:07.048 UTC+01:00"
"PAUSE";4.039174718E2;1741453670.965;"2025-03-08 18:07:50.965 UTC+01:00"
