"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.104946250E1;1.378040920E1;1.143128915E2;NaN;NaN;3.440000153E1;3.317142963E0
2.037563403E1;5.104849090E1;1.377474440E1;NaN;NaN;NaN;8.000000000E2;0.000000000E0
3.298706524E1;5.104976428E1;1.378041715E1;1.392258876E2;3.910333157E0;2.221258545E1;4.845552826E1;6.560288239E1
3.497746962E1;5.104981761E1;1.378041252E1;1.392260337E2;3.019068003E0;2.834252357E1;2.627062225E1;1.312714386E1
3.597797756E1;5.104985912E1;1.378041348E1;1.392261511E2;3.758787632E0;1.552532768E1;2.593555069E1;1.295621586E1
3.697399607E1;5.104991913E1;1.378042232E1;1.392263271E2;3.693987608E0;3.097054291E1;3.662535095E1;1.829148674E1
3.797821116E1;5.104994166E1;1.378045314E1;1.392264162E2;3.570791006E0;3.533384323E1;3.699544907E1;1.847117805E1
3.998745542E1;5.104999297E1;1.378051079E1;1.392299930E2;0.000000000E0;NaN;4.792468262E1;8.291484070E1
4.100294794E1;5.105000603E1;1.378054698E1;1.392463984E2;3.353368759E0;4.464428329E1;4.219512177E1;5.489744949E1
4.300215652E1;5.104998892E1;1.378062120E1;1.262511160E2;3.505290270E0;5.493823242E1;3.993269730E1;3.197937012E1
4.405355064E1;5.105000229E1;1.378065926E1;1.190878053E2;2.819605589E0;4.826259995E1;2.176705360E1;1.825969887E1
4.548167540E1;5.104999307E1;1.378070615E1;1.119105536E2;2.532571793E0;3.885359573E1;6.128648758E0;7.058532715E0
4.651539386E1;5.105001373E1;1.378070080E1;1.106933691E2;2.301301956E0;2.189969444E1;5.012405396E0;6.028860092E0
4.743551803E1;5.105004333E1;1.378069853E1;1.110131668E2;2.514110565E0;3.455044250E2;4.216436386E0;4.999488831E0
4.843550403E1;5.105007029E1;1.378067304E1;1.117887925E2;2.776705027E0;3.241732788E2;3.870901108E0;4.439249039E0
4.943566903E1;5.105010005E1;1.378063058E1;1.123938032E2;2.845837831E0;3.199455566E2;2.876848221E0;3.330889225E0
5.043552203E1;5.105012357E1;1.378059519E1;1.124742245E2;2.993391037E0;3.130314636E2;2.712895870E0;3.000000000E0
5.143557503E1;5.105014122E1;1.378055331E1;1.123365408E2;3.904284239E0;3.038269348E2;2.851127625E0;3.000000000E0
5.243568003E1;5.105016494E1;1.378049564E1;1.126618825E2;4.328053951E0;3.093546143E2;2.937201977E0;3.000000000E0
5.343557203E1;5.105019227E1;1.378044202E1;1.124184978E2;4.350451469E0;3.081866455E2;2.939502716E0;3.000000000E0
5.443560303E1;5.105022036E1;1.378038377E1;1.125794533E2;4.482777119E0;3.072845154E2;2.947450876E0;3.000000000E0
5.543564703E1;5.105024848E1;1.378032410E1;1.125609053E2;4.633922100E0;3.083278809E2;2.954225302E0;3.000000000E0
5.643563703E1;5.105027844E1;1.378026583E1;1.127676700E2;4.643767357E0;3.104023132E2;2.990254879E0;3.000000000E0
5.743565103E1;5.105031113E1;1.378019283E1;1.138743850E2;5.148011208E0;3.069578247E2;2.301393986E0;3.000000000E0
5.843567303E1;5.105033885E1;1.378012384E1;1.142531923E2;5.129806042E0;3.029683228E2;1.853400230E0;3.000000000E0
5.943582803E1;5.105036634E1;1.378006167E1;1.142887216E2;5.210629463E0;3.070360413E2;1.602552652E0;3.000000000E0
6.043570203E1;5.105039551E1;1.378000235E1;1.141283787E2;5.131463528E0;3.080713806E2;1.457953095E0;3.000000000E0
6.143573103E1;5.105042112E1;1.377994097E1;1.143199730E2;5.095114231E0;3.060085754E2;1.322945833E0;3.000000000E0
6.243574503E1;5.105044730E1;1.377988187E1;1.143308197E2;5.100121021E0;3.061521912E2;1.215623140E0;3.000000000E0
6.343577003E1;5.105047529E1;1.377982331E1;1.143306000E2;4.991598606E0;3.094224548E2;4.112115860E0;3.000000000E0
6.443578303E1;5.105050152E1;1.377976197E1;1.147744924E2;5.120325565E0;3.032868042E2;4.149309158E0;3.000000000E0
