"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.331297669E0;9.148120880E-4;2.437032992E-3;-5.903244019E-3
1.349329895E0;-7.222890854E-4;-3.591516288E-4;-6.469726562E-3
1.367370361E0;4.189908504E-3;-1.309851650E-4;-1.196861267E-3
1.385412659E0;2.537071705E-3;2.276649931E-3;-8.042335510E-3
1.403452758E0;3.134131432E-3;2.976820106E-4;-8.372306824E-3
1.421493591E0;-2.282381058E-3;-5.008766428E-3;-4.413604736E-3
1.439520019E0;-1.509487629E-3;5.453330465E-3;-2.690315247E-3
1.457564575E0;2.902746201E-5;9.851155803E-3;-1.274108887E-3
1.475611572E0;2.909243107E-3;4.510253668E-3;-4.281997681E-4
1.493649658E0;1.245439053E-3;2.427034779E-3;2.431869507E-4
1.511691772E0;9.561181068E-4;2.497053938E-4;-7.963180542E-4
1.529717773E0;-2.317249775E-3;-2.059906255E-3;2.026557922E-3
1.547761536E0;2.231001854E-4;1.298057847E-3;-2.250671387E-3
1.565808166E0;8.211016655E-3;7.183770183E-3;-3.418922424E-3
1.583842040E0;-7.637143135E-4;-1.368596684E-3;6.295204163E-3
1.601887207E0;-2.529382706E-3;2.345983172E-3;-3.108978271E-4
1.619923401E0;1.940071583E-3;5.907557439E-3;2.072334290E-3
1.637961547E0;7.170200348E-3;3.676330671E-3;-1.639366150E-3
1.656005371E0;5.191385746E-3;2.613713965E-3;-2.264976501E-3
1.674044007E0;-1.210689545E-3;-6.383929867E-4;2.366065979E-3
1.692084228E0;2.804934978E-3;-8.391297888E-5;1.796722412E-3
1.710156616E0;2.933084965E-3;6.873185746E-3;7.333755493E-4
1.728154297E0;7.739663124E-4;9.213441983E-3;-1.010894775E-4
1.746203186E0;6.978332996E-3;8.814407513E-3;-8.306503296E-4
1.764230042E0;9.248435497E-3;2.663958352E-3;9.055137634E-3
1.782280883E0;2.964377403E-3;6.573226303E-3;7.652282715E-3
1.800323181E0;9.847223759E-3;4.613143392E-4;1.158714294E-3
1.818357239E0;7.725417614E-3;1.922850963E-3;4.668235779E-3
1.836400695E0;1.011818647E-2;-3.646080382E-3;6.780624390E-4
1.854439026E0;1.173567772E-2;1.944754273E-3;-1.704216003E-3
1.872481140E0;1.342880726E-2;2.030371688E-3;-3.149986267E-3
1.890518677E0;9.198367596E-3;-1.993257552E-3;-2.215385437E-3
1.908547180E0;7.940113544E-3;-2.433471614E-3;5.518913269E-3
1.926596069E0;5.270063877E-3;4.173411056E-3;2.008438110E-3
1.944638733E0;6.953835487E-3;2.265020739E-4;1.496315002E-3
1.962676514E0;6.686449051E-3;-2.817103639E-3;4.916191101E-3
1.980717895E0;6.781280041E-3;-5.173165351E-3;1.911163330E-3
1.998751892E0;2.821862698E-3;2.131724264E-3;-1.461982727E-3
2.016795471E0;7.202088833E-3;2.677000128E-3;6.136894226E-3
2.034829407E0;8.298516273E-3;3.202216467E-3;9.101867676E-3
2.052876709E0;3.028631210E-3;3.182000248E-3;7.791519165E-3
2.070915649E0;8.835852146E-3;-8.806107566E-3;-3.479003906E-3
2.088948730E0;8.274018764E-3;-2.469729865E-3;-4.940032959E-4
2.106981262E0;1.204496622E-2;-6.534009241E-3;1.568794250E-3
2.125031311E0;1.120543480E-2;-8.819501847E-3;4.298210144E-3
2.143060424E0;1.449149847E-2;-2.348375972E-3;5.881309509E-3
2.161108398E0;1.023322344E-2;5.115475506E-4;5.469322205E-3
2.179153320E0;8.743047714E-3;-9.610301349E-4;1.365661621E-3
2.197187072E0;5.691409111E-3;-5.044208374E-4;2.537727356E-3
2.215229370E0;4.647672176E-3;-4.099061713E-3;-1.726150513E-4
2.233269531E0;6.111681461E-3;3.860455006E-3;7.083892822E-3
2.251309509E0;1.389366388E-2;-5.872183945E-3;7.528305054E-3
2.269344299E0;5.630254745E-3;5.519260187E-3;7.551193237E-3
2.287377869E0;6.244003773E-3;2.416743431E-3;2.404212952E-3
2.305426392E0;1.626145840E-2;-8.984787855E-4;9.749412537E-3
2.323467041E0;1.111590862E-2;-3.232834861E-4;-8.144378662E-4
2.341508301E0;1.424831152E-2;-4.326951690E-3;2.287864685E-3
2.359542053E0;1.452887058E-2;-2.861432498E-3;2.744674683E-3
2.377574341E0;1.039773226E-2;4.992039409E-3;5.730628967E-3
2.395630859E0;1.391845942E-2;-4.234519787E-3;5.537986755E-3
2.413658936E0;9.262204170E-3;2.708625980E-4;6.158828735E-3
2.431704528E0;4.416644573E-3;4.947460257E-3;1.148986816E-2
