"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.068510920E-1,1.539611816E-2,3.904113770E-1,-2.081298828E-2
4.118864930E-1,1.525878906E-2,4.012298584E-1,-2.110290527E-2
4.169218930E-1,1.525878906E-2,4.082336426E-1,-2.110290527E-2
4.219572940E-1,1.428222656E-2,4.147186279E-1,-2.110290527E-2
4.269926940E-1,1.515197754E-2,4.212036133E-1,-2.304077148E-2
4.320280940E-1,1.525878906E-2,4.267120361E-1,-2.323913574E-2
4.370634950E-1,1.625061035E-2,4.311065674E-1,-2.323913574E-2
4.420988950E-1,1.632690430E-2,4.344177246E-1,-2.221679688E-2
4.471342960E-1,1.528930664E-2,4.366302490E-1,-2.319335938E-2
4.521696960E-1,1.525878906E-2,4.387969971E-1,-2.427673340E-2
4.572050960E-1,1.631164551E-2,4.399108887E-1,-2.430725098E-2
4.622404970E-1,1.419067383E-2,4.388580322E-1,-2.430725098E-2
4.672758970E-1,1.632690430E-2,4.377746582E-1,-2.429199219E-2
4.723112980E-1,1.632690430E-2,4.355926514E-1,-2.325439453E-2
4.773466980E-1,1.632690430E-2,4.334106445E-1,-2.430725098E-2
4.823820980E-1,1.622009277E-2,4.300384521E-1,-2.430725098E-2
4.874174990E-1,1.423645020E-2,4.246673584E-1,-2.430725098E-2
4.924528990E-1,1.525878906E-2,4.191131592E-1,-2.423095703E-2
4.974882990E-1,1.525878906E-2,4.115447998E-1,-2.314758301E-2
5.025237000E-1,1.525878906E-2,4.041748047E-1,-2.217102051E-2
5.075591000E-1,1.536560059E-2,3.984375000E-1,-2.204895020E-2
5.125945010E-1,1.632690430E-2,3.896179199E-1,-2.096557617E-2
5.176299010E-1,1.632690430E-2,3.798065186E-1,-2.003479004E-2
5.226653010E-1,1.617431641E-2,3.689575195E-1,-2.017211914E-2
5.277007020E-1,1.541137695E-2,3.569335938E-1,-2.093505859E-2
5.327361020E-1,1.632690430E-2,3.448638916E-1,-2.003479004E-2
5.377715030E-1,1.632690430E-2,3.318939209E-1,-1.983642578E-2
5.428069030E-1,1.632690430E-2,3.189239502E-1,-1.875305176E-2
5.478423030E-1,1.654052734E-2,3.055114746E-1,-1.789855957E-2
5.528777040E-1,1.739501953E-2,2.903747559E-1,-1.765441895E-2
5.579131040E-1,1.715087891E-2,2.752380371E-1,-1.658630371E-2
