"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.430226400E-2,-2.389526367E-2,9.623336792E0,-8.712402344E0
4.933766500E-2,-1.243591309E-2,9.561676025E0,-8.681655884E0
5.437306500E-2,-2.566528320E-2,9.611740112E0,-8.702468872E0
5.940846500E-2,2.391052246E-2,9.632995605E0,-8.677352905E0
6.444386600E-2,-3.234863281E-2,9.640533447E0,-8.695602417E0
6.947926600E-2,-7.171630859E-4,9.652496338E0,-8.689208984E0
7.451466700E-2,-6.332397461E-3,9.624053955E0,-8.654342651E0
7.955006700E-2,-2.357482910E-2,9.634963989E0,-8.610015869E0
8.458546700E-2,-4.307556152E-2,9.631240845E0,-8.640243530E0
8.962086800E-2,-3.967285156E-2,9.620330811E0,-8.676162720E0
9.465626800E-2,-2.873229980E-2,9.652420044E0,-8.646423340E0
9.969166900E-2,-3.001403809E-2,9.621490479E0,-8.625305176E0
1.047270690E-1,-4.475402832E-2,9.624954224E0,-8.684722900E0
1.097624690E-1,1.022338867E-3,9.619049072E0,-8.622360229E0
1.147978700E-1,-2.026367188E-2,9.617248535E0,-8.647430420E0
1.198332700E-1,-3.234863281E-2,9.652603149E0,-8.617980957E0
1.248686710E-1,-1.110839844E-2,9.624603271E0,-8.566223145E0
1.299040710E-1,-1.968383789E-3,9.635635376E0,-8.615631104E0
1.349394710E-1,-1.986694336E-2,9.645126343E0,-8.611145020E0
1.399748720E-1,-2.104187012E-2,9.643325806E0,-8.596038818E0
1.450102720E-1,-1.348876953E-2,9.642089844E0,-8.579849243E0
1.500456730E-1,-2.189636230E-2,9.660171509E0,-8.578002930E0
1.550810730E-1,-2.673339844E-2,9.660812378E0,-8.576766968E0
1.601164730E-1,-5.050659180E-3,9.628173828E0,-8.554641724E0
1.651518740E-1,-1.162719727E-2,9.611312866E0,-8.583938599E0
1.701872740E-1,-7.369995117E-3,9.615188599E0,-8.567474365E0
1.752226740E-1,-3.422546387E-2,9.649581909E0,-8.547058105E0
1.802580750E-1,-4.566955566E-2,9.641586304E0,-8.580123901E0
1.852934750E-1,-4.165649414E-2,9.633544922E0,-8.552810669E0
1.903288760E-1,-3.294372559E-2,9.631225586E0,-8.536911011E0
1.953642760E-1,-3.311157227E-2,9.636215210E0,-8.560134888E0
2.003996760E-1,-3.970336914E-2,9.633438110E0,-8.551269531E0
2.054350770E-1,-3.572082520E-2,9.605819702E0,-8.503723145E0
2.104704770E-1,-4.112243652E-2,9.590805054E0,-8.473205566E0
2.155058780E-1,-5.598449707E-2,9.605209351E0,-8.501037598E0
2.205412780E-1,-2.998352051E-2,9.619583130E0,-8.492065430E0
2.255766780E-1,-4.161071777E-2,9.630050659E0,-8.521072388E0
2.306120790E-1,-3.732299805E-2,9.638031006E0,-8.548278809E0
2.356474790E-1,-2.769470215E-2,9.640350342E0,-8.519027710E0
2.406828800E-1,-5.328369141E-2,9.625167847E0,-8.519317627E0
2.457182800E-1,-7.725524902E-2,9.621704102E0,-8.526382446E0
2.507536800E-1,-6.753540039E-2,9.635070801E0,-8.507766724E0
2.557890810E-1,-5.647277832E-2,9.654281616E0,-8.498184204E0
2.608244810E-1,-7.192993164E-2,9.642715454E0,-8.527969360E0
2.658598810E-1,-4.284667969E-2,9.613464355E0,-8.544799805E0
2.708952820E-1,-4.171752930E-2,9.623107910E0,-8.524230957E0
2.759306820E-1,-5.157470703E-2,9.649612427E0,-8.537811279E0
2.809660830E-1,-5.032348633E-2,9.643875122E0,-8.545227051E0
2.860014830E-1,-6.169128418E-2,9.619415283E0,-8.546569824E0
2.910368830E-1,-5.349731445E-2,9.632385254E0,-8.516952515E0
2.960722840E-1,-7.000732422E-2,9.629882812E0,-8.537841797E0
3.011076840E-1,-7.299804688E-2,9.617034912E0,-8.517623901E0
3.061430850E-1,-4.237365723E-2,9.622070312E0,-8.545913696E0
