"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.981680770E-1,2.838134766E-3,-4.409790039E-3,-9.353637695E-3
4.032034770E-1,3.768920898E-3,-4.409790039E-3,-9.353637695E-3
4.082388770E-1,4.577636719E-3,-4.409790039E-3,-8.666992188E-3
4.132742780E-1,3.890991211E-3,-4.409790039E-3,-8.956909180E-3
4.183096780E-1,3.509521484E-3,-3.723144531E-3,-7.965087891E-3
4.233450790E-1,4.196166992E-3,-4.745483398E-3,-7.904052734E-3
4.283804790E-1,4.577636719E-3,-5.477905273E-3,-7.568359375E-3
4.334158790E-1,3.860473633E-3,-5.477905273E-3,-7.919311523E-3
4.384512800E-1,2.777099609E-3,-4.028320312E-3,-9.002685547E-3
4.434866800E-1,3.158569336E-3,-4.074096680E-3,-8.621215820E-3
4.485220810E-1,3.509521484E-3,-4.409790039E-3,-9.017944336E-3
4.535574810E-1,3.509521484E-3,-5.920410156E-3,-8.590698242E-3
4.585928810E-1,2.746582031E-3,-5.798339844E-3,-9.033203125E-3
4.636282820E-1,1.663208008E-3,-4.714965820E-3,-9.353637695E-3
4.686636820E-1,2.929687500E-3,-4.409790039E-3,-9.353637695E-3
4.736990820E-1,3.509521484E-3,-5.203247070E-3,-8.560180664E-3
4.787344830E-1,2.700805664E-3,-4.684448242E-3,-8.285522461E-3
4.837698830E-1,4.043579102E-3,-4.409790039E-3,-8.285522461E-3
4.888052840E-1,4.577636719E-3,-3.601074219E-3,-8.285522461E-3
4.938406840E-1,2.914428711E-3,-4.180908203E-3,-9.109497070E-3
4.988760840E-1,2.441406250E-3,-5.249023438E-3,-8.514404297E-3
5.039114850E-1,4.119873047E-3,-4.638671875E-3,-8.285522461E-3
5.089468850E-1,3.723144531E-3,-3.570556641E-3,-8.285522461E-3
5.139822860E-1,3.509521484E-3,-3.341674805E-3,-8.285522461E-3
5.190176860E-1,2.639770508E-3,-3.341674805E-3,-9.140014648E-3
5.240530860E-1,2.441406250E-3,-2.471923828E-3,-9.353637695E-3
5.290884870E-1,3.326416016E-3,-3.173828125E-3,-8.453369141E-3
5.341238870E-1,3.509521484E-3,-5.126953125E-3,-8.285522461E-3
5.391592880E-1,2.609252930E-3,-6.378173828E-3,-7.385253906E-3
5.441946880E-1,2.441406250E-3,-6.546020508E-3,-8.117675781E-3
5.492300880E-1,3.356933594E-3,-5.630493164E-3,-8.285522461E-3
5.542654890E-1,2.578735352E-3,-5.477905273E-3,-8.285522461E-3
5.593008890E-1,2.441406250E-3,-5.477905273E-3,-9.216308594E-3
5.643362900E-1,3.372192383E-3,-4.547119141E-3,-8.407592773E-3
5.693716900E-1,4.455566406E-3,-5.371093750E-3,-8.285522461E-3
5.744070900E-1,3.601074219E-3,-4.516601562E-3,-9.246826172E-3
5.794424910E-1,3.509521484E-3,-4.409790039E-3,-9.353637695E-3
5.844778910E-1,3.509521484E-3,-4.409790039E-3,-9.353637695E-3
5.895132910E-1,2.517700195E-3,-4.409790039E-3,-8.361816406E-3
5.945486920E-1,1.434326172E-3,-4.409790039E-3,-6.286621094E-3
5.995840920E-1,1.373291016E-3,-4.409790039E-3,-8.148193359E-3
6.046194930E-1,2.380371094E-3,-3.402709961E-3,-7.263183594E-3
6.096548930E-1,4.486083984E-3,-3.341674805E-3,-9.262084961E-3
6.146902930E-1,4.577636719E-3,-4.379272461E-3,-8.316040039E-3
6.197256940E-1,3.524780273E-3,-4.409790039E-3,-6.195068359E-3
6.247610940E-1,3.509521484E-3,-4.409790039E-3,-8.239746094E-3
6.297964950E-1,3.509521484E-3,-4.409790039E-3,-7.217407227E-3
6.348318950E-1,4.577636719E-3,-5.477905273E-3,-8.285522461E-3
6.398672950E-1,3.509521484E-3,-4.409790039E-3,-7.217407227E-3
6.449026960E-1,3.494262695E-3,-4.409790039E-3,-7.217407227E-3
6.499380960E-1,2.456665039E-3,-4.394531250E-3,-8.285522461E-3
6.549734970E-1,3.540039062E-3,-3.341674805E-3,-8.285522461E-3
6.600088970E-1,4.531860352E-3,-3.341674805E-3,-8.239746094E-3
6.650442970E-1,3.448486328E-3,-3.341674805E-3,-7.156372070E-3
6.700796980E-1,2.380371094E-3,-3.341674805E-3,-6.256103516E-3
6.751150980E-1,1.373291016E-3,-3.341674805E-3,-8.407592773E-3
6.801504990E-1,1.525878906E-3,-3.341674805E-3,-1.033020020E-2
6.851858990E-1,3.509521484E-3,-3.341674805E-3,-9.262084961E-3
6.902212990E-1,3.311157227E-3,-3.250122070E-3,-8.178710938E-3
6.952567000E-1,1.464843750E-3,-2.380371094E-3,-7.217407227E-3
7.002921000E-1,2.548217773E-3,-3.234863281E-3,-7.095336914E-3
7.053275000E-1,3.631591797E-3,-2.273559570E-3,-6.271362305E-3
7.103629010E-1,4.699707031E-3,-2.548217773E-3,-7.339477539E-3
7.153983010E-1,5.355834961E-3,-4.409790039E-3,-7.995605469E-3
7.204337020E-1,3.051757812E-3,-4.272460938E-3,-6.439208984E-3
7.254691020E-1,7.934570312E-4,-3.341674805E-3,-8.285522461E-3
7.305045020E-1,3.677368164E-3,-3.524780273E-3,-8.285522461E-3
7.355399030E-1,4.394531250E-3,-4.409790039E-3,-8.102416992E-3
7.405753030E-1,3.509521484E-3,-4.409790039E-3,-7.217407227E-3
7.456107040E-1,3.311157227E-3,-4.226684570E-3,-7.217407227E-3
7.506461040E-1,2.441406250E-3,-3.341674805E-3,-7.400512695E-3
7.556815040E-1,2.639770508E-3,-3.341674805E-3,-8.285522461E-3
7.607169050E-1,3.280639648E-3,-3.341674805E-3,-8.499145508E-3
7.657523050E-1,2.883911133E-3,-3.341674805E-3,-8.895874023E-3
7.707877060E-1,3.860473633E-3,-3.341674805E-3,-6.973266602E-3
7.758231060E-1,1.846313477E-3,-3.341674805E-3,-6.378173828E-3
7.808585060E-1,3.509521484E-3,-3.341674805E-3,-7.461547852E-3
7.858939070E-1,3.509521484E-3,-3.616333008E-3,-8.544921875E-3
7.909293070E-1,3.768920898E-3,-4.409790039E-3,-9.353637695E-3
7.959647070E-1,4.577636719E-3,-4.409790039E-3,-9.353637695E-3
8.010001080E-1,4.577636719E-3,-4.699707031E-3,-9.353637695E-3
8.060355080E-1,3.982543945E-3,-5.477905273E-3,-9.048461914E-3
8.110709090E-1,2.441406250E-3,-4.882812500E-3,-8.575439453E-3
8.161063090E-1,2.746582031E-3,-3.341674805E-3,-9.353637695E-3
8.211417090E-1,3.509521484E-3,-3.662109375E-3,-9.033203125E-3
8.261771100E-1,3.829956055E-3,-3.768920898E-3,-8.285522461E-3
8.312125100E-1,4.577636719E-3,-2.624511719E-3,-7.934570312E-3
8.362479110E-1,4.913330078E-3,-3.692626953E-3,-7.217407227E-3
8.412833110E-1,5.279541016E-3,-4.409790039E-3,-6.851196289E-3
8.463187110E-1,4.211425781E-3,-4.776000977E-3,-6.500244141E-3
8.513541120E-1,4.241943359E-3,-5.477905273E-3,-7.583618164E-3
8.563895120E-1,5.645751953E-3,-5.096435547E-3,-7.888793945E-3
8.614249130E-1,5.249023438E-3,-4.409790039E-3,-7.598876953E-3
8.664603130E-1,4.165649414E-3,-4.013061523E-3,-7.873535156E-3
8.714957130E-1,3.509521484E-3,-3.753662109E-3,-7.217407227E-3
8.765311140E-1,3.509521484E-3,-3.585815430E-3,-7.629394531E-3
8.815665140E-1,3.509521484E-3,-2.273559570E-3,-7.858276367E-3
8.866019150E-1,3.936767578E-3,-2.716064453E-3,-7.217407227E-3
8.916373150E-1,5.020141602E-3,-2.899169922E-3,-7.217407227E-3
8.966727150E-1,4.272460938E-3,-3.189086914E-3,-7.659912109E-3
9.017081160E-1,2.899169922E-3,-4.882812500E-3,-7.812500000E-3
9.067435160E-1,3.509521484E-3,-5.950927734E-3,-7.217407227E-3
9.117789160E-1,3.509521484E-3,-5.584716797E-3,-8.178710938E-3
9.168143170E-1,3.005981445E-3,-3.921508789E-3,-8.361816406E-3
9.218497170E-1,1.937866211E-3,-3.341674805E-3,-7.217407227E-3
9.268851180E-1,2.380371094E-3,-2.838134766E-3,-7.720947266E-3
9.319205180E-1,3.509521484E-3,-2.792358398E-3,-8.285522461E-3
9.369559180E-1,4.028320312E-3,-3.341674805E-3,-8.285522461E-3
9.419913190E-1,4.043579102E-3,-3.341674805E-3,-8.285522461E-3
9.470267190E-1,3.509521484E-3,-3.890991211E-3,-8.285522461E-3
9.520621200E-1,3.509521484E-3,-3.311157227E-3,-7.720947266E-3
9.570975200E-1,2.944946289E-3,-2.838134766E-3,-7.766723633E-3
9.621329200E-1,3.005981445E-3,-3.921508789E-3,-8.285522461E-3
9.671683210E-1,3.509521484E-3,-4.409790039E-3,-8.285522461E-3
9.722037210E-1,2.914428711E-3,-5.004882812E-3,-7.690429688E-3
9.772391220E-1,2.441406250E-3,-4.302978516E-3,-7.797241211E-3
9.822812770E-1,3.036499023E-3,-2.746582031E-3,-8.285522461E-3
9.873166770E-1,2.883911133E-3,-2.899169922E-3,-7.659912109E-3
9.923520780E-1,3.051757812E-3,-3.967285156E-3,-6.591796875E-3
9.973874780E-1,3.509521484E-3,-3.784179688E-3,-6.149291992E-3
1.002422879E0,3.509521484E-3,-3.341674805E-3,-7.415771484E-3
1.007458279E0,2.853393555E-3,-3.997802734E-3,-6.988525391E-3
1.012493679E0,3.082275391E-3,-3.768920898E-3,-6.790161133E-3
1.017529080E0,2.166748047E-3,-3.341674805E-3,-7.217407227E-3
