"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.065464900E-2,-3.309173584E-1,9.595565796E0,-7.116928101E0
4.569004900E-2,-3.155364990E-1,9.629089355E0,-7.089141846E0
5.072545000E-2,-3.390808105E-1,9.595092773E0,-7.092147827E0
5.576085000E-2,-3.513031006E-1,9.603683472E0,-7.107055664E0
6.079625000E-2,-3.264160156E-1,9.596145630E0,-7.087310791E0
6.583165100E-2,-3.261108398E-1,9.616882324E0,-7.060165405E0
7.086705100E-2,-3.499145508E-1,9.595062256E0,-7.057617188E0
7.590245200E-2,-3.205108643E-1,9.598220825E0,-7.078308105E0
8.093785200E-2,-3.530883789E-1,9.586563110E0,-7.065261841E0
8.597325200E-2,-3.125305176E-1,9.602157593E0,-7.066986084E0
9.100865300E-2,-3.133392334E-1,9.624313354E0,-7.081649780E0
9.604405300E-2,-3.033447266E-1,9.613739014E0,-7.076919556E0
1.010794540E-1,-3.142242432E-1,9.609771729E0,-7.065124512E0
1.061148540E-1,-3.553924561E-1,9.586639404E0,-7.111892700E0
1.111502540E-1,-3.258666992E-1,9.603683472E0,-7.107116699E0
1.161856550E-1,-3.210754395E-1,9.569503784E0,-7.106170654E0
1.212210550E-1,-3.268432617E-1,9.621978760E0,-7.064041138E0
1.262564560E-1,-3.601684570E-1,9.568771362E0,-7.104507446E0
1.312918560E-1,-2.808380127E-1,9.488662720E0,-7.084457397E0
1.363272560E-1,-3.365478516E-1,9.597503662E0,-7.072631836E0
1.413626570E-1,-3.148956299E-1,9.597305298E0,-7.054306030E0
1.463980570E-1,-3.056182861E-1,9.588500977E0,-7.016708374E0
1.514334570E-1,-3.149719238E-1,9.591308594E0,-7.031341553E0
1.564688580E-1,-3.317260742E-1,9.591201782E0,-7.065261841E0
1.615042580E-1,-3.027496338E-1,9.600433350E0,-7.050659180E0
1.665396590E-1,-3.386993408E-1,9.601135254E0,-7.014572144E0
1.715750590E-1,-3.253479004E-1,9.629577637E0,-7.043594360E0
1.766104590E-1,-3.345336914E-1,9.598953247E0,-7.020355225E0
1.816458600E-1,-3.372497559E-1,9.631561279E0,-7.052032471E0
1.866812600E-1,-3.067779541E-1,9.601089478E0,-6.986557007E0
1.917166610E-1,-3.171539307E-1,9.600112915E0,-6.996810913E0
1.967520610E-1,-3.418426514E-1,9.603195190E0,-7.011871338E0
2.017874610E-1,-3.293609619E-1,9.605895996E0,-7.022979736E0
2.068228620E-1,-3.353576660E-1,9.599853516E0,-7.037094116E0
2.118582620E-1,-3.277435303E-1,9.594390869E0,-7.048019409E0
2.168936630E-1,-3.169708252E-1,9.608825684E0,-7.083816528E0
2.219290630E-1,-3.147430420E-1,9.616928101E0,-7.056610107E0
2.269644630E-1,-3.260803223E-1,9.599273682E0,-7.034194946E0
2.319998640E-1,-3.615722656E-1,9.577545166E0,-7.040237427E0
2.370352640E-1,-3.302764893E-1,9.593353271E0,-7.058425903E0
2.420706650E-1,-3.162994385E-1,9.609970093E0,-6.988845825E0
2.471060650E-1,-3.036499023E-1,9.635208130E0,-6.982757568E0
2.521414650E-1,-3.179321289E-1,9.631515503E0,-7.035400391E0
2.571768660E-1,-3.291778564E-1,9.612167358E0,-7.049514771E0
2.622122660E-1,-3.165588379E-1,9.619918823E0,-7.030090332E0
2.672476660E-1,-3.194122314E-1,9.603912354E0,-7.037506104E0
2.722830670E-1,-3.214111328E-1,9.584777832E0,-7.052108765E0
2.773184670E-1,-3.008117676E-1,9.582473755E0,-7.011108398E0
2.823538680E-1,-2.848968506E-1,9.582855225E0,-7.031219482E0
2.873892680E-1,-3.230133057E-1,9.581787109E0,-7.039779663E0
2.924246680E-1,-3.273468018E-1,9.585693359E0,-7.065399170E0
2.974600690E-1,-3.258209229E-1,9.605499268E0,-7.071716309E0
3.024954690E-1,-3.349151611E-1,9.609725952E0,-7.026641846E0
3.075308700E-1,-3.203887939E-1,9.602706909E0,-7.009887695E0
3.125662700E-1,-3.275756836E-1,9.594345093E0,-7.027862549E0
3.176016700E-1,-3.417053223E-1,9.599517822E0,-7.015197754E0
