"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1741295599.302;"2025-03-06 22:13:19.302 UTC+01:00"
"PAUSE";6.132679432E2;1741296212.570;"2025-03-06 22:23:32.570 UTC+01:00"
