"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.902174690E-1,5.115196109E-2,2.554035187E-2,2.089214325E-2,6.087129329E-2
3.951613170E-1,3.370399773E-2,3.193664551E-2,3.902530670E-2,6.065379916E-2
4.001356820E-1,1.203109324E-2,5.215263367E-2,4.745912552E-2,7.153329992E-2
4.051100470E-1,-1.844260097E-2,8.820152283E-2,9.177207947E-3,9.057515832E-2
4.100844120E-1,1.218163967E-2,1.583099365E-4,-2.932548523E-4,1.218619734E-2
4.150892950E-1,5.609780550E-2,3.048038483E-2,3.005456924E-2,7.056411817E-2
4.200636600E-1,1.294609904E-2,1.126670837E-2,-3.106498718E-2,3.549047234E-2
4.250380260E-1,1.267302036E-2,1.809692383E-2,3.260564804E-2,3.938568752E-2
4.300123910E-1,7.306259871E-2,5.275821686E-2,4.133510590E-2,9.914718228E-2
4.349867560E-1,5.060309172E-2,1.441192627E-2,1.722335815E-2,5.536262797E-2
4.399611210E-1,-1.106336713E-2,1.651668549E-2,5.285263062E-3,2.057019682E-2
4.449354870E-1,2.655483782E-2,1.858806610E-2,2.626323700E-2,4.171849986E-2
4.499098520E-1,3.310158849E-2,4.259109497E-3,6.317710876E-2,7.145069801E-2
4.548842170E-1,-9.528487921E-3,-3.318691254E-2,2.230691910E-2,4.110671339E-2
4.598585820E-1,3.044179082E-2,-2.166748047E-3,-1.311302185E-2,3.321669411E-2
4.648329470E-1,-9.798794985E-3,9.654998779E-3,3.633403778E-2,3.885096763E-2
4.697767950E-1,6.764918566E-3,3.532314301E-2,-3.899669647E-2,5.304932507E-2
4.748427130E-1,3.703595698E-2,4.652595520E-2,4.369831085E-2,7.379613125E-2
4.797560430E-1,3.168047965E-2,2.710819244E-2,2.435445786E-2,4.828712567E-2
4.846998910E-1,-3.981068730E-3,1.268482208E-2,1.467847824E-2,1.980432637E-2
4.897047740E-1,3.821043670E-2,8.640289307E-4,6.138467789E-2,7.231087538E-2
4.946791390E-1,3.757619858E-2,2.438354492E-2,4.331111908E-3,4.500318314E-2
4.996535040E-1,3.464433551E-2,-6.362915039E-3,4.381656647E-3,3.549528963E-2
5.046278690E-1,5.759221315E-2,4.770469666E-2,2.783918381E-2,7.979737623E-2
5.096022350E-1,1.222705841E-2,4.704570770E-2,-2.405786514E-2,5.423633879E-2
5.145766000E-1,1.682221889E-2,2.064037323E-2,6.081962585E-2,6.639306398E-2
5.195509650E-1,7.353708148E-3,6.359100342E-3,8.442401886E-3,1.287592056E-2
5.245253300E-1,-4.364266992E-3,4.152107239E-2,2.951908112E-2,5.113142310E-2
5.294996960E-1,-1.908272505E-3,3.632164001E-2,2.686357498E-2,4.521675241E-2
5.344740610E-1,4.272696376E-2,6.876564026E-2,2.193117142E-2,8.387659383E-2
5.394484260E-1,3.286018968E-2,4.913806915E-2,-5.098628998E-2,7.806371546E-2
5.444227910E-1,3.028883040E-2,2.746582031E-2,-3.133249283E-2,5.151222806E-2
5.493971560E-1,3.951722383E-2,4.837608337E-2,1.154851913E-2,6.352341865E-2
5.543715220E-1,-1.481822133E-2,5.727100372E-2,2.332592010E-2,6.358966976E-2
5.593458870E-1,3.018549085E-2,-4.401206970E-3,-2.376508713E-2,3.866928816E-2
5.643202520E-1,6.530344486E-3,2.165222168E-2,-2.118110657E-3,2.271454370E-2
5.692946170E-1,3.252747655E-2,3.327560425E-2,-4.183816910E-2,6.257583369E-2
5.742689830E-1,4.406715930E-2,2.360534668E-2,2.938652039E-2,5.798874460E-2
5.792433480E-1,1.320879161E-2,-2.389907837E-3,2.920675278E-2,3.214371234E-2
5.842177130E-1,4.858605564E-2,3.538703918E-2,-1.330184937E-2,6.156124220E-2
5.891920780E-1,4.824952781E-2,1.392936707E-2,-3.647947311E-2,6.207089624E-2
5.941664440E-1,5.580410361E-3,6.862640381E-3,1.353740692E-2,1.617090594E-2
5.991408090E-1,5.982567370E-2,-2.529144287E-3,-2.648591995E-2,6.547527595E-2
6.041151740E-1,3.586187959E-2,2.345180511E-2,-9.613513947E-3,4.391447621E-2
6.091200570E-1,7.527440786E-3,1.390552521E-2,2.360200882E-2,2.840916782E-2
6.140639040E-1,-8.741959929E-3,4.211330414E-2,2.320766449E-3,4.307363702E-2
6.190382700E-1,1.040099561E-2,8.764266968E-3,3.062343597E-2,3.350802764E-2
6.240431530E-1,4.109574854E-2,8.722305298E-3,-6.143569946E-2,7.442636849E-2
6.290175180E-1,2.916540205E-2,1.343059540E-2,-3.709030151E-2,4.905804762E-2
6.339918830E-1,5.607023835E-3,1.573562622E-2,4.818248749E-2,5.099608563E-2
6.389662480E-1,2.705286443E-2,6.508064270E-2,-4.642248154E-2,8.439427895E-2
6.439406130E-1,2.006010711E-2,5.630493164E-3,-3.393650055E-3,2.110988421E-2
6.489149790E-1,-1.046264172E-2,-6.064414978E-3,-1.025152206E-2,1.585363382E-2
