"event","experiment time","system time","system time text"
"START",0.000000000E0,1725191953.572,"2024-09-01 13:59:13.572 UTC+02:00"
"PAUSE",6.955610237E1,1725192023.128,"2024-09-01 14:00:23.128 UTC+02:00"
