"event","experiment time","system time","system time text"
"START",0.000000000E0,1725192541.971,"2024-09-01 14:09:01.971 UTC+02:00"
"PAUSE",5.452185462E1,1725192596.493,"2024-09-01 14:09:56.493 UTC+02:00"
