"event","experiment time","system time","system time text"
"START",0.000000000E0,1721470101.715,"2024-07-20 12:08:21.715 UTC+02:00"
"PAUSE",4.635589061E1,1721470148.071,"2024-07-20 12:09:08.071 UTC+02:00"
