"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.747022320E-1,-2.370933890E-1,-2.021789551E-3,-9.955692291E-2,2.571554854E-1
3.796765980E-1,-2.456235290E-1,-1.562118530E-2,-1.038522720E-1,2.671333633E-1
3.846509630E-1,-2.355428934E-1,-1.496124268E-2,-9.879493713E-2,2.558607688E-1
3.896253280E-1,-1.816539764E-1,-7.363319397E-3,-1.265077591E-1,2.214872428E-1
3.946302110E-1,-2.198050618E-1,-6.282806396E-2,-2.347946167E-3,2.286200859E-1
3.996045760E-1,-2.384951711E-1,-2.632427216E-2,-6.726551056E-2,2.491938258E-1
4.046094590E-1,-2.429589629E-1,-6.057739258E-2,-1.216068268E-1,2.783646861E-1
4.095838240E-1,-2.405772209E-1,-6.389141083E-2,-6.301116943E-2,2.567682205E-1
4.145581890E-1,-2.289482355E-1,7.439613342E-3,-1.572980881E-1,2.778764670E-1
4.195630720E-1,-2.103982568E-1,-3.472614288E-2,-2.588081360E-2,2.148095621E-1
4.245374370E-1,-2.178924680E-1,-2.246761322E-2,2.353668213E-2,2.203086395E-1
4.295423200E-1,-2.113667727E-1,-4.782104492E-2,-7.510566711E-2,2.293548041E-1
4.345166850E-1,-1.676495671E-1,-5.173492432E-2,-7.153320312E-2,1.894726336E-1
4.394910510E-1,-1.622136831E-1,1.216220856E-2,2.043724060E-3,1.626818217E-1
4.444959340E-1,-2.015100718E-1,-4.549026489E-3,-2.618980408E-2,2.032557711E-1
4.494702990E-1,-1.677771211E-1,9.409904480E-3,-3.758716583E-2,1.721932162E-1
4.544446640E-1,-1.814855337E-1,-4.707050323E-2,-3.010845184E-2,1.898924698E-1
4.594495470E-1,-1.623111963E-1,-1.137447357E-2,-6.725406647E-2,1.760608206E-1
4.644239120E-1,-1.786698699E-1,-2.313899994E-2,-1.490592957E-2,1.807775497E-1
4.694287950E-1,-1.410410404E-1,-3.240585327E-2,-5.710220337E-2,1.555743425E-1
4.744031600E-1,-1.907581687E-1,-1.577186584E-2,-7.052803040E-2,2.039892981E-1
4.793775250E-1,-1.765074730E-1,1.232910156E-2,-4.859256744E-2,1.834887800E-1
4.843824080E-1,-1.836447716E-1,9.527206421E-3,-4.810428619E-2,1.900794364E-1
4.893567730E-1,-1.274186969E-1,2.038955688E-3,-2.893924713E-2,1.306796146E-1
4.943616560E-1,-1.377437711E-1,4.015922546E-3,-1.947593689E-2,1.391717867E-1
4.993055040E-1,-1.480292082E-1,-2.215003967E-2,-6.171035767E-2,1.618994718E-1
5.042798690E-1,-8.790385723E-2,1.301956177E-2,-7.052421570E-2,1.134471776E-1
5.092847520E-1,-1.530949473E-1,-3.214550018E-2,-4.880237579E-2,1.638690574E-1
5.142591170E-1,-1.470417976E-1,-1.099681854E-2,-5.088806152E-2,1.559865862E-1
5.192334820E-1,-1.762888432E-1,-6.577491760E-3,-6.469249725E-2,1.878992784E-1
5.242383650E-1,-1.886912584E-1,-3.275871277E-2,-9.947299957E-2,2.158063992E-1
5.292432480E-1,-1.633743048E-1,-3.747940063E-2,4.695415497E-2,1.740705650E-1
5.342176130E-1,-1.760728359E-1,-4.214572906E-2,-8.097743988E-2,1.983311670E-1
5.392224960E-1,-1.628769636E-1,-5.146121979E-2,-5.925559998E-2,1.807993046E-1
5.441968610E-1,-1.898552775E-1,-2.779579163E-2,-2.140522003E-2,1.930694587E-1
5.492017440E-1,-1.742495298E-1,9.609222412E-3,-1.229381561E-2,1.749467739E-1
5.541761090E-1,-1.564959288E-1,1.871109009E-3,-3.387355804E-2,1.601308674E-1
5.591504750E-1,-1.741853952E-1,-3.863048553E-2,-5.786895752E-3,1.785114968E-1
5.641553570E-1,-1.398903131E-1,-1.279830933E-2,-6.031036377E-2,1.528739233E-1
5.691297230E-1,-1.436082125E-1,5.640983582E-3,-5.542087555E-2,1.540344534E-1
5.741040880E-1,-1.473459005E-1,-2.084064484E-2,-5.767536163E-2,1.595982275E-1
5.791089710E-1,-1.111555696E-1,-2.116489410E-2,2.707576752E-2,1.163469405E-1
5.840833360E-1,-1.530494094E-1,-4.267597198E-2,9.662628174E-3,1.591814269E-1
5.890577010E-1,-1.144915819E-1,-1.220989227E-2,-2.864837646E-3,1.151764346E-1
5.940625840E-1,-1.633839607E-1,8.509635925E-3,1.300334930E-2,1.641213564E-1
5.990369490E-1,-1.105163693E-1,-1.103115082E-2,1.454448700E-2,1.120138218E-1
6.040418320E-1,-1.360231042E-1,-6.890296936E-3,6.305885315E-2,1.500872414E-1
6.090161970E-1,-1.166625023E-1,-4.047012329E-2,-4.300117493E-3,1.235575224E-1
6.139905620E-1,-1.257966161E-1,-1.014614105E-2,3.263950348E-2,1.303574700E-1
6.190564800E-1,-1.112602353E-1,-4.846572876E-2,1.733779907E-2,1.225902366E-1
6.239698100E-1,-1.321482658E-1,-3.453540802E-2,6.956100464E-3,1.367634670E-1
6.289441760E-1,-1.316532493E-1,2.798080444E-3,2.966594696E-2,1.349832423E-1
6.339490590E-1,-1.147502065E-1,-7.567024231E-2,4.742240906E-2,1.454045403E-1
6.389234240E-1,-1.263174415E-1,-5.679225922E-2,3.433418274E-2,1.426894980E-1
6.438977890E-1,-1.165309548E-1,-3.342533112E-2,4.726982117E-2,1.301197609E-1
6.489026720E-1,-1.280701756E-1,-1.028823853E-2,-1.057910919E-2,1.289175523E-1
6.538770370E-1,-9.714084864E-2,-3.215217590E-2,2.169704437E-2,1.045986072E-1
6.588514020E-1,-1.160207391E-1,-4.274368286E-3,4.216194153E-3,1.161759804E-1
6.638562850E-1,-1.017674804E-1,-5.440711975E-2,5.807876587E-3,1.155443039E-1
6.688306500E-1,-7.127720118E-2,4.343032837E-3,1.087112427E-1,1.300670428E-1
6.738355330E-1,-8.118742704E-2,-2.002429962E-2,9.271240234E-2,1.248517538E-1
6.788098980E-1,-6.264621019E-2,-3.238582611E-2,3.678035736E-2,7.953731245E-2
6.837842640E-1,-5.127137899E-2,-2.574825287E-2,8.042335510E-2,9.879090482E-2
6.887891460E-1,-6.356728077E-2,-3.799724579E-2,9.541225433E-2,1.207811581E-1
6.937635120E-1,-8.753257990E-2,-4.543304443E-2,9.374332428E-2,1.360658845E-1
6.987378770E-1,-5.704480410E-2,-5.754184723E-2,6.613349915E-2,1.045887832E-1
7.037427600E-1,-8.120447397E-2,-3.648948669E-2,1.761436462E-2,9.075194253E-2
7.087171250E-1,-6.501829624E-2,-1.495361328E-3,2.376842499E-2,6.924271065E-2
7.137220080E-1,-3.237158060E-2,-4.607200623E-3,4.159736633E-2,5.291017307E-2
7.186963730E-1,1.186126471E-2,-3.835391998E-2,1.253147125E-1,1.315883352E-1
7.236707380E-1,-3.389924765E-2,-5.996227264E-2,1.092615128E-1,1.291615705E-1
7.286756210E-1,2.684098482E-2,-3.889942169E-2,7.451057434E-2,8.823507898E-2
7.336499860E-1,1.389414072E-2,1.733112335E-2,6.362247467E-2,6.738868055E-2
7.386243510E-1,8.186995983E-3,-6.850433350E-2,8.586788177E-2,1.101506411E-1
7.436292340E-1,9.694695473E-3,-7.573223114E-2,8.431911469E-2,1.137500376E-1
7.486036000E-1,3.249996901E-2,-2.628040314E-2,1.205244064E-1,1.275658266E-1
7.536084820E-1,4.568684101E-2,-2.920150757E-2,9.739208221E-2,1.114685299E-1
7.585828480E-1,9.177207947E-3,-1.557445526E-2,1.240339279E-1,1.253443261E-1
7.635572130E-1,3.189551830E-2,-1.382255554E-2,1.056690216E-1,1.112399625E-1
7.685620960E-1,8.976799250E-2,-2.622985840E-2,8.512592316E-2,1.264623293E-1
7.735364610E-1,3.391188383E-2,-1.725769043E-2,6.950664520E-2,7.924025159E-2
7.785108260E-1,4.702001810E-2,-4.610729218E-2,1.059713364E-1,1.247665365E-1
7.835157090E-1,9.071558714E-2,-3.691196442E-2,1.280117035E-1,1.611794252E-1
7.884900740E-1,5.378890038E-2,-4.899311066E-2,8.618640900E-2,1.127903710E-1
7.934949570E-1,8.550488949E-2,-1.615142822E-2,7.065105438E-2,1.120871368E-1
7.984693220E-1,3.427773714E-2,-5.203533173E-2,9.774398804E-2,1.159160309E-1
8.034436870E-1,8.741450310E-2,-5.926895142E-2,1.364383698E-1,1.725384963E-1
8.084485700E-1,3.156489134E-2,-6.406211853E-2,6.860542297E-2,9.903030575E-2
8.134229350E-1,6.357318163E-2,-3.099727631E-2,1.265001297E-1,1.449298567E-1
8.183973010E-1,8.594155312E-2,-2.415084839E-2,7.298851013E-2,1.153106094E-1
8.234021840E-1,7.271087170E-2,-3.863048553E-2,1.379213333E-1,1.606283893E-1
8.283765490E-1,8.792549372E-2,-3.652572632E-2,1.125411987E-1,1.474128303E-1
8.333814320E-1,1.313442588E-1,-2.737808228E-2,1.345567703E-1,1.900168365E-1
8.383557970E-1,9.421515465E-2,-2.061843872E-2,8.326339722E-2,1.274143190E-1
8.433301620E-1,9.525001049E-2,-2.093219757E-2,1.056442261E-1,1.437756026E-1
8.483350450E-1,8.680087328E-2,-1.650619507E-2,9.481143951E-2,1.295995954E-1
