"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.897095790E-1,1.695251465E-2,2.424621582E-2,2.203369141E-2
3.947449790E-1,1.695251465E-2,2.258300781E-2,2.143859863E-2
3.997803790E-1,1.643371582E-2,2.258300781E-2,2.252197266E-2
4.048157800E-1,1.481628418E-2,2.311706543E-2,2.226257324E-2
4.098511800E-1,1.509094238E-2,2.471923828E-2,1.905822754E-2
4.148865810E-1,1.588439941E-2,2.412414551E-2,1.876831055E-2
4.199219810E-1,1.556396484E-2,2.226257324E-2,1.831054688E-2
4.249573810E-1,1.351928711E-2,2.151489258E-2,1.971435547E-2
4.299927820E-1,9.201049805E-3,2.250671387E-2,2.119445801E-2
4.350281820E-1,5.920410156E-3,2.401733398E-2,2.119445801E-2
4.400635820E-1,4.837036133E-3,2.076721191E-2,2.084350586E-2
4.450989830E-1,3.387451172E-3,1.611328125E-2,2.012634277E-2
4.501343830E-1,1.220703125E-3,1.480102539E-2,2.052307129E-2
4.551697840E-1,-1.312255859E-3,1.655578613E-2,2.081298828E-2
4.602051840E-1,-4.562377930E-3,1.844787598E-2,2.012634277E-2
4.652405840E-1,-6.546020508E-3,2.044677734E-2,2.055358887E-2
4.702759850E-1,-5.691528320E-3,1.913452148E-2,2.206420898E-2
4.753113850E-1,-3.524780273E-3,1.010131836E-2,2.378845215E-2
4.803467860E-1,-4.119873047E-3,4.730224609E-3,2.394104004E-2
4.853821860E-1,-9.384155273E-3,2.355957031E-2,2.145385742E-2
4.904175860E-1,-1.344299316E-2,4.548645020E-2,1.954650879E-2
4.954529870E-1,-1.254272461E-2,4.301452637E-2,2.113342285E-2
5.004883870E-1,-8.300781250E-3,2.056884766E-2,2.378845215E-2
5.055237880E-1,-6.515502930E-3,3.479003906E-3,2.650451660E-2
5.105591880E-1,-9.231567383E-3,6.057739258E-3,2.760314941E-2
5.155945880E-1,-1.303100586E-2,2.342224121E-2,2.650451660E-2
5.206299890E-1,-1.509094238E-2,3.269958496E-2,2.435302734E-2
5.256653890E-1,-1.336669922E-2,2.354431152E-2,2.333068848E-2
5.307007900E-1,-1.013183594E-2,9.719848633E-3,2.333068848E-2
5.357361900E-1,-7.492065430E-3,4.425048828E-3,2.273559570E-2
5.407715900E-1,-8.377075195E-3,5.630493164E-3,2.105712891E-2
5.458069910E-1,-1.162719727E-2,1.028442383E-2,1.889038086E-2
5.508423910E-1,-1.168823242E-2,1.168823242E-2,1.736450195E-2
5.558777910E-1,-9.521484375E-3,6.256103516E-3,1.692199707E-2
5.609131920E-1,-8.026123047E-3,2.014160156E-3,1.692199707E-2
5.659485920E-1,-6.256103516E-3,4.623413086E-3,1.625061035E-2
5.709839930E-1,-8.270263672E-3,1.489257812E-2,1.585388184E-2
5.760193930E-1,-1.046752930E-2,2.290344238E-2,1.515197754E-2
5.810547930E-1,-8.666992188E-3,2.110290527E-2,1.406860352E-2
5.860901940E-1,-5.416870117E-3,7.629394531E-3,1.225280762E-2
