"event","experiment time","system time","system time text"
"START",0.000000000E0,1720955436.186,"2024-07-14 13:10:36.186 UTC+02:00"
"PAUSE",2.009599619E1,1720955456.282,"2024-07-14 13:10:56.282 UTC+02:00"
