"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.788392770E-1,1.617571898E-2,3.243446350E-2,1.207108498E-1,1.260347474E-1
3.838136420E-1,3.665469587E-2,4.789829254E-2,1.131825447E-1,1.282501524E-1
3.887880070E-1,3.109909408E-2,-1.605701447E-2,1.291489601E-1,1.338074559E-1
3.937623720E-1,-9.244024754E-3,-6.466865540E-3,1.285104752E-1,1.290047075E-1
3.987367370E-1,2.114405483E-2,-8.711814880E-3,1.233167648E-1,1.254192619E-1
4.037111030E-1,-1.194709539E-2,4.734992981E-2,9.268999100E-2,1.047672820E-1
4.086854680E-1,2.793984860E-2,4.634666443E-2,1.420145035E-1,1.519762075E-1
4.136598330E-1,2.270087413E-2,2.206611633E-2,7.613658905E-2,8.245619060E-2
4.186341980E-1,4.555438831E-2,4.493522644E-2,1.119165421E-1,1.289173738E-1
4.236085640E-1,-1.367126033E-2,4.870414734E-2,1.237030029E-1,1.336466620E-1
4.285829290E-1,3.805788606E-2,8.062362671E-3,9.328746796E-2,1.010740128E-1
4.335572940E-1,2.585779317E-2,-6.079673767E-3,7.287216187E-2,7.756249013E-2
4.385316590E-1,9.285274893E-3,1.979541779E-2,1.159906387E-1,1.180334833E-1
4.435060250E-1,7.044902071E-3,3.350162506E-2,1.162724495E-1,1.212075577E-1
4.484803900E-1,9.512836114E-3,3.056907654E-2,9.783458710E-2,1.029396373E-1
4.535463080E-1,9.698450565E-3,2.997493744E-2,5.628871918E-2,6.450563328E-2
4.584596380E-1,1.465566643E-2,5.989074707E-3,4.118633270E-2,4.412450086E-2
4.634340030E-1,-3.841515630E-3,-8.209228516E-3,9.657669067E-2,9.700106111E-2
4.684083680E-1,1.774033532E-2,2.464103699E-2,4.808092117E-2,5.686541288E-2
4.733827340E-1,6.149316207E-3,-1.796340942E-2,4.956197739E-2,5.307436076E-2
4.783570990E-1,8.778756484E-3,4.079914093E-2,1.376605034E-1,1.438473172E-1
4.833314640E-1,1.605907828E-2,4.956245422E-3,1.166629791E-1,1.178673367E-1
4.883058290E-1,2.785089985E-2,2.360820770E-2,6.326866150E-2,7.304754357E-2
4.932801950E-1,-2.719376236E-3,-2.489089966E-4,1.489419937E-1,1.489670247E-1
4.982545600E-1,2.118222788E-2,2.548599243E-2,1.208257675E-1,1.252880229E-1
5.032289250E-1,2.834323421E-2,8.675575256E-3,2.051734924E-2,3.604949586E-2
5.082032900E-1,3.299470991E-2,-1.021099091E-2,5.305433273E-2,6.330621959E-2
5.131776550E-1,-4.361756146E-5,3.687763214E-2,1.015777588E-1,1.080648080E-1
5.181520210E-1,2.139127068E-2,1.054382324E-2,8.839845657E-2,9.155897441E-2
5.231263860E-1,3.090479970E-2,1.274585724E-2,6.603527069E-2,7.401500183E-2
5.281007510E-1,2.153904177E-2,5.249691010E-2,8.392524719E-2,1.013079612E-1
5.330751160E-1,2.809468657E-3,-6.893157959E-3,1.321072578E-1,1.323168028E-1
5.380494820E-1,-2.505408973E-2,-6.775856018E-3,6.929731369E-2,7.399822512E-2
5.430238470E-1,-8.103530854E-4,-1.924514771E-3,1.036820412E-1,1.037030669E-1
5.480287300E-1,1.837847568E-2,3.581047058E-2,9.777545929E-2,1.057364583E-1
5.530030950E-1,6.846463308E-3,-1.151943207E-2,1.295528412E-1,1.302440403E-1
5.579774600E-1,1.663212664E-2,5.161285400E-3,9.744834900E-2,9.899215740E-2
5.629518250E-1,2.157093771E-2,9.880065918E-3,1.033701897E-1,1.060580839E-1
5.678956730E-1,5.475124717E-2,1.219081879E-2,1.045327187E-1,1.186313803E-1
5.729005560E-1,1.947507448E-2,9.754180908E-3,7.981204987E-2,8.273080367E-2
5.778749210E-1,-1.293014176E-2,-6.759643555E-3,7.186365128E-2,7.332984196E-2
5.828492860E-1,3.030726314E-2,6.393718719E-2,6.166982651E-2,9.385979761E-2
5.878236520E-1,4.800152034E-3,9.183883667E-3,3.989696503E-2,4.122078356E-2
5.927980170E-1,5.716187134E-2,9.200096130E-3,4.428720474E-2,7.289360609E-2
5.977723820E-1,5.717391148E-2,4.213523865E-2,1.003665924E-1,1.229540051E-1
6.027467470E-1,-1.801220886E-2,-6.179809570E-4,9.931755066E-2,1.009395732E-1
6.077211120E-1,2.300643548E-2,1.357364655E-2,9.356117249E-2,9.729970684E-2
6.126954780E-1,1.651992835E-2,6.424903870E-3,2.668762207E-2,3.203773703E-2
6.176698430E-1,5.384981632E-3,-2.957344055E-3,1.277394295E-1,1.278870820E-1
6.226442080E-1,3.201517463E-2,-2.865600586E-2,4.885244370E-2,6.505919868E-2
6.276185730E-1,1.357898489E-2,4.714488983E-2,3.908395767E-2,6.272627213E-2
6.325929390E-1,1.882510632E-2,1.846599579E-2,6.231641769E-2,6.766619202E-2
6.375673040E-1,3.108274564E-2,4.184722900E-3,4.522228241E-2,5.503366069E-2
6.425416690E-1,5.569878966E-3,2.773857117E-2,5.893230438E-2,6.537177053E-2
6.475465520E-1,2.739375830E-2,-5.462646484E-3,4.426479340E-2,5.234147910E-2
6.525209170E-1,3.482170776E-2,-1.949596405E-2,6.742095947E-2,7.834685521E-2
6.574952820E-1,1.628594846E-2,6.625175476E-3,2.432727814E-2,3.001568804E-2
6.624696480E-1,2.854079008E-2,2.779006958E-2,4.060506821E-2,5.688265315E-2
6.674745300E-1,6.331130862E-4,1.581478119E-2,3.559112549E-2,3.895171819E-2
6.724488960E-1,3.903362900E-2,2.283382416E-2,1.013593674E-1,1.109897701E-1
6.774232610E-1,4.166065529E-2,8.592605591E-3,6.280851364E-2,7.585744826E-2
6.823976260E-1,2.781597897E-2,2.279853821E-2,-1.540994644E-2,3.912759231E-2
6.873414740E-1,-4.706807435E-3,-2.678298950E-2,1.792287827E-2,3.256857578E-2
6.923463570E-1,3.844411671E-2,3.493881226E-2,3.210592270E-2,6.106931295E-2
6.973207220E-1,1.514045149E-2,2.066707611E-2,5.328130722E-2,5.912071554E-2
7.022950870E-1,1.794994250E-2,-5.219459534E-3,7.431411743E-2,7.662918010E-2
7.072389350E-1,4.138119519E-3,-2.107620239E-4,-4.398441315E-2,4.417914727E-2
7.122133000E-1,-7.164977491E-3,1.178932190E-2,8.875417709E-2,8.981998088E-2
7.171876650E-1,-1.360838488E-2,1.894378662E-2,4.336309433E-2,4.923832999E-2
7.221620300E-1,8.352320641E-3,4.724597931E-2,7.148599625E-2,8.609408505E-2
7.271363960E-1,-2.883496881E-2,6.904602051E-3,6.400203705E-2,7.053644237E-2
7.321107610E-1,-1.142614335E-2,2.118492126E-2,-9.470939636E-3,2.586612337E-2
7.370851260E-1,-3.666708991E-2,3.060340881E-2,6.160306931E-2,7.794858729E-2
7.420594910E-1,-3.575501218E-2,-7.231712341E-3,2.307415009E-3,3.655191819E-2
7.470338570E-1,-2.066907659E-2,-9.343147278E-3,9.599208832E-3,2.463026468E-2
7.520082220E-1,-9.429045022E-4,5.228424072E-2,4.986953735E-2,7.225995885E-2
7.570741400E-1,-2.616378292E-2,1.420688629E-2,-4.244184494E-2,5.184292967E-2
7.619569520E-1,-4.891017824E-2,7.130622864E-3,1.138525009E-1,1.241186661E-1
7.669313180E-1,-3.140017390E-2,-2.184867859E-3,3.995943069E-2,5.086748146E-2
