"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.973658330E-1,1.673889160E-2,2.642822266E-2,2.873229980E-2
4.024012330E-1,1.574707031E-2,4.327392578E-2,2.972412109E-2
4.074366340E-1,1.574707031E-2,4.092407227E-2,2.981567383E-2
4.124720340E-1,1.574707031E-2,2.439880371E-2,3.079223633E-2
4.175074350E-1,1.585388184E-2,4.196166992E-3,3.057861328E-2
4.225428350E-1,1.705932617E-2,-1.284790039E-2,2.865600586E-2
4.275782350E-1,1.907348633E-2,-2.697753906E-2,2.841186523E-2
4.326136360E-1,1.988220215E-2,-3.302001953E-2,2.665710449E-2
4.376490360E-1,1.849365234E-2,-2.926635742E-2,2.729797363E-2
4.426844360E-1,1.524353027E-2,-2.926635742E-2,2.561950684E-2
4.477198370E-1,1.200866699E-2,-2.645874023E-2,2.635192871E-2
4.527552370E-1,8.590698242E-3,-6.866455078E-3,2.526855469E-2
4.577906380E-1,4.867553711E-3,2.232360840E-2,2.438354492E-2
4.628260380E-1,4.409790039E-3,3.802490234E-2,2.459716797E-2
4.678614380E-1,6.988525391E-3,3.369140625E-2,2.632141113E-2
4.728968390E-1,1.086425781E-2,1.298522949E-2,2.972412109E-2
4.779322390E-1,1.325988770E-2,-1.159667969E-3,2.996826172E-2
4.829676400E-1,1.623535156E-2,-2.151489258E-3,3.153991699E-2
4.880030400E-1,1.866149902E-2,3.036499023E-3,3.453063965E-2
4.930384400E-1,2.189636230E-2,2.746582031E-3,3.723144531E-2
4.980738410E-1,2.484130859E-2,-1.556396484E-3,4.069519043E-2
5.031092410E-1,2.700805664E-2,-4.699707031E-3,4.089355469E-2
5.081446420E-1,2.886962891E-2,-5.630493164E-3,3.965759277E-2
5.131800420E-1,3.025817871E-2,-8.224487305E-3,4.040527344E-2
5.182154420E-1,3.176879883E-2,-9.307861328E-3,4.040527344E-2
5.232508430E-1,3.141784668E-2,-1.004028320E-2,4.040527344E-2
5.282862430E-1,2.896118164E-2,-8.651733398E-3,4.075622559E-2
5.333216430E-1,2.427673340E-2,-1.449584961E-3,4.147338867E-2
5.383570440E-1,1.992797852E-2,1.371765137E-2,4.147338867E-2
5.433924440E-1,1.345825195E-2,2.931213379E-2,4.072570801E-2
5.484278450E-1,7.751464844E-3,3.128051758E-2,3.933715820E-2
5.534632450E-1,3.845214844E-3,1.631164551E-2,3.974914551E-2
5.584986450E-1,6.103515625E-4,-6.561279297E-3,3.999328613E-2
5.635340460E-1,-1.770019531E-3,-2.435302734E-2,3.892517090E-2
5.685694460E-1,-1.983642578E-3,-3.315734863E-2,3.784179688E-2
5.736048470E-1,-1.525878906E-5,-3.567504883E-2,3.765869141E-2
5.786402470E-1,2.777099609E-3,-3.063964844E-2,3.781127930E-2
5.836756470E-1,3.524780273E-3,-1.455688477E-2,3.720092773E-2
5.887110480E-1,2.929687500E-3,7.476806641E-3,3.672790527E-2
5.937464480E-1,3.417968750E-3,2.821350098E-2,3.613281250E-2
5.987818490E-1,2.487182617E-3,4.302978516E-2,3.463745117E-2
6.038172490E-1,2.746582031E-4,4.614257812E-2,3.140258789E-2
6.088526490E-1,1.296997070E-3,3.286743164E-2,3.025817871E-2
6.138880500E-1,4.531860352E-3,6.515502930E-3,2.972412109E-2
6.189234500E-1,5.584716797E-3,-2.366638184E-2,2.812194824E-2
6.239588510E-1,6.179809570E-3,-4.450988770E-2,2.758789062E-2
6.289942510E-1,6.622314453E-3,-4.609680176E-2,2.758789062E-2
6.340296510E-1,7.278442383E-3,-2.940368652E-2,2.758789062E-2
6.390650520E-1,7.080078125E-3,-4.440307617E-3,2.700805664E-2
6.441004520E-1,7.324218750E-3,1.303100586E-2,2.592468262E-2
6.491358520E-1,8.865356445E-3,1.832580566E-2,2.424621582E-2
6.541712530E-1,8.712768555E-3,1.940917969E-2,2.207946777E-2
6.592066530E-1,8.270263672E-3,2.049255371E-2,1.802062988E-2
6.642420540E-1,7.614135742E-3,1.835632324E-2,1.327514648E-2
6.692774540E-1,7.202148438E-3,1.141357422E-2,8.956909180E-3
6.743128540E-1,5.859375000E-3,3.463745117E-3,6.637573242E-3
6.793482550E-1,3.707885742E-3,-4.089355469E-3,4.882812500E-3
6.843836550E-1,2.243041992E-3,-1.504516602E-2,3.417968750E-3
6.894190560E-1,1.159667969E-3,-2.452087402E-2,2.334594727E-3
6.944544560E-1,-2.044677734E-3,-2.642822266E-2,1.251220703E-3
6.994898560E-1,-6.362915039E-3,-2.174377441E-2,-1.983642578E-3
7.045252570E-1,-9.948730469E-3,-1.309204102E-2,-5.569458008E-3
7.095606570E-1,-1.316833496E-2,3.936767578E-3,-8.789062500E-3
7.145960580E-1,-1.715087891E-2,2.593994141E-2,-1.127624512E-2
7.196314580E-1,-2.072143555E-2,4.103088379E-2,-1.268005371E-2
7.246668580E-1,-2.163696289E-2,3.591918945E-2,-1.144409180E-2
7.297022590E-1,-2.006530762E-2,1.615905762E-2,-1.007080078E-2
7.347376590E-1,-1.715087891E-2,-3.097534180E-3,-8.224487305E-3
