"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.985240500E-2,-2.499694824E-1,9.654159546E0,-8.502731323E0
4.488780600E-2,-2.655944824E-1,9.650283813E0,-8.434875488E0
4.992320600E-2,-2.504577637E-1,9.654403687E0,-8.401321411E0
5.495860600E-2,-3.336486816E-1,9.662521362E0,-8.485702515E0
5.999400700E-2,-3.758239746E-1,9.673965454E0,-8.501541138E0
6.502940700E-2,-3.838500977E-1,9.678085327E0,-8.443771362E0
7.006480800E-2,-4.436035156E-1,9.665084839E0,-8.396057129E0
7.510020800E-2,-4.941711426E-1,9.650650024E0,-8.454803467E0
8.013560800E-2,-5.116882324E-1,9.633224487E0,-8.548065186E0
8.517100900E-2,-5.108489990E-1,9.626052856E0,-8.558395386E0
9.020640900E-2,-4.569091797E-1,9.630661011E0,-8.509094238E0
9.524181000E-2,-5.086669922E-1,9.629089355E0,-8.507766724E0
1.002772100E-1,-6.030120850E-1,9.613739014E0,-8.439102173E0
1.053126100E-1,-6.320953369E-1,9.616333008E0,-8.428100586E0
1.103480110E-1,-6.855926514E-1,9.632949829E0,-8.443313599E0
1.153834110E-1,-6.754608154E-1,9.633911133E0,-8.411285400E0
1.204188110E-1,-6.972961426E-1,9.619400024E0,-8.416046143E0
1.254542120E-1,-7.491912842E-1,9.601974487E0,-8.438385010E0
1.304896120E-1,-8.229827881E-1,9.599060059E0,-8.402114868E0
1.355250130E-1,-8.565673828E-1,9.591033936E0,-8.408477783E0
1.405604130E-1,-8.714904785E-1,9.605529785E0,-8.448242188E0
1.455958130E-1,-8.279113770E-1,9.621154785E0,-8.387176514E0
1.506312140E-1,-7.952728271E-1,9.603012085E0,-8.456253052E0
1.556666140E-1,-8.155517578E-1,9.610885620E0,-8.443984985E0
1.607020150E-1,-8.481903076E-1,9.626617432E0,-8.399688721E0
1.657374150E-1,-9.157562256E-1,9.614257812E0,-8.383163452E0
1.707728150E-1,-9.512329102E-1,9.628280640E0,-8.407882690E0
1.758082160E-1,-9.256591797E-1,9.642303467E0,-8.437255859E0
1.808436160E-1,-9.148254395E-1,9.627395630E0,-8.460174561E0
1.858790170E-1,-9.208068848E-1,9.629196167E0,-8.512634277E0
1.909144170E-1,-9.853210449E-1,9.618072510E0,-8.467163086E0
1.959498170E-1,-1.055297852E0,9.613677979E0,-8.466079712E0
2.009852180E-1,-1.005554199E0,9.595413208E0,-8.487136841E0
2.060206180E-1,-1.015411377E0,9.607864380E0,-8.490341187E0
2.110560180E-1,-1.001464844E0,9.639816284E0,-8.537017822E0
2.160914190E-1,-1.007568359E0,9.627792358E0,-8.527786255E0
2.211268190E-1,-1.113433838E0,9.589691162E0,-8.391235352E0
2.261622200E-1,-1.186798096E0,9.560897827E0,-8.435333252E0
2.311976200E-1,-1.165405273E0,9.592453003E0,-8.487686157E0
2.362330200E-1,-1.143707275E0,9.539443970E0,-8.389221191E0
2.412684210E-1,-1.092437744E0,9.566131592E0,-8.369110107E0
2.463038210E-1,-1.101730347E0,9.579162598E0,-8.474060059E0
2.513392220E-1,-1.177780151E0,9.543060303E0,-8.571624756E0
2.563746220E-1,-1.132751465E0,9.590393066E0,-8.526046753E0
2.614100220E-1,-1.161560059E0,9.621658325E0,-8.543548584E0
2.664454230E-1,-1.149108887E0,9.604583740E0,-8.378890991E0
2.714808230E-1,-1.125656128E0,9.587860107E0,-8.319000244E0
2.765162240E-1,-1.072677612E0,9.616470337E0,-8.455841064E0
2.815516240E-1,-1.026565552E0,9.656814575E0,-8.460678101E0
2.865870240E-1,-1.073272705E0,9.637710571E0,-8.397369385E0
2.916224250E-1,-1.107727051E0,9.594436646E0,-8.396453857E0
