"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1741522579.253;"2025-03-09 13:16:19.253 UTC+01:00"
"PAUSE";2.080886739E3;1741524660.140;"2025-03-09 13:51:00.140 UTC+01:00"
