"event","experiment time","system time","system time text"
"START",0.000000000E0,1720954688.931,"2024-07-14 12:58:08.931 UTC+02:00"
"PAUSE",1.437960395E1,1720954703.310,"2024-07-14 12:58:23.310 UTC+02:00"
