"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.023770200E-2,-2.012023926E-1,9.540206909E0,-9.460342407E0
4.527310300E-2,-1.970214844E-1,9.551086426E0,-9.432998657E0
5.030850300E-2,-1.986083984E-1,9.543533325E0,-9.445587158E0
5.534390300E-2,-2.003936768E-1,9.550811768E0,-9.458206177E0
6.037930400E-2,-2.040863037E-1,9.548706055E0,-9.435989380E0
6.541470400E-2,-1.827239990E-1,9.528381348E0,-9.402786255E0
7.045010400E-2,-1.917877197E-1,9.565048218E0,-9.444992065E0
7.548550500E-2,-2.322692871E-1,9.546737671E0,-9.445968628E0
8.052090500E-2,-2.291259766E-1,9.567337036E0,-9.427597046E0
8.555630600E-2,-2.226104736E-1,9.523620605E0,-9.459945679E0
9.059170600E-2,-2.359313965E-1,9.550033569E0,-9.483169556E0
9.562710600E-2,-2.323608398E-1,9.591354370E0,-9.422714233E0
1.006625070E-1,-2.021331787E-1,9.551162720E0,-9.445678711E0
1.056979070E-1,-2.361297607E-1,9.544708252E0,-9.503326416E0
1.107333080E-1,-1.871948242E-1,9.544708252E0,-9.456222534E0
1.157687080E-1,-2.052917480E-1,9.546875000E0,-9.467788696E0
1.208041080E-1,-1.876983643E-1,9.531646729E0,-9.480453491E0
1.258395090E-1,-1.794128418E-1,9.523712158E0,-9.472396851E0
1.308749090E-1,-2.129364014E-1,9.550445557E0,-9.410690308E0
1.359103100E-1,-1.665344238E-1,9.542663574E0,-9.441925049E0
1.409457100E-1,-2.134552002E-1,9.570190430E0,-9.440917969E0
1.459811100E-1,-1.562652588E-1,9.552185059E0,-9.396469116E0
1.510165110E-1,-1.718292236E-1,9.542327881E0,-9.388504028E0
1.560519110E-1,-2.051391602E-1,9.530502319E0,-9.397994995E0
1.610873120E-1,-2.033081055E-1,9.538146973E0,-9.396286011E0
1.661227120E-1,-2.236785889E-1,9.560836792E0,-9.421127319E0
1.711581120E-1,-2.080535889E-1,9.546142578E0,-9.404769897E0
1.761935130E-1,-1.735839844E-1,9.528762817E0,-9.440048218E0
1.812289130E-1,-2.005615234E-1,9.542205811E0,-9.393295288E0
1.862643130E-1,-2.019653320E-1,9.572448730E0,-9.421676636E0
1.912997140E-1,-1.927947998E-1,9.562103271E0,-9.375991821E0
1.963351140E-1,-1.921844482E-1,9.548126221E0,-9.423751831E0
2.013705150E-1,-2.215270996E-1,9.558349609E0,-9.326568604E0
2.064059150E-1,-2.155914307E-1,9.567993164E0,-9.349044800E0
2.114413150E-1,-1.901855469E-1,9.552261353E0,-9.384719849E0
2.164767160E-1,-1.861114502E-1,9.570022583E0,-9.375457764E0
2.215121160E-1,-1.857147217E-1,9.572708130E0,-9.385406494E0
2.265475170E-1,-1.889953613E-1,9.546203613E0,-9.454406738E0
2.315829170E-1,-2.062225342E-1,9.547927856E0,-9.416641235E0
2.366183170E-1,-1.893005371E-1,9.555984497E0,-9.395233154E0
2.416537180E-1,-2.131347656E-1,9.510513306E0,-9.380157471E0
2.466891180E-1,-1.908721924E-1,9.547225952E0,-9.443710327E0
2.517245190E-1,-1.914672852E-1,9.548873901E0,-9.389099121E0
2.567599190E-1,-1.834411621E-1,9.568283081E0,-9.400299072E0
2.617953190E-1,-1.660919189E-1,9.543869019E0,-9.441574097E0
2.668307200E-1,-1.882476807E-1,9.541229248E0,-9.423522949E0
2.718661200E-1,-1.814422607E-1,9.554489136E0,-9.420410156E0
2.769015200E-1,-1.972656250E-1,9.550201416E0,-9.402160645E0
2.819369210E-1,-1.817626953E-1,9.544143677E0,-9.380996704E0
2.869723210E-1,-1.996612549E-1,9.536712646E0,-9.395690918E0
2.920077220E-1,-1.665649414E-1,9.564041138E0,-9.383132935E0
2.970431220E-1,-1.540832520E-1,9.557373047E0,-9.393096924E0
3.020785220E-1,-1.917572021E-1,9.540466309E0,-9.395553589E0
3.071139230E-1,-1.813049316E-1,9.561401367E0,-9.405700684E0
3.121493230E-1,-1.623077393E-1,9.534164429E0,-9.430297852E0
3.171847240E-1,-1.750335693E-1,9.555496216E0,-9.442459106E0
3.222201240E-1,-1.942749023E-1,9.562194824E0,-9.410476685E0
3.272555240E-1,-1.904602051E-1,9.582794189E0,-9.403457642E0
3.322909250E-1,-1.794738770E-1,9.558273315E0,-9.355270386E0
3.373263250E-1,-1.688079834E-1,9.550765991E0,-9.352783203E0
3.423617260E-1,-1.778411865E-1,9.565826416E0,-9.378021240E0
3.473971260E-1,-1.840972900E-1,9.549530029E0,-9.388061523E0
3.524325260E-1,-1.706542969E-1,9.551818848E0,-9.400405884E0
3.574679270E-1,-1.767272949E-1,9.566299438E0,-9.417404175E0
3.625033270E-1,-1.750488281E-1,9.575653076E0,-9.428649902E0
3.675387280E-1,-1.708831787E-1,9.565475464E0,-9.423095703E0
3.725741280E-1,-1.716156006E-1,9.544906616E0,-9.434600830E0
3.776095280E-1,-1.933746338E-1,9.553787231E0,-9.412673950E0
3.826449290E-1,-1.919250488E-1,9.576660156E0,-9.387130737E0
3.876803290E-1,-1.835327148E-1,9.567520142E0,-9.429122925E0
3.927157290E-1,-1.601715088E-1,9.548110962E0,-9.472656250E0
3.977511300E-1,-1.567993164E-1,9.564010620E0,-9.458206177E0
4.027865300E-1,-1.714935303E-1,9.566223145E0,-9.447662354E0
4.078219310E-1,-1.787261963E-1,9.531906128E0,-9.445877075E0
4.128573310E-1,-1.905517578E-1,9.549865723E0,-9.406448364E0
4.178927310E-1,-1.721954346E-1,9.576324463E0,-9.406433105E0
4.229281320E-1,-1.440124512E-1,9.561309814E0,-9.407516479E0
4.279635320E-1,-1.361236572E-1,9.551849365E0,-9.402786255E0
4.329989330E-1,-1.758422852E-1,9.548538208E0,-9.430908203E0
4.380343330E-1,-1.915740967E-1,9.545394897E0,-9.443252563E0
4.430697330E-1,-1.823425293E-1,9.556655884E0,-9.431289673E0
4.481051340E-1,-1.842193604E-1,9.538635254E0,-9.440567017E0
4.531405340E-1,-1.629638672E-1,9.544677734E0,-9.490158081E0
4.581759350E-1,-1.932067871E-1,9.562133789E0,-9.505142212E0
4.632113350E-1,-2.198791504E-1,9.534851074E0,-9.468338013E0
4.682467350E-1,-1.643829346E-1,9.508834839E0,-9.395843506E0
4.732821360E-1,-1.670227051E-1,9.542205811E0,-9.445419312E0
4.783175360E-1,-1.756896973E-1,9.522933960E0,-9.466140747E0
4.833529370E-1,-1.844177246E-1,9.545486450E0,-9.439651489E0
4.883883370E-1,-2.000274658E-1,9.553833008E0,-9.447631836E0
4.934237370E-1,-1.846466064E-1,9.519958496E0,-9.494720459E0
4.984591380E-1,-2.079315186E-1,9.546463013E0,-9.433242798E0
5.034945380E-1,-1.728973389E-1,9.587097168E0,-9.457077026E0
5.085299380E-1,-1.754913330E-1,9.569183350E0,-9.462295532E0
5.135653390E-1,-2.085723877E-1,9.534149170E0,-9.494262695E0
5.186007390E-1,-1.777191162E-1,9.571487427E0,-9.502319336E0
5.236361400E-1,-1.895446777E-1,9.540603638E0,-9.476470947E0
5.286715400E-1,-1.598052979E-1,9.546432495E0,-9.483062744E0
5.337069400E-1,-1.553039551E-1,9.544830322E0,-9.470214844E0
5.387423410E-1,-1.506195068E-1,9.549255371E0,-9.439819336E0
5.437777410E-1,-2.014923096E-1,9.563385010E0,-9.503494263E0
5.488131420E-1,-1.745605469E-1,9.540237427E0,-9.444000244E0
5.538485420E-1,-1.742095947E-1,9.516143799E0,-9.436111450E0
5.588839420E-1,-1.534423828E-1,9.528213501E0,-9.521423340E0
5.639193430E-1,-2.041168213E-1,9.542846680E0,-9.490509033E0
5.689547430E-1,-1.629333496E-1,9.562774658E0,-9.474990845E0
5.739901440E-1,-1.786346436E-1,9.538848877E0,-9.436065674E0
5.790255440E-1,-1.735839844E-1,9.565063477E0,-9.477676392E0
5.840609440E-1,-1.968994141E-1,9.582885742E0,-9.426208496E0
5.890963450E-1,-1.564788818E-1,9.555648804E0,-9.478469849E0
5.941317450E-1,-1.947021484E-1,9.566909790E0,-9.447067261E0
5.991671450E-1,-1.876983643E-1,9.532257080E0,-9.441116333E0
6.042025460E-1,-1.954040527E-1,9.545318604E0,-9.457290649E0
6.092379460E-1,-1.666107178E-1,9.536804199E0,-9.427490234E0
6.142733470E-1,-2.071990967E-1,9.558212280E0,-9.452819824E0
6.193087470E-1,-2.085723877E-1,9.541458130E0,-9.417007446E0
6.243441470E-1,-2.220916748E-1,9.543731689E0,-9.511718750E0
6.293795480E-1,-1.999664307E-1,9.520095825E0,-9.481246948E0
6.344149480E-1,-1.898345947E-1,9.544311523E0,-9.456054688E0
6.394503490E-1,-1.641235352E-1,9.566345215E0,-9.451965332E0
6.444857490E-1,-1.884918213E-1,9.545318604E0,-9.483917236E0
6.495211490E-1,-1.896362305E-1,9.542953491E0,-9.462341309E0
6.545565500E-1,-1.890716553E-1,9.567825317E0,-9.480621338E0
6.595919500E-1,-1.791076660E-1,9.535842896E0,-9.431869507E0
6.646273510E-1,-1.841430664E-1,9.561691284E0,-9.448074341E0
6.696627510E-1,-1.892700195E-1,9.543731689E0,-9.430786133E0
6.746981510E-1,-2.139739990E-1,9.551116943E0,-9.464675903E0
6.797335520E-1,-2.041168213E-1,9.532058716E0,-9.443069458E0
6.847689520E-1,-1.899871826E-1,9.540481567E0,-9.445175171E0
6.898043530E-1,-1.907958984E-1,9.547714233E0,-9.504608154E0
6.948397530E-1,-1.957397461E-1,9.531723022E0,-9.431930542E0
6.998751530E-1,-2.106628418E-1,9.535476685E0,-9.457733154E0
7.049105540E-1,-1.822357178E-1,9.519088745E0,-9.462295532E0
7.099459540E-1,-1.891937256E-1,9.542694092E0,-9.428253174E0
7.149813540E-1,-1.694793701E-1,9.567962646E0,-9.399841309E0
7.200167550E-1,-1.747436523E-1,9.574005127E0,-9.418914795E0
7.250521550E-1,-2.027740479E-1,9.544616699E0,-9.421112061E0
7.300875560E-1,-2.048492432E-1,9.544891357E0,-9.464355469E0
7.351229560E-1,-2.160644531E-1,9.555191040E0,-9.474517822E0
7.401583560E-1,-2.167358398E-1,9.576217651E0,-9.455230713E0
7.451937570E-1,-2.085418701E-1,9.557266235E0,-9.402709961E0
7.502291570E-1,-2.042236328E-1,9.527389526E0,-9.391738892E0
7.552645580E-1,-2.051544189E-1,9.549468994E0,-9.440872192E0
7.602999580E-1,-1.902923584E-1,9.581390381E0,-9.485046387E0
7.653353580E-1,-1.931457520E-1,9.574508667E0,-9.470993042E0
7.703707590E-1,-2.170562744E-1,9.561676025E0,-9.438796997E0
7.754061590E-1,-2.053680420E-1,9.562454224E0,-9.421386719E0
7.804415600E-1,-1.876220703E-1,9.545181274E0,-9.453155518E0
7.854769600E-1,-2.074432373E-1,9.550735474E0,-9.442901611E0
7.905123600E-1,-2.181701660E-1,9.562469482E0,-9.397857666E0
7.955477610E-1,-2.137298584E-1,9.575210571E0,-9.404724121E0
8.005831610E-1,-2.015380859E-1,9.567108154E0,-9.440429688E0
8.056185620E-1,-2.007141113E-1,9.567626953E0,-9.441741943E0
8.106539620E-1,-1.975708008E-1,9.563491821E0,-9.502059937E0
8.156893620E-1,-2.149353027E-1,9.551956177E0,-9.463439941E0
8.207247630E-1,-2.234344482E-1,9.524230957E0,-9.448638916E0
8.257601630E-1,-2.009429932E-1,9.543502808E0,-9.426940918E0
8.307955630E-1,-2.006988525E-1,9.547531128E0,-9.419738770E0
8.358309640E-1,-2.251434326E-1,9.557296753E0,-9.417541504E0
8.408663640E-1,-2.133941650E-1,9.556961060E0,-9.443481445E0
8.459017650E-1,-2.017211914E-1,9.549057007E0,-9.474105835E0
8.509371650E-1,-2.337036133E-1,9.545333862E0,-9.498855591E0
8.559725650E-1,-2.171173096E-1,9.553604126E0,-9.410705566E0
8.610079660E-1,-2.075347900E-1,9.536682129E0,-9.398895264E0
8.660433660E-1,-2.425079346E-1,9.515701294E0,-9.414352417E0
8.710787670E-1,-2.172546387E-1,9.528198242E0,-9.420806885E0
8.761141670E-1,-2.018432617E-1,9.553680420E0,-9.450302124E0
8.811495670E-1,-2.138977051E-1,9.570541382E0,-9.420898438E0
8.861849680E-1,-2.053222656E-1,9.543914795E0,-9.433822632E0
8.912203680E-1,-2.186737061E-1,9.537567139E0,-9.412658691E0
8.962557690E-1,-2.419738770E-1,9.547637939E0,-9.399475098E0
9.012911690E-1,-1.986083984E-1,9.549468994E0,-9.412322998E0
9.063265690E-1,-1.929626465E-1,9.516082764E0,-9.404251099E0
9.113619700E-1,-2.248229980E-1,9.538742065E0,-9.396469116E0
9.163973700E-1,-2.396240234E-1,9.533798218E0,-9.421218872E0
9.214327700E-1,-2.257385254E-1,9.532806396E0,-9.432846069E0
9.264681710E-1,-1.913452148E-1,9.534988403E0,-9.451248169E0
9.315035710E-1,-1.884918213E-1,9.548583984E0,-9.376831055E0
9.365389720E-1,-1.975555420E-1,9.533615112E0,-9.389938354E0
9.415743720E-1,-2.094879150E-1,9.576354980E0,-9.409225464E0
9.466097720E-1,-1.666107178E-1,9.543823242E0,-9.380279541E0
9.516451730E-1,-2.117004395E-1,9.542327881E0,-9.390731812E0
9.566805730E-1,-1.956329346E-1,9.530426025E0,-9.459915161E0
9.617159740E-1,-2.007751465E-1,9.516250610E0,-9.421325684E0
9.667513740E-1,-2.310028076E-1,9.525665283E0,-9.382293701E0
9.717867740E-1,-2.171478271E-1,9.527328491E0,-9.420318604E0
9.768221750E-1,-2.173461914E-1,9.569137573E0,-9.441848755E0
9.818575750E-1,-1.764526367E-1,9.536499023E0,-9.415557861E0
9.868929760E-1,-1.780700684E-1,9.556945801E0,-9.427215576E0
9.919283760E-1,-2.216796875E-1,9.561981201E0,-9.404541016E0
9.969637760E-1,-1.725006104E-1,9.568038940E0,-9.401519775E0
1.001999177E0,-2.024993896E-1,9.559005737E0,-9.427413940E0
1.007034577E0,-2.162322998E-1,9.524108887E0,-9.380676270E0
1.012069978E0,-1.971130371E-1,9.551895142E0,-9.414413452E0
1.017105378E0,-2.179718018E-1,9.582092285E0,-9.436935425E0
1.022140778E0,-1.925964355E-1,9.573852539E0,-9.404571533E0
1.027176179E0,-1.794586182E-1,9.551437378E0,-9.426177979E0
1.032211579E0,-1.958923340E-1,9.547271729E0,-9.420257568E0
1.037246979E0,-2.014617920E-1,9.538955688E0,-9.394836426E0
1.042282380E0,-1.810607910E-1,9.546188354E0,-9.367767334E0
1.047317780E0,-1.948699951E-1,9.561828613E0,-9.390594482E0
1.052353181E0,-1.943511963E-1,9.588134766E0,-9.401367188E0
1.057388581E0,-2.134857178E-1,9.554229736E0,-9.409332275E0
1.062423981E0,-1.707611084E-1,9.537490845E0,-9.394882202E0
1.067459382E0,-1.871337891E-1,9.534271240E0,-9.371902466E0
1.072494782E0,-2.000885010E-1,9.550079346E0,-9.377639771E0
1.077530183E0,-2.024230957E-1,9.553863525E0,-9.413360596E0
1.082565583E0,-2.189941406E-1,9.542327881E0,-9.358459473E0
1.087600983E0,-1.990356445E-1,9.559997559E0,-9.401473999E0
1.092636384E0,-1.773376465E-1,9.538299561E0,-9.430389404E0
1.097671784E0,-1.786193848E-1,9.528747559E0,-9.405166626E0
1.102707185E0,-1.921997070E-1,9.537719727E0,-9.403442383E0
1.107742585E0,-1.816711426E-1,9.549179077E0,-9.416427612E0
1.112777985E0,-1.999816895E-1,9.549362183E0,-9.434967041E0
1.117813386E0,-2.323303223E-1,9.564254761E0,-9.413284302E0
1.122848786E0,-2.008514404E-1,9.550018311E0,-9.428771973E0
1.127884187E0,-1.782531738E-1,9.550186157E0,-9.447265625E0
1.132919587E0,-1.816711426E-1,9.537445068E0,-9.413955688E0
1.137954987E0,-1.843109131E-1,9.530166626E0,-9.434432983E0
1.142990388E0,-1.985473633E-1,9.539367676E0,-9.457000732E0
1.148025788E0,-1.940460205E-1,9.547088623E0,-9.434509277E0
1.153061188E0,-1.732025146E-1,9.552856445E0,-9.406753540E0
1.158096589E0,-1.871795654E-1,9.540054321E0,-9.432296753E0
1.163131989E0,-1.869354248E-1,9.554840088E0,-9.460906982E0
1.168167390E0,-1.918945312E-1,9.561477661E0,-9.406936646E0
1.173202790E0,-2.032470703E-1,9.536285400E0,-9.395019531E0
1.178238190E0,-1.776580811E-1,9.536483765E0,-9.419448853E0
1.183273591E0,-1.965942383E-1,9.561477661E0,-9.392868042E0
1.188308991E0,-2.082366943E-1,9.546447754E0,-9.411224365E0
1.193344392E0,-1.744384766E-1,9.522277832E0,-9.436706543E0
1.198379792E0,-1.901397705E-1,9.527526855E0,-9.446472168E0
1.203415192E0,-1.875762939E-1,9.539138794E0,-9.455154419E0
1.208450593E0,-1.614074707E-1,9.555130005E0,-9.417907715E0
1.213485993E0,-1.868743896E-1,9.556838989E0,-9.404693604E0
