"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.027865300E-1,4.302978516E-3,-4.425048828E-4,-4.577636719E-4
4.078219310E-1,5.126953125E-3,-1.251220703E-3,-4.577636719E-4
4.128573310E-1,4.425048828E-3,-5.645751953E-4,-1.831054688E-3
4.178927310E-1,4.058837891E-3,-1.586914062E-3,-1.190185547E-3
4.229281320E-1,4.058837891E-3,-1.617431641E-3,-4.577636719E-4
4.279635320E-1,4.058837891E-3,-1.251220703E-3,-4.577636719E-4
4.329989330E-1,4.058837891E-3,-5.187988281E-4,-4.577636719E-4
4.380343330E-1,4.058837891E-3,-9.460449219E-4,-1.205444336E-3
4.430697330E-1,3.280639648E-3,-1.251220703E-3,-1.525878906E-3
4.481051340E-1,2.197265625E-3,-1.251220703E-3,-1.525878906E-3
4.531405340E-1,2.716064453E-3,-2.059936523E-3,-1.525878906E-3
4.581759350E-1,2.990722656E-3,-3.143310547E-3,-7.019042969E-4
4.632113350E-1,2.151489258E-3,-2.563476562E-3,3.814697266E-4
4.682467350E-1,1.922607422E-3,-1.495361328E-3,-2.136230469E-4
4.732821360E-1,3.616333008E-3,-2.105712891E-3,-2.151489258E-3
4.783175360E-1,3.189086914E-3,-3.189086914E-3,-8.544921875E-4
4.833529370E-1,3.860473633E-3,-3.387451172E-3,-4.577636719E-4
4.883883370E-1,4.058837891E-3,-2.502441406E-3,-2.227783203E-3
4.934237370E-1,3.143310547E-3,3.814697266E-4,-2.593994141E-3
4.984591380E-1,3.906250000E-3,-4.577636719E-5,-7.476806641E-4
5.034945380E-1,3.128051758E-3,-1.831054688E-4,-4.577636719E-4
5.085299380E-1,2.044677734E-3,-1.831054688E-4,-4.577636719E-4
5.135653390E-1,2.868652344E-3,-1.144409180E-3,-1.403808594E-3
5.186007390E-1,2.990722656E-3,-2.227783203E-3,-5.493164062E-4
5.236361400E-1,2.990722656E-3,-2.319335938E-3,-4.577636719E-4
5.286715400E-1,2.990722656E-3,-3.326416016E-3,-4.577636719E-4
5.337069400E-1,2.990722656E-3,-1.373291016E-3,-1.464843750E-3
5.387423410E-1,3.997802734E-3,-2.441406250E-4,-1.525878906E-3
5.437777410E-1,3.005981445E-3,8.544921875E-4,-1.525878906E-3
5.488131420E-1,1.922607422E-3,-1.235961914E-3,-2.578735352E-3
5.538485420E-1,2.990722656E-3,-1.831054688E-4,-1.525878906E-3
5.588839420E-1,2.990722656E-3,-1.831054688E-4,-1.525878906E-3
5.639193430E-1,4.028320312E-3,8.850097656E-4,-1.541137695E-3
5.689547430E-1,2.944946289E-3,7.934570312E-4,-2.593994141E-3
5.739901440E-1,1.922607422E-3,-1.205444336E-3,-2.532958984E-3
5.790255440E-1,1.922607422E-3,-1.831054688E-4,-1.525878906E-3
5.840609440E-1,1.754760742E-3,-1.831054688E-4,-1.678466797E-3
5.890963450E-1,6.103515625E-5,-1.831054688E-4,-3.662109375E-3
5.941317450E-1,2.883911133E-3,-2.899169922E-4,-3.662109375E-3
5.991671450E-1,1.922607422E-3,-1.022338867E-3,-3.662109375E-3
6.042025460E-1,1.647949219E-3,8.850097656E-4,-3.524780273E-3
6.092379460E-1,-2.136230469E-4,5.798339844E-4,-2.441406250E-3
6.142733470E-1,-6.103515625E-5,-1.419067383E-3,-1.525878906E-3
6.193087470E-1,6.713867188E-4,-2.151489258E-3,-1.525878906E-3
6.243441470E-1,-2.136230469E-4,-1.449584961E-3,-1.525878906E-3
6.293795480E-1,1.678466797E-4,-2.716064453E-3,-1.708984375E-3
6.344149480E-1,1.922607422E-3,-4.028320312E-3,-2.593994141E-3
6.394503490E-1,1.693725586E-3,-2.319335938E-3,-2.365112305E-3
6.444857490E-1,6.103515625E-4,-2.563476562E-3,-1.525878906E-3
6.495211490E-1,-2.136230469E-4,-3.387451172E-3,-2.029418945E-3
6.545565500E-1,-2.136230469E-4,-3.387451172E-3,-3.387451172E-3
6.595919500E-1,6.103515625E-5,-3.677368164E-3,-2.593994141E-3
6.646273510E-1,5.493164062E-4,-4.165649414E-3,-2.883911133E-3
6.696627510E-1,3.967285156E-4,-3.082275391E-3,-3.662109375E-3
6.746981510E-1,1.586914062E-3,-2.319335938E-3,-3.326416016E-3
6.797335520E-1,5.187988281E-4,-2.319335938E-3,-2.593994141E-3
6.847689520E-1,-2.136230469E-4,-2.319335938E-3,-2.243041992E-3
6.898043530E-1,-2.136230469E-4,-1.968383789E-3,-1.525878906E-3
6.948397530E-1,-5.950927734E-4,-1.632690430E-3,-1.892089844E-3
