"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.945018030E-1,-4.638034105E-2,-5.803680420E-2,4.421901703E-2,8.645651014E-2
3.994761680E-1,-2.662804723E-2,-5.897617340E-2,1.998424530E-2,6.772453018E-2
4.044505330E-1,-6.552094221E-2,-2.505207062E-2,1.024389267E-2,7.089102515E-2
4.094248990E-1,-4.542693496E-2,-3.572463989E-3,2.394962311E-2,5.147769775E-2
4.143992640E-1,-8.167918026E-2,1.117706299E-3,2.802944183E-2,8.636195554E-2
4.193736290E-1,-6.591968238E-2,-3.152656555E-2,-2.382755280E-2,7.685753791E-2
4.243479940E-1,-2.252389491E-2,-3.551578522E-2,1.164913177E-2,4.363942154E-2
4.293223600E-1,-3.831832111E-2,-3.710746765E-2,-4.686498642E-2,7.100411847E-2
4.342967250E-1,-3.515072167E-2,-2.937126160E-2,4.037809372E-2,6.106254739E-2
4.392710900E-1,-2.970047295E-2,-2.413177490E-2,6.525039673E-2,7.564439785E-2
4.442454550E-1,-1.738782227E-2,-4.464340210E-2,9.438896179E-2,1.058519996E-1
4.492198200E-1,-3.570002317E-2,-1.805591583E-2,4.830312729E-2,6.271921442E-2
4.541941860E-1,-6.307595968E-2,-1.297473907E-2,-8.567810059E-3,6.496405093E-2
4.591685510E-1,-3.859943151E-2,-1.737880707E-2,2.902603149E-2,5.132688918E-2
4.641429160E-1,-3.089280427E-2,-3.066062927E-3,3.315258026E-2,4.541871503E-2
4.691172810E-1,-5.135487020E-2,-6.382083893E-2,1.853275299E-2,8.398741041E-2
4.740916470E-1,-5.272029340E-2,2.151107788E-2,-1.217985153E-2,5.822803956E-2
4.790660120E-1,-5.403321981E-2,-3.031826019E-2,5.122518539E-2,8.039157520E-2
4.840403770E-1,-5.066373944E-2,7.654190063E-3,1.234054565E-3,5.125352681E-2
4.890147420E-1,-4.975531995E-2,-1.821517944E-3,1.996183395E-2,5.364125843E-2
4.939891080E-1,-2.550022304E-2,-3.688716888E-2,-3.418254852E-2,5.638591337E-2
4.989634730E-1,-1.330462098E-2,-8.135795593E-3,3.670549393E-2,3.988104053E-2
5.039378380E-1,-3.638029099E-2,-1.263999939E-2,-2.940940857E-2,4.845831682E-2
5.089122030E-1,-3.102459013E-2,-3.584766388E-2,2.733612061E-2,5.472516504E-2
5.138865690E-1,-5.491077900E-5,-7.197380066E-3,4.095602036E-2,4.158366144E-2
5.188609340E-1,-2.581836283E-2,-1.184368134E-2,5.198717117E-2,5.924125770E-2
5.238352990E-1,-1.910880208E-3,-7.021903992E-3,8.400106430E-2,8.431570081E-2
5.288096640E-1,-4.165443778E-2,-1.630783081E-2,-6.367206573E-3,4.518383397E-2
5.337840290E-1,-5.735543370E-2,2.150249481E-2,6.415748596E-2,8.870279625E-2
5.387583950E-1,-3.294529021E-2,-6.946563721E-3,2.337503433E-2,4.098828033E-2
5.437327600E-1,-6.052154303E-2,-6.854057312E-3,2.069568634E-2,6.432842844E-2
