"event","experiment time","system time","system time text"
"START",0.000000000E0,1725192155.158,"2024-09-01 14:02:35.158 UTC+02:00"
"PAUSE",3.588731426E1,1725192191.045,"2024-09-01 14:03:11.045 UTC+02:00"
