"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1740987801.706;"2025-03-03 08:43:21.706 UTC+01:00"
"PAUSE";1.157576807E3;1740988959.283;"2025-03-03 09:02:39.283 UTC+01:00"
