"event","experiment time","system time","system time text"
"START",0.000000000E0,1720954549.026,"2024-07-14 12:55:49.026 UTC+02:00"
"PAUSE",1.434399953E1,1720954563.370,"2024-07-14 12:56:03.370 UTC+02:00"
