"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.998739920E-1,1.730346680E-2,6.484985352E-3,5.004882812E-2
4.049093920E-1,1.539611816E-2,5.661010742E-3,4.962158203E-2
4.099447930E-1,1.362609863E-2,7.019042969E-3,5.030822754E-2
4.149801930E-1,1.216125488E-2,9.185791016E-3,5.068969727E-2
4.200155930E-1,1.036071777E-2,1.350402832E-2,5.068969727E-2
4.250509940E-1,8.193969727E-3,1.745605469E-2,5.142211914E-2
4.300863940E-1,8.255004883E-3,1.548767090E-2,5.325317383E-2
4.351217950E-1,7.827758789E-3,8.880615234E-3,5.694580078E-2
4.401571950E-1,6.744384766E-3,5.340576172E-4,5.894470215E-2
4.451925950E-1,5.661010742E-3,-1.815795898E-3,6.239318848E-2
4.502279960E-1,5.386352539E-3,2.975463867E-3,6.591796875E-2
4.552633960E-1,6.195068359E-3,7.034301758E-3,6.999206543E-2
4.602987970E-1,5.615234375E-3,8.621215820E-3,7.514953613E-2
4.653341970E-1,7.064819336E-3,1.139831543E-2,8.055114746E-2
4.703695970E-1,7.522583008E-3,1.550292969E-2,8.424377441E-2
4.754049980E-1,5.767822266E-3,1.896667480E-2,8.750915527E-2
4.804403980E-1,3.601074219E-3,2.131652832E-2,9.164428711E-2
4.854757980E-1,3.250122070E-3,2.258300781E-2,9.144592285E-2
4.905111990E-1,4.165649414E-3,1.904296875E-2,9.405517578E-2
4.955465990E-1,4.318237305E-3,1.097106934E-2,9.730529785E-2
5.005820000E-1,1.464843750E-3,3.280639648E-3,9.864807129E-2
5.056174000E-1,-8.392333984E-4,2.456665039E-3,9.875488281E-2
5.106528000E-1,-2.990722656E-3,7.369995117E-3,9.974670410E-2
5.156882010E-1,-4.165649414E-3,1.077270508E-2,1.018218994E-1
5.207236010E-1,-4.226684570E-3,1.606750488E-2,1.029815674E-1
5.257590020E-1,-7.324218750E-3,2.044677734E-2,1.020050049E-1
5.307944020E-1,-8.483886719E-3,2.372741699E-2,1.009216309E-1
5.358298020E-1,-8.499145508E-3,2.064514160E-2,1.019592285E-1
5.408652030E-1,-8.499145508E-3,1.525878906E-2,1.019592285E-1
5.459006030E-1,-8.544921875E-3,1.309204102E-2,1.019897461E-1
5.509360040E-1,-1.074218750E-2,1.095581055E-2,1.030273438E-1
5.559714040E-1,-1.383972168E-2,9.979248047E-3,1.029357910E-1
5.610068040E-1,-1.383972168E-2,1.106262207E-2,1.008911133E-1
5.660422050E-1,-1.400756836E-2,1.206970215E-2,1.008911133E-1
5.710776050E-1,-1.597595215E-2,1.187133789E-2,1.008911133E-1
5.761130060E-1,-1.609802246E-2,9.262084961E-3,1.008911133E-1
5.811484060E-1,-1.704406738E-2,2.899169922E-3,1.010284424E-1
5.861838060E-1,-1.719665527E-2,-2.105712891E-3,1.023864746E-1
5.912192070E-1,-1.797485352E-2,-4.104614258E-3,1.053161621E-1
5.962546070E-1,-1.739501953E-2,-4.684448242E-3,1.060638428E-1
6.012900070E-1,-1.937866211E-2,-2.334594727E-3,1.049804688E-1
6.063254080E-1,-2.006530762E-2,3.204345703E-4,1.046905518E-1
6.113608080E-1,-1.875305176E-2,-5.493164062E-4,1.072998047E-1
6.163962090E-1,-1.658630371E-2,-4.196166992E-3,1.070709229E-1
6.214316090E-1,-1.490783691E-2,-4.791259766E-3,1.057586670E-1
6.264670090E-1,-1.490783691E-2,-3.448486328E-3,1.038513184E-1
6.315024100E-1,-1.547241211E-2,-1.541137695E-3,1.022033691E-1
6.365378100E-1,-1.704406738E-2,-2.182006836E-3,9.954833984E-2
6.415732110E-1,-1.675415039E-2,-7.263183594E-3,9.788513184E-2
6.466086110E-1,-1.597595215E-2,-9.735107422E-3,9.429931641E-2
6.516440110E-1,-1.597595215E-2,-6.561279297E-3,9.095764160E-2
6.566794120E-1,-1.597595215E-2,-1.159667969E-3,9.020996094E-2
6.617148120E-1,-1.562500000E-2,6.439208984E-3,9.094238281E-2
6.667502130E-1,-1.490783691E-2,1.800537109E-2,9.310913086E-2
6.717856130E-1,-1.570129395E-2,2.723693848E-2,9.448242188E-2
6.768210130E-1,-1.745605469E-2,3.088378906E-2,9.286499023E-2
6.818564140E-1,-1.811218262E-2,2.810668945E-2,8.937072754E-2
6.868918140E-1,-1.724243164E-2,2.049255371E-2,8.631896973E-2
6.919272150E-1,-1.507568359E-2,6.515502930E-3,8.245849609E-2
6.969626150E-1,-1.338195801E-2,-1.519775391E-2,7.873535156E-2
7.019980150E-1,-1.083374023E-2,-4.026794434E-2,7.585144043E-2
7.070334160E-1,-7.019042969E-3,-6.205749512E-2,7.525634766E-2
7.120688160E-1,-4.791259766E-3,-7.640075684E-2,7.424926758E-2
7.171042160E-1,-3.707885742E-3,-8.085632324E-2,7.260131836E-2
7.221396170E-1,-2.624511719E-3,-7.705688477E-2,7.151794434E-2
7.271750170E-1,-1.541137695E-3,-6.503295898E-2,7.098388672E-2
7.322104180E-1,1.220703125E-4,-4.704284668E-2,7.041931152E-2
7.372458180E-1,1.113891602E-3,-3.106689453E-2,6.933593750E-2
7.422812180E-1,1.708984375E-3,-1.989746094E-2,6.825256348E-2
7.473166190E-1,3.402709961E-3,-1.570129395E-2,6.655883789E-2
7.523520190E-1,6.210327148E-3,-1.696777344E-2,6.501770020E-2
7.573874200E-1,8.819580078E-3,-2.238464355E-2,6.263732910E-2
7.624228200E-1,1.097106934E-2,-3.260803223E-2,6.005859375E-2
7.674582200E-1,1.315307617E-2,-4.251098633E-2,5.787658691E-2
7.724936210E-1,1.531982422E-2,-4.840087891E-2,5.502319336E-2
7.775290210E-1,1.676940918E-2,-5.130004883E-2,5.177307129E-2
7.825644220E-1,1.640319824E-2,-5.201721191E-2,4.852294922E-2
7.875998220E-1,1.679992676E-2,-5.351257324E-2,4.527282715E-2
7.926352220E-1,1.713562012E-2,-5.566406250E-2,4.278564453E-2
7.976706230E-1,1.789855957E-2,-5.859375000E-2,3.985595703E-2
8.027060230E-1,1.898193359E-2,-6.106567383E-2,3.659057617E-2
8.077414230E-1,1.846313477E-2,-5.923461914E-2,3.414916992E-2
8.127768240E-1,1.737976074E-2,-5.680847168E-2,3.279113770E-2
8.178122240E-1,1.878356934E-2,-5.464172363E-2,3.005981445E-2
8.228476250E-1,2.011108398E-2,-5.584716797E-2,2.764892578E-2
8.278830250E-1,1.947021484E-2,-5.801391602E-2,2.548217773E-2
8.329184250E-1,2.188110352E-2,-5.842590332E-2,2.331542969E-2
8.379538260E-1,2.247619629E-2,-5.842590332E-2,2.381896973E-2
8.429892260E-1,2.517700195E-2,-6.114196777E-2,2.218627930E-2
8.480246270E-1,2.842712402E-2,-6.805419922E-2,2.185058594E-2
8.530600270E-1,2.980041504E-2,-7.655334473E-2,2.000427246E-2
8.580954270E-1,3.184509277E-2,-7.955932617E-2,1.782226562E-2
8.631308280E-1,3.401184082E-2,-7.882690430E-2,1.661682129E-2
8.681662280E-1,3.616333008E-2,-7.678222656E-2,1.359558105E-2
8.732016290E-1,3.735351562E-2,-7.460021973E-2,8.331298828E-3
8.782370290E-1,4.045104980E-2,-6.941223145E-2,5.950927734E-3
8.832724290E-1,4.266357422E-2,-6.401062012E-2,3.799438477E-3
