"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.746676500E-2,2.421569824E-2,9.583648682E0,-7.773651123E0
6.250216600E-2,4.043579102E-3,9.573181152E0,-7.802673340E0
6.753756600E-2,-1.933288574E-2,9.584091187E0,-7.808654785E0
7.257296600E-2,-8.877563477E-2,9.566421509E0,-7.854949951E0
7.760836700E-2,-1.437530518E-1,9.556610107E0,-7.847244263E0
8.264376700E-2,-1.411895752E-1,9.570587158E0,-7.866226196E0
8.767916800E-2,-1.931457520E-1,9.541793823E0,-7.901901245E0
9.271456800E-2,-2.449035645E-1,9.535858154E0,-7.879501343E0
9.774996800E-2,-2.884674072E-1,9.569030762E0,-7.860565186E0
1.027853690E-1,-2.452545166E-1,9.581787109E0,-7.920089722E0
1.078207690E-1,-2.122192383E-1,9.567489624E0,-7.949859619E0
1.128561700E-1,-2.172546387E-1,9.550140381E0,-7.982269287E0
1.178915700E-1,-3.146514893E-1,9.562942505E0,-8.050323486E0
1.229269700E-1,-3.961791992E-1,9.600387573E0,-8.008224487E0
1.279623710E-1,-4.238433838E-1,9.606597900E0,-8.092407227E0
1.329977710E-1,-5.426635742E-1,9.589996338E0,-8.134811401E0
1.380331720E-1,-5.323333740E-1,9.591781616E0,-8.128219604E0
1.430685720E-1,-5.245971680E-1,9.536499023E0,-8.144073486E0
1.481039720E-1,-4.566802979E-1,9.606582642E0,-8.248214722E0
1.531393730E-1,-4.437255859E-1,9.609313965E0,-8.204895020E0
1.581747730E-1,-4.814147949E-1,9.586486816E0,-8.299606323E0
1.632101730E-1,-4.882202148E-1,9.621612549E0,-8.273529053E0
1.682455740E-1,-6.107177734E-1,9.579406738E0,-8.292861938E0
1.732809740E-1,-6.522064209E-1,9.570968628E0,-8.270019531E0
1.783163750E-1,-6.574249268E-1,9.601837158E0,-8.279251099E0
1.833517750E-1,-6.747131348E-1,9.466552734E0,-8.459976196E0
1.883871750E-1,-7.210235596E-1,9.501739502E0,-8.440322876E0
1.934225760E-1,-6.196136475E-1,9.575820923E0,-8.267929077E0
1.984579760E-1,-5.237121582E-1,9.631195068E0,-8.337402344E0
2.034933770E-1,-5.947113037E-1,9.602600098E0,-8.403106689E0
2.085287770E-1,-5.617065430E-1,9.582305908E0,-8.494461060E0
2.135641770E-1,-6.785888672E-1,9.603332520E0,-8.409988403E0
2.185995780E-1,-5.531158447E-1,9.601791382E0,-8.532714844E0
2.236349780E-1,-6.758575439E-1,9.645523071E0,-8.425888062E0
2.286703790E-1,-5.832519531E-1,9.562393188E0,-8.547607422E0
2.337057790E-1,-6.658782959E-1,9.638473511E0,-8.498596191E0
2.387411790E-1,-6.450653076E-1,9.595535278E0,-8.493515015E0
2.437765800E-1,-7.056427002E-1,9.555679321E0,-8.451812744E0
2.488119800E-1,-7.183837891E-1,9.576995850E0,-8.423507690E0
2.538473810E-1,-7.041320801E-1,9.595291138E0,-8.436569214E0
2.588827810E-1,-6.971740723E-1,9.607635498E0,-8.500091553E0
2.639181810E-1,-7.803344727E-1,9.619720459E0,-8.494323730E0
2.689535820E-1,-6.878509521E-1,9.648254395E0,-8.489959717E0
2.739889820E-1,-7.436828613E-1,9.636123657E0,-8.487899780E0
2.790243820E-1,-7.785644531E-1,9.589660645E0,-8.440307617E0
2.840597830E-1,-7.006835938E-1,9.580688477E0,-8.526535034E0
2.890951830E-1,-6.730194092E-1,9.585144043E0,-8.552093506E0
2.941305840E-1,-6.446228027E-1,9.586853027E0,-8.541534424E0
2.991659840E-1,-6.161651611E-1,9.556594849E0,-8.531570435E0
3.042013840E-1,-6.207733154E-1,9.580413818E0,-8.554107666E0
3.092367850E-1,-6.197509766E-1,9.574371338E0,-8.638290405E0
3.142721850E-1,-6.101684570E-1,9.569976807E0,-8.624816895E0
3.193075860E-1,-5.807189941E-1,9.579483032E0,-8.694915771E0
3.243429860E-1,-5.731353760E-1,9.583755493E0,-8.629776001E0
3.293783860E-1,-5.505065918E-1,9.555572510E0,-8.718048096E0
3.344137870E-1,-5.549316406E-1,9.536544800E0,-8.725601196E0
3.394491870E-1,-5.272521973E-1,9.565826416E0,-8.661743164E0
