"event","experiment time","system time","system time text"
"START",0.000000000E0,1723313029.129,"2024-08-10 20:03:49.129 UTC+02:00"
"PAUSE",5.997945920E1,1723313089.109,"2024-08-10 20:04:49.109 UTC+02:00"
