"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.291068150E-1;9.804964066E-3;1.461017132E-2;6.923675537E-3
1.471441070E-1;2.338737249E-4;1.388728619E-2;-3.125953674E-2
1.651734050E-1;-4.762440920E-3;-4.631996155E-3;-3.234863281E-3
1.832106360E-1;5.199462175E-4;1.852214336E-2;-2.166271210E-2
2.012583040E-1;5.154073238E-3;1.404464245E-2;-1.692295074E-2
2.192991980E-1;5.046203732E-3;3.864049911E-3;-1.265144348E-2
2.373366120E-1;-4.117429256E-3;1.857924461E-2;-1.688385010E-2
2.553697550E-1;5.033075809E-3;8.774280548E-3;-7.286071777E-3
2.734137000E-1;5.370065570E-3;1.849317551E-2;-3.601551056E-2
2.914508090E-1;5.694031715E-4;3.793001175E-3;1.719474792E-3
3.094908490E-1;8.852183819E-4;1.329636574E-2;-2.638149261E-2
3.275295440E-1;5.796357989E-3;-1.130223274E-3;-7.227897644E-3
3.455595130E-1;-4.007965326E-3;1.326406002E-2;-2.637958527E-2
3.636088290E-1;-4.034832120E-3;-1.161932945E-3;-7.824897766E-3
3.816434980E-1;1.045440137E-2;3.500461578E-3;-2.156543732E-2
3.996781040E-1;-4.116445780E-3;3.648400307E-3;-7.232666016E-3
4.177042270E-1;-3.730624914E-3;8.099794388E-3;-1.196575165E-2
4.357505530E-1;1.102158427E-2;3.405332565E-3;-1.197242737E-2
4.538027990E-1;1.578733325E-3;8.119583130E-3;-2.631759644E-2
4.718350860E-1;1.774072647E-3;-1.360416412E-3;-2.997398376E-3
4.898751870E-1;1.393452287E-3;1.265907288E-2;-2.150058746E-2
5.079151650E-1;7.409453392E-4;8.178949356E-3;-3.007888794E-3
5.259479400E-1;1.040601730E-2;1.289451122E-2;-1.675605774E-2
5.439862100E-1;5.511417985E-3;3.523111343E-3;-1.199913025E-2
5.620163010E-1;1.502692699E-3;8.130073547E-3;-1.674938202E-2
5.800657990E-1;1.501441002E-3;8.383035660E-3;-1.678466797E-2
5.981093790E-1;1.499325037E-3;8.529782295E-3;-1.680564880E-2
6.161396520E-1;-3.324583173E-3;-8.444786072E-4;-1.683330536E-2
6.341769450E-1;1.732811332E-3;1.344299316E-2;-1.203441620E-2
6.522205240E-1;-3.237381577E-3;8.639574051E-3;-1.203441620E-2
6.702583040E-1;1.049891114E-3;8.622407913E-3;-1.203823090E-2
6.883007850E-1;8.796304464E-4;8.766293526E-3;-7.275581360E-3
7.063319130E-1;4.954636097E-4;-8.728504181E-4;-1.205730438E-2
7.243705480E-1;6.392002106E-4;3.736019135E-3;-1.203060150E-2
7.424127850E-1;1.937448978E-4;8.504271507E-3;-1.203441620E-2
7.604517860E-1;5.169093609E-3;3.595113754E-3;-1.201438904E-2
7.784916420E-1;4.073530436E-4;1.314663887E-2;-1.679706573E-2
7.965246010E-1;-3.629177809E-3;1.296985149E-2;-1.197624207E-2
8.145602460E-1;5.986094475E-3;8.007407188E-3;-7.164955139E-3
8.326084640E-1;-3.973543644E-3;3.366827965E-3;-1.197624207E-2
8.506432530E-1;-3.788962960E-3;-1.326680183E-3;-7.201194763E-3
8.686787750E-1;9.285211563E-4;3.550529480E-3;-7.215499878E-3
8.867119180E-1;5.498662591E-3;8.426904678E-3;-1.201629639E-2
9.047546420E-1;4.931524396E-3;8.568406105E-3;-7.259368896E-3
9.227981600E-1;-9.659588337E-3;8.656978607E-3;-7.273674011E-3
9.408355750E-1;2.243071795E-4;8.640050888E-3;2.304077148E-3
9.588766520E-1;1.917779446E-5;1.340436935E-2;-7.266998291E-3
9.769093660E-1;-1.617968082E-4;3.924965858E-3;-7.283210754E-3
9.949471470E-1;-3.441870213E-4;8.478641510E-3;-2.467155457E-3
1.012987674E0;-3.652125597E-4;3.463387489E-3;-7.221221924E-3
1.031027104E0;4.457637668E-3;8.124589920E-3;-7.203102112E-3
1.049067020E0;3.920495510E-3;8.268713951E-3;-7.230758667E-3
1.067107059E0;-6.031140685E-3;8.412003517E-3;-7.255554199E-3
1.085150211E0;-5.854263902E-3;8.343338966E-3;-7.244110107E-3
1.103178776E0;-1.091042161E-2;3.650069237E-3;-2.474784851E-3
1.121221073E0;1.315923035E-2;-1.309871674E-3;-7.234573364E-3
1.139263187E0;-6.416618824E-3;8.191227913E-3;-7.229804993E-3
1.157295658E0;-2.072662115E-3;-1.233577728E-3;-2.471923828E-3
1.175332218E0;-6.878405809E-3;8.211493492E-3;-7.239341736E-3
1.193374943E0;2.958700061E-3;1.292502880E-2;2.345085144E-3
1.211412296E0;-1.734703779E-3;3.444790840E-3;2.333641052E-3
1.229451969E0;-6.915390491E-3;3.373742104E-3;-1.201820374E-2
1.247494022E0;3.120750189E-3;7.927298546E-3;-2.408027649E-3
1.265512150E0;2.912074327E-3;-1.655697823E-3;2.375602722E-3
1.283567691E0;2.971857786E-3;7.791638374E-3;-7.177352905E-3
1.301604068E0;-6.710961461E-3;7.934331894E-3;-7.198333740E-3
1.319644718E0;-2.122879028E-3;-1.540064812E-3;6.544113159E-3
1.337669620E0;2.917990088E-3;7.959723473E-3;-2.415657043E-3
1.355719547E0;-6.484597921E-3;3.159999847E-3;1.775741577E-3
1.373759708E0;3.038004041E-3;3.199458122E-3;1.770019531E-3
1.391797001E0;-2.114756405E-2;8.074998856E-3;1.753807068E-3
1.409825382E0;-2.060830593E-3;3.167033195E-3;1.770019531E-3
1.427874820E0;2.552911639E-3;7.881045341E-3;-2.409934998E-3
1.445909855E0;-2.020120621E-3;7.864356041E-3;1.135444641E-2
1.463947940E0;7.345870137E-3;-1.717686653E-3;6.567955017E-3
1.481986759E0;-1.205340028E-2;7.889866829E-3;-3.012657166E-3
1.500019169E0;6.876051426E-3;7.926940918E-3;2.363204956E-3
1.518068729E0;-2.497911453E-3;7.800579071E-3;-3.000259399E-3
1.536100833E0;-2.872273326E-3;7.943391800E-3;1.760482788E-3
1.554138920E0;-3.093376756E-3;3.195047379E-3;1.751899719E-3
1.572181339E0;-8.166030049E-3;1.279771328E-2;2.341270447E-3
1.590220707E0;-3.539368510E-3;8.208513260E-3;1.713752747E-3
1.608260929E0;-8.429020643E-3;1.302754879E-2;1.127910614E-2
1.626292850E0;1.022398472E-3;1.306009293E-2;6.487846375E-3
1.644334110E0;-8.693233132E-3;8.258104324E-3;6.487846375E-3
1.662373783E0;-3.802493215E-3;3.349781036E-3;1.720428467E-3
1.680413700E0;1.239106059E-3;8.116364479E-3;2.325057983E-3
1.698452641E0;-3.934279084E-3;3.422141075E-3;1.127910614E-2
1.716488102E0;8.205324411E-4;1.280856133E-2;-2.453804016E-3
1.734514286E0;-1.364274323E-2;8.110880852E-3;-3.065109253E-3
1.752567325E0;9.641498327E-4;-1.419901848E-3;1.128959656E-2
1.770604251E0;-8.934289217E-3;8.132457733E-3;6.502151489E-3
1.788644474E0;-4.088997841E-3;3.385782242E-3;6.497383118E-3
1.806678715E0;-3.830775619E-3;7.992148399E-3;1.131153107E-2
1.824716495E0;-8.377417922E-3;3.134608269E-3;6.539344788E-3
1.842759464E0;1.323685050E-3;7.952451706E-3;1.751899719E-3
1.860796756E0;-8.120059967E-3;3.152847290E-3;1.754760742E-3
1.878837833E0;-3.385663033E-3;7.760047913E-3;6.565093994E-3
1.896870365E0;-8.119553328E-3;3.012418747E-3;6.560325623E-3
1.914908817E0;-3.338664770E-3;3.050208092E-3;6.553649902E-3
1.932951969E0;-8.087828755E-3;1.270413399E-2;-3.027915955E-3
1.950987064E0;-3.265276551E-3;7.797122002E-3;6.561279297E-3
1.969029239E0;-2.511277795E-3;2.841949463E-3;6.595611572E-3
1.987068546E0;-7.036715746E-3;2.672195435E-3;1.619434357E-2
2.005101200E0;2.726793289E-3;2.501010895E-3;1.143455505E-2
2.023141117E0;-2.398058772E-3;2.650380135E-3;6.623268127E-3
2.041182255E0;-2.591758966E-3;1.236283779E-2;6.601333618E-3
2.059222293E0;-7.384121418E-3;1.229131222E-2;1.825332642E-3
2.077259891E0;-1.232595742E-2;2.816915512E-3;1.810073853E-3
2.095293827E0;2.398684621E-3;2.753615379E-3;6.608963013E-3
2.113328372E0;-7.087007165E-3;7.469177246E-3;-2.950668335E-3
2.131371586E0;2.203032374E-3;7.508277893E-3;6.610870361E-3
