"event","experiment time","system time","system time text"
"START",0.000000000E0,1723310501.346,"2024-08-10 19:21:41.346 UTC+02:00"
"PAUSE",2.333732775E1,1723310524.683,"2024-08-10 19:22:04.683 UTC+02:00"
