"event","experiment time","system time","system time text"
"START",0.000000000E0,1720956055.827,"2024-07-14 13:20:55.827 UTC+02:00"
"PAUSE",1.784973380E1,1720956073.677,"2024-07-14 13:21:13.677 UTC+02:00"
