"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.904162750E-1,-4.297003150E-3,-2.287292480E-2,-9.012889862E-2,9.308519373E-2
3.954211580E-1,-1.551477611E-2,-1.035976410E-2,-1.782941818E-2,2.580544793E-2
4.003955230E-1,3.642380238E-3,-1.674747467E-2,-3.557443619E-2,3.948778737E-2
4.054004060E-1,1.771479845E-2,-3.230190277E-2,-8.550071716E-2,9.309994437E-2
4.104052890E-1,1.994752884E-2,-1.492118835E-2,-8.545970917E-2,8.901633367E-2
4.153796540E-1,5.009450018E-2,-4.218959808E-2,-3.425884247E-2,7.391271489E-2
4.203845370E-1,2.830699086E-2,7.965087891E-3,-9.135246277E-2,9.596874914E-2
4.253894200E-1,3.961715102E-2,3.470420837E-3,-7.038211823E-2,8.084061505E-2
4.303637850E-1,3.207744658E-2,-1.029872894E-2,-1.128821373E-1,1.178023910E-1
4.353686680E-1,-9.427666664E-4,-5.073547363E-4,-9.630966187E-2,9.631561237E-2
4.403735500E-1,1.579606533E-2,-4.910469055E-3,-5.209875107E-2,5.466176222E-2
4.453784330E-1,2.998036146E-2,-6.914138794E-3,-9.282970428E-2,9.779561026E-2
4.503527980E-1,8.800402284E-3,1.908397675E-2,-6.984329224E-2,7.293648414E-2
4.553576810E-1,2.290180326E-2,-6.812095642E-3,-4.265737534E-2,4.889323992E-2
4.603320470E-1,-2.166563272E-2,-1.819992065E-2,-9.308195114E-2,9.728764763E-2
4.653369290E-1,9.473428130E-3,-1.999759674E-2,-3.270769119E-2,3.948978069E-2
4.703418120E-1,3.778636456E-4,3.974914551E-3,-1.183729172E-1,1.184402391E-1
4.753466950E-1,3.353303671E-2,-1.926994324E-2,-1.324415207E-1,1.379730106E-1
4.803515780E-1,-8.792817593E-3,6.995201111E-3,-1.112332344E-1,1.117992796E-1
4.853259430E-1,1.987326145E-2,-4.626274109E-3,-8.104991913E-2,8.357893469E-2
4.903308260E-1,-1.505944133E-2,-3.709030151E-2,-6.304073334E-2,7.467671189E-2
4.953357090E-1,-2.130357921E-2,-1.277256012E-2,-1.131796837E-1,1.158732997E-1
5.003405910E-1,6.029307842E-4,-5.441570282E-2,-8.287668228E-2,9.914623899E-2
5.053149570E-1,1.002252102E-3,-5.094242096E-2,-5.077505112E-2,7.193219431E-2
