"event","experiment time","system time","system time text"
"START",0.000000000E0,1725192057.227,"2024-09-01 14:00:57.227 UTC+02:00"
"PAUSE",4.377137066E1,1725192100.999,"2024-09-01 14:01:40.999 UTC+02:00"
