"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.009473670E-1,-4.204919934E-2,-3.463649750E-2,9.091091156E-2,1.059840364E-1
4.059217320E-1,-5.763833225E-2,-5.451869965E-2,4.725790024E-2,9.234595330E-2
4.108960970E-1,-7.765187323E-2,-3.906631470E-2,8.374118805E-2,1.207003601E-1
4.159009800E-1,-6.929400563E-2,-2.168846130E-2,7.688999176E-3,7.301485656E-2
4.208753450E-1,-6.334426999E-2,-4.663372040E-2,5.453109741E-3,7.884755434E-2
4.259107450E-1,-9.009900689E-2,-2.443218231E-2,5.650520325E-3,9.352374541E-2
4.308851110E-1,-1.070122719E-1,-4.928398132E-2,5.483913422E-2,1.299533293E-1
4.358594760E-1,-5.364786088E-2,-1.344680786E-3,5.177354813E-2,7.456809928E-2
4.408643590E-1,-4.100544751E-2,-1.264190674E-2,-2.347183228E-2,4.891003416E-2
4.458387240E-1,-5.898444355E-2,-2.137088776E-2,3.345870972E-2,7.110108775E-2
4.508436070E-1,-4.159116745E-2,-1.357555389E-2,7.999801636E-2,9.118006084E-2
4.558179720E-1,-3.612291813E-2,-1.060390472E-2,8.364677429E-2,9.172835363E-2
4.608228550E-1,-4.936310649E-2,-1.942825317E-2,7.083034515E-2,8.849356529E-2
4.657972200E-1,-3.666657209E-2,-5.531311035E-5,3.723526001E-2,5.225806308E-2
4.707715850E-1,-4.533390701E-2,-1.605701447E-2,-1.206064224E-2,4.958275839E-2
4.757764680E-1,-2.107211947E-2,3.138160706E-2,1.436805725E-2,4.043860222E-2
4.807813510E-1,-3.220924735E-2,-4.365062714E-2,1.926517487E-2,5.756700293E-2
4.857557160E-1,-2.446788549E-2,-2.152538300E-2,4.977226257E-2,5.949199657E-2
4.907300810E-1,-7.078857720E-2,-3.254508972E-2,-6.065559387E-2,9.873857703E-2
4.957349640E-1,-8.692488074E-3,-3.866958618E-2,-3.000736237E-3,3.974796425E-2
5.007093290E-1,-2.491122484E-2,1.620292664E-2,-1.417160034E-2,3.292321690E-2
5.057142120E-1,-3.388209641E-2,-3.520679474E-2,1.231479645E-2,5.039016833E-2
5.107190950E-1,-6.852735579E-2,-1.318454742E-2,-2.721881866E-2,7.490457177E-2
5.156934600E-1,-4.649065435E-2,-1.730823517E-2,-1.930284500E-2,5.323115415E-2
5.206678250E-1,-2.955223620E-2,-1.201629639E-2,-4.435586929E-2,5.463670180E-2
5.256421910E-1,-4.338726401E-2,9.646415710E-3,1.541948318E-2,4.704538741E-2
5.306470740E-1,-6.173171103E-2,-2.060413361E-2,-5.936479568E-2,8.808810042E-2
5.356214390E-1,-1.180867851E-2,-1.529598236E-2,-6.981992722E-2,7.244469753E-2
5.406263220E-1,-5.645428598E-2,-5.939960480E-2,-6.144571304E-2,1.024254612E-1
5.456006870E-1,-3.249303997E-2,-1.842975616E-2,-9.781885147E-2,1.047090314E-1
5.506055700E-1,-3.702628613E-2,-2.028369904E-2,-1.031904221E-1,1.114927689E-1
5.556409700E-1,5.537867546E-3,1.071262360E-2,-9.212684631E-2,9.291277680E-2
5.605848180E-1,-2.766679227E-2,1.312828064E-2,-6.946945190E-2,7.591974641E-2
5.655591830E-1,5.103498697E-4,1.318645477E-2,-1.034636497E-1,1.043018210E-1
5.705640660E-1,-7.513217628E-2,-1.730823517E-2,-1.300015450E-1,1.511450317E-1
5.755384310E-1,-1.583275199E-2,1.132583618E-2,-4.344511032E-2,4.760701851E-2
5.805127960E-1,-4.646623135E-2,-3.090000153E-2,-4.495334625E-2,7.165698912E-2
5.855176790E-1,-6.024414301E-2,3.545665741E-2,-6.297588348E-2,9.408768900E-2
5.904920440E-1,-9.976311028E-2,-1.891136169E-2,-4.789876938E-2,1.122702538E-1
5.954969270E-1,-6.599661708E-2,2.889633179E-4,-4.709339142E-2,8.107665805E-2
6.004712920E-1,-5.148576200E-2,-1.135349274E-2,-1.545190811E-1,1.632661383E-1
6.054761750E-1,-4.177229106E-2,-5.577850342E-2,-8.899974823E-2,1.130359276E-1
6.104505400E-1,-6.976591051E-2,-1.026630402E-2,-6.420898438E-2,9.537018896E-2
6.154249060E-1,-1.282545924E-2,8.852005005E-3,-7.027387619E-2,7.198102578E-2
6.204297880E-1,-4.363164306E-2,-9.914398193E-3,-6.218624115E-2,7.661033974E-2
6.254041540E-1,-6.464995444E-2,-1.903438568E-2,-1.694731712E-1,1.823816883E-1
6.304090360E-1,-8.078236878E-2,1.430892944E-2,-8.258724213E-2,1.164095749E-1
6.353834020E-1,-5.218178034E-2,1.193428040E-2,-7.911300659E-2,9.552085144E-2
6.403882840E-1,-1.040079147E-1,2.604484558E-2,-9.218788147E-2,1.414022128E-1
6.453626500E-1,-1.221952885E-1,2.581787109E-2,-4.400157928E-2,1.324174837E-1
6.503675330E-1,-1.165832579E-1,-3.805541992E-2,-1.447815895E-1,1.897408224E-1
6.553418980E-1,-1.111333519E-1,1.170253754E-2,-1.480498314E-1,1.854894171E-1
6.603467810E-1,-1.317230910E-1,-5.049705505E-3,-2.267122269E-1,2.622497017E-1
6.653211460E-1,-8.839453757E-2,-2.633571625E-2,-2.032957077E-1,2.232404735E-1
6.702955110E-1,-7.375067472E-2,-4.976081848E-2,-1.330375671E-1,1.600446667E-1
6.753003940E-1,-9.001086652E-2,-6.988525391E-3,-1.177020073E-1,1.483393343E-1
6.802747590E-1,-2.844600379E-2,4.577636719E-5,-7.656526566E-2,8.167874345E-2
6.852796420E-1,-7.120269537E-2,3.530406952E-2,-1.748495102E-1,1.920639278E-1
6.902540070E-1,-9.232619405E-2,1.813888550E-3,-1.261372566E-1,1.563266574E-1
6.952588900E-1,-8.264076710E-2,-5.026054382E-2,-1.416311264E-1,1.715080016E-1
7.002332550E-1,-1.391366571E-1,-7.547378540E-3,-1.546268463E-1,2.081476252E-1
7.052076200E-1,-7.023343444E-2,-2.966880798E-3,-1.769399643E-1,1.903924596E-1
7.102125030E-1,-7.981227338E-2,-2.204799652E-2,-1.283841133E-1,1.527697407E-1
7.151868680E-1,-2.568611503E-2,-2.920150757E-2,-1.888074875E-1,1.927712942E-1
7.201917510E-1,-2.872480452E-2,-9.450912476E-4,-1.449580193E-1,1.477796838E-1
7.251661170E-1,-2.708120644E-2,5.805015564E-3,-1.204185486E-1,1.235626027E-1
7.301404820E-1,7.495984435E-3,-1.109027863E-2,-1.079072952E-1,1.087343939E-1
7.351453650E-1,-3.137356043E-2,1.933765411E-2,-1.308989525E-1,1.359881646E-1
7.401197300E-1,-2.038714290E-2,-7.096290588E-3,-1.135644913E-1,1.155979525E-1
7.451246130E-1,-2.370193601E-2,1.388454437E-2,-1.364989281E-1,1.392354829E-1
7.500989780E-1,-2.929584682E-2,1.574897766E-2,-5.079460144E-2,6.071547145E-2
7.551038610E-1,-2.532610297E-2,1.060485840E-3,-7.912969589E-2,8.309058246E-2
