"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.876129270E-1,-7.481814176E-2,1.631259918E-2,7.777023315E-2,1.091424042E-1
6.925872930E-1,-7.775047421E-2,-5.682659149E-2,5.353450775E-2,1.101832168E-1
6.975616580E-1,-6.178012863E-2,1.450538635E-2,8.302688599E-3,6.400097784E-2
7.025665410E-1,-4.830155894E-2,-2.804183960E-2,9.310960770E-2,1.085761687E-1
7.075409060E-1,-6.323940307E-2,-1.124572754E-2,4.980516434E-2,8.127879725E-2
7.125152710E-1,-7.093369961E-2,7.786750793E-3,4.940700531E-2,8.679444338E-2
7.174896360E-1,-5.732081458E-2,-2.519416809E-2,9.150981903E-2,1.108804260E-1
7.224640020E-1,-1.122655421E-1,-2.249717712E-2,1.532125473E-2,1.155180323E-1
7.274383670E-1,-3.704279289E-2,2.258396149E-2,1.997232437E-2,4.776083712E-2
7.324127320E-1,-4.510715604E-2,3.553390503E-3,1.071057320E-1,1.162708903E-1
7.374176150E-1,-4.602511972E-2,8.283615112E-3,6.136703491E-2,7.715466868E-2
7.423919800E-1,-6.820062548E-2,-1.533603668E-2,6.558275223E-2,9.585205645E-2
7.473663450E-1,-8.075280488E-2,-2.693080902E-2,1.924653053E-1,2.104499411E-1
7.524017460E-1,-5.775853619E-2,1.684188843E-3,4.928016663E-2,7.594353045E-2
7.573150760E-1,-7.279235125E-2,8.791923523E-3,9.136819839E-2,1.171502113E-1
7.622894410E-1,-6.175236031E-2,-4.077339172E-2,8.828973770E-2,1.151993978E-1
7.672638060E-1,-9.799504280E-2,-4.920005798E-3,1.112532616E-1,1.483392163E-1
7.722686890E-1,-6.549972296E-2,-7.093429565E-3,1.843929291E-2,6.841445734E-2
7.772430540E-1,-6.635314226E-2,2.381229401E-2,3.500652313E-2,7.870972936E-2
7.822174200E-1,-7.665984333E-2,1.197433472E-2,4.907703400E-2,9.180779671E-2
7.871917850E-1,-6.798200309E-2,2.148056030E-2,5.595159531E-2,9.062862811E-2
7.921661500E-1,-4.519983381E-2,-2.336502075E-2,6.987714767E-2,8.643937146E-2
7.971405150E-1,-6.745252013E-2,-3.474998474E-2,7.665586472E-2,1.078588221E-1
8.021453980E-1,-6.583743542E-2,-3.895664215E-2,5.269193649E-2,9.289040877E-2
8.071197630E-1,-5.711533874E-2,1.822566986E-2,6.194829941E-2,8.620863507E-2
8.120941290E-1,-6.264905632E-2,1.825904846E-2,2.625131607E-2,7.033796061E-2
8.170684940E-1,-7.521848381E-2,1.748085022E-3,6.636428833E-2,1.003249464E-1
8.220428590E-1,-6.407765299E-2,-3.349018097E-2,1.410627365E-2,7.366494954E-2
8.270477420E-1,-6.013018638E-2,4.763603210E-3,6.145381927E-2,8.610983180E-2
8.320221070E-1,-4.205854237E-2,-2.573871613E-2,1.164817810E-2,5.066638479E-2
8.369964720E-1,-9.967563301E-2,-3.942394257E-2,-4.005336761E-2,1.144279307E-1
8.419708380E-1,-7.657381892E-2,3.674602509E-2,1.023054123E-2,8.554813895E-2
8.469452030E-1,-5.599930137E-2,1.336097717E-3,5.773591995E-2,8.044341716E-2
8.519195680E-1,-2.849994600E-2,-1.255416870E-2,1.039695740E-2,3.283216101E-2
8.569244510E-1,-6.498943269E-2,1.380252838E-2,5.787658691E-2,8.811262943E-2
8.618988160E-1,-2.807456255E-2,2.809524536E-2,5.061578751E-2,6.433880492E-2
8.668731810E-1,-5.524742603E-2,3.280735016E-2,1.978397369E-2,6.723098930E-2
8.718475470E-1,-4.208432138E-2,-4.990577698E-3,-2.492904663E-2,4.916760455E-2
8.768219120E-1,-5.497163534E-2,-2.324104309E-3,-4.563903809E-2,7.148569053E-2
8.817962770E-1,-4.650658369E-2,-6.761550903E-3,2.352476120E-2,5.255468853E-2
8.867706420E-1,-1.458231360E-2,-1.352310181E-2,2.365684509E-2,3.090573526E-2
8.917755250E-1,-3.957774490E-2,-1.314544678E-2,1.198625565E-2,4.339206133E-2
8.967498900E-1,-6.436494738E-2,1.319408417E-2,3.345918655E-2,7.373226887E-2
9.017242560E-1,-2.993162721E-2,1.564979553E-3,3.825473785E-2,4.859811145E-2
9.066986210E-1,-2.883829176E-2,-9.966850281E-3,-6.561756134E-3,3.120964306E-2
9.116729860E-1,-6.087267399E-2,-4.738998413E-2,4.575252533E-2,8.969161950E-2
9.166473510E-1,-1.478686929E-2,2.839088440E-3,-2.039670944E-2,2.535227174E-2
9.216522340E-1,-5.871631950E-2,5.460739136E-3,2.733898163E-2,6.499881356E-2
9.266265990E-1,-3.045216203E-3,-2.258777618E-2,2.515363693E-2,3.394387169E-2
9.316009640E-1,-6.845936179E-3,-3.385925293E-2,2.065134048E-2,4.024666092E-2
9.365753300E-1,-3.429138660E-2,-2.606391907E-3,-9.855747223E-3,3.577468696E-2
9.415496950E-1,4.581980407E-3,-2.301216125E-3,1.654434204E-2,1.732066378E-2
9.465240600E-1,-3.949363530E-2,3.345012665E-2,1.208782196E-2,5.314859962E-2
9.515289430E-1,-6.439844519E-2,-2.079582214E-2,2.655649185E-2,7.269713351E-2
9.565033080E-1,-2.774547786E-2,-6.135940552E-3,-1.575136185E-2,3.248948611E-2
9.614776730E-1,6.307110190E-3,-3.400802612E-3,1.074886322E-2,1.291832644E-2
9.664520390E-1,-7.135003805E-3,8.753776550E-3,-1.726484299E-2,2.063035837E-2
9.714264040E-1,-2.287662029E-2,6.643295288E-3,1.396894455E-2,2.761529540E-2
9.764007690E-1,-1.250117272E-2,2.579593658E-2,-2.823543549E-2,4.023617130E-2
9.814056520E-1,-2.106651664E-2,-5.912780762E-5,-3.990173340E-3,2.144115441E-2
9.863800170E-1,-1.305560023E-2,-2.056121826E-3,-1.766681671E-2,2.206338022E-2
9.913543820E-1,-3.819901496E-2,4.321479797E-2,2.547550201E-2,6.305303094E-2
9.963287480E-1,-4.666001350E-2,-3.973007202E-3,2.338266373E-2,5.234205392E-2
1.001303113E0,-1.022507995E-2,5.845069885E-3,7.092952728E-3,1.374871196E-2
1.006277478E0,-1.660885662E-2,-9.422302246E-4,-1.142215729E-2,2.017938535E-2
1.011282361E0,-1.347907633E-2,-5.270957947E-3,-3.681182861E-2,3.955476232E-2
1.016256726E0,-1.037915796E-2,1.169872284E-2,1.357030869E-2,2.070604535E-2
1.021231091E0,9.153991938E-3,-1.164245605E-2,-4.746389389E-2,4.972085654E-2
1.026205457E0,-2.574869245E-2,2.960205078E-3,-4.664087296E-2,5.335849517E-2
1.031179822E0,-1.547929645E-2,-3.763198853E-3,-3.283500671E-3,1.626504414E-2
1.036154187E0,1.352977753E-2,1.372337341E-3,1.846885681E-2,2.293549349E-2
1.041159070E0,1.160797477E-2,-1.477813721E-2,-2.369260788E-2,3.024033872E-2
1.046133435E0,-2.039045095E-3,-7.190704346E-3,-4.190111160E-2,4.256250800E-2
1.051107800E0,-1.556707174E-2,2.655029297E-3,3.441429138E-2,3.786457915E-2
1.056143201E0,-1.486287266E-2,3.128719330E-2,-1.031494141E-2,3.614127093E-2
1.061056531E0,-1.179827005E-2,1.008129120E-2,5.387926102E-2,5.606965646E-2
1.066030896E0,2.430160344E-2,3.219604492E-3,-5.005645752E-2,5.573672687E-2
1.071035779E0,-6.271046400E-2,3.518104553E-3,-2.090692520E-2,6.619727242E-2
1.076010144E0,-2.666324377E-3,2.269649506E-2,1.744031906E-2,2.874725904E-2
1.080984509E0,1.674321294E-2,2.991199493E-2,-3.187322617E-2,4.680774687E-2
1.085958875E0,5.772262812E-4,2.054309845E-2,6.564617157E-3,2.157420410E-2
1.090933240E0,5.062195659E-2,-7.652282715E-3,2.341222763E-2,5.629629048E-2
1.095907605E0,2.235698700E-2,4.934883118E-2,-6.377029419E-2,8.367671377E-2
1.100912488E0,6.158426404E-3,-1.449203491E-2,2.212190628E-2,2.715371115E-2
1.105886853E0,-3.355950117E-2,3.552341461E-2,-5.984783173E-3,4.923383729E-2
1.110861218E0,2.378031611E-2,1.898670197E-2,-7.942199707E-3,3.144959177E-2
1.115835584E0,3.102052212E-2,5.683994293E-2,-4.770326614E-2,8.042793983E-2
1.120809949E0,3.343966603E-2,4.676818848E-3,-4.700326920E-2,5.787392516E-2
1.125784314E0,3.114289045E-2,4.264926910E-2,-5.575132370E-2,7.679225140E-2
1.130789197E0,2.886733413E-2,4.749298096E-3,-5.500793457E-2,6.230370517E-2
1.135763562E0,-8.890450001E-3,3.563880920E-2,-1.175642014E-2,3.856654298E-2
1.140737927E0,1.733076572E-2,3.092193604E-2,-4.196596146E-2,5.493326396E-2
1.145712293E0,-1.567152143E-2,7.358551025E-3,-1.999235153E-2,2.644690864E-2
1.150686658E0,-2.003270388E-2,1.229858398E-2,-6.432390213E-2,6.848451488E-2
1.155661023E0,2.281963825E-2,-1.114845276E-2,1.207828522E-2,2.812310194E-2
1.160665906E0,-2.442505956E-2,2.695560455E-2,-5.145168304E-2,6.301161670E-2
1.165640271E0,-2.781361341E-3,3.169345856E-2,-7.432603836E-2,8.084906471E-2
1.170614636E0,1.162050664E-2,5.684852600E-3,-9.694576263E-3,1.616596835E-2
1.175589002E0,2.276971936E-3,1.097679138E-3,-4.243469238E-2,4.250991200E-2
1.180563367E0,1.900827885E-2,5.991935730E-3,1.243925095E-2,2.349367835E-2
1.185568250E0,-6.832063198E-3,2.501106262E-2,-6.297302246E-2,6.810162919E-2
1.190542615E0,-2.540284395E-2,3.440761566E-2,-5.752515793E-2,7.168216160E-2
1.195516980E0,-3.915415704E-2,2.011966705E-2,-7.100772858E-2,8.354607432E-2
1.200491345E0,-2.914012969E-2,4.135990143E-2,-7.493638992E-2,9.041709539E-2
1.205465711E0,-1.207695901E-2,2.463436127E-2,-8.829975128E-2,9.246378086E-2
1.210440076E0,-3.299544752E-2,2.927303314E-2,-5.672597885E-2,7.185712701E-2
1.215444959E0,-2.074150741E-2,5.546569824E-3,-7.026481628E-2,7.347189241E-2
1.220419324E0,-3.691200912E-2,1.742553711E-2,-3.432273865E-3,4.096249827E-2
1.225393689E0,-2.935673296E-2,7.960319519E-3,-1.977491379E-2,3.627990728E-2
1.230398572E0,-4.315942526E-2,1.273727417E-2,-4.306221008E-2,6.228425226E-2
1.235372937E0,-1.676893234E-2,1.275253296E-2,-8.268117905E-2,8.532292516E-2
1.240347302E0,-1.424889266E-2,-1.319885254E-2,-9.364318848E-2,9.563622430E-2
1.245321668E0,-2.357803285E-2,5.875587463E-3,-5.499267578E-2,6.012188080E-2
1.250265515E0,1.914267242E-2,3.657436371E-2,-6.626224518E-2,7.806927132E-2
1.255239881E0,-4.000185430E-2,5.995655060E-2,-5.616760254E-2,9.137688921E-2
1.260214246E0,-1.612487435E-2,1.938724518E-2,-4.618120193E-2,5.261730001E-2
1.265219129E0,-3.740885854E-2,-2.090454102E-2,-5.523777008E-2,6.991161403E-2
1.270193494E0,-4.241451621E-3,2.407932281E-2,-6.190872192E-2,6.656195272E-2
1.275167859E0,-3.270493448E-2,2.383804321E-2,-4.019737244E-2,5.704115877E-2
1.280142224E0,4.830807447E-4,-2.367019653E-3,-9.420585632E-2,9.423682674E-2
1.285116589E0,-2.559395134E-2,1.411628723E-2,-2.504062653E-2,3.848834742E-2
1.290090955E0,-1.136417687E-2,4.228496552E-2,-8.389568329E-2,9.463428818E-2
1.295095838E0,-4.920634627E-2,3.957176208E-2,-4.542636871E-2,7.778652738E-2
1.300070203E0,-2.771840990E-2,3.793716431E-3,-6.162118912E-2,6.767476250E-2
1.305044568E0,-3.471615911E-2,4.141139984E-2,-8.250427246E-2,9.862591300E-2
1.310018933E0,-2.277112007E-2,2.676391602E-2,-9.851789474E-2,1.045973551E-1
1.314993298E0,-6.204262376E-3,2.642154694E-2,-1.096515656E-1,1.129604216E-1
1.319967664E0,-3.224563599E-2,1.189804077E-2,-1.112761497E-1,1.164634102E-1
1.324972547E0,-2.972972393E-2,2.346038818E-2,-3.262948990E-2,4.998929795E-2
1.329977429E0,-1.312229037E-2,-1.698684692E-2,-3.014993668E-2,3.701035199E-2
1.334951795E0,-3.684695065E-2,-4.234313965E-4,-7.251453400E-2,8.134024039E-2
1.339926160E0,-2.257433534E-2,1.838397980E-2,-5.784749985E-2,6.476036263E-2
1.344900525E0,-3.672197461E-2,1.626014709E-3,-5.038404465E-2,6.236745384E-2
1.349874890E0,-5.550388992E-2,1.801490784E-2,-3.359174728E-2,6.733219279E-2
1.354879773E0,-5.055060983E-2,8.260726929E-3,1.893997192E-3,5.125613123E-2
1.359915173E0,-1.971942186E-2,-1.321697235E-2,-2.193069458E-2,3.231871473E-2
1.364828504E0,-5.731716752E-3,-6.185531616E-3,-2.430677414E-2,2.572805176E-2
1.369802869E0,1.517190039E-2,-2.522182465E-2,-2.907657623E-2,4.137359406E-2
1.374777234E0,-2.780851722E-2,5.493164062E-3,-4.086303711E-2,4.973204483E-2
1.379751599E0,-9.056553245E-3,-4.137039185E-3,-7.649898529E-3,1.255616173E-2
1.384756482E0,-2.823197842E-2,1.457786560E-2,-6.213188171E-2,6.978488014E-2
1.389730847E0,-1.891879737E-2,9.532928467E-3,-4.062080383E-2,4.581317849E-2
1.394705213E0,-1.204907894E-2,3.995800018E-2,-5.100250244E-3,4.204562563E-2
1.399679578E0,-1.704481244E-2,3.993988037E-3,-1.044788361E-1,1.059353801E-1
1.404653943E0,-2.435958385E-2,-1.754760742E-2,4.949951172E-2,5.789222324E-2
1.409658826E0,3.772750497E-3,-1.296520233E-2,-5.513238907E-2,5.676187490E-2
1.414633191E0,-2.738612890E-2,3.409099579E-2,-2.431344986E-2,5.003338779E-2
1.419607556E0,-4.884360731E-2,2.837181091E-3,-7.939815521E-3,4.956599885E-2
1.424581922E0,-1.685872674E-3,2.490997314E-3,-5.076694489E-2,5.085597239E-2
1.429556287E0,1.199176908E-2,1.395034790E-2,-6.018924713E-2,6.293774863E-2
1.434530652E0,1.995176077E-3,6.449699402E-3,-2.229642868E-2,2.329613878E-2
1.439505017E0,1.566210389E-2,8.473396301E-3,3.503799438E-3,1.814873422E-2
1.444509900E0,-1.575517654E-2,2.700138092E-2,-1.340246201E-2,3.401361709E-2
1.449484265E0,1.682256162E-2,3.355407715E-2,-2.310991287E-2,4.407882423E-2
1.454458631E0,1.957684755E-3,1.406669617E-2,4.985713959E-2,5.184051349E-2
1.459432996E0,-2.694159746E-2,4.183769226E-3,-2.885913849E-2,3.970142911E-2
1.464407361E0,-1.315003633E-2,1.464843750E-3,1.346921921E-2,1.888091865E-2
1.469381726E0,-6.560355425E-3,-2.953910828E-2,-5.904197693E-3,3.082947829E-2
1.474356091E0,3.066201508E-2,-2.725696564E-2,3.859376907E-2,5.632566339E-2
1.479360974E0,3.810092807E-3,-1.089286804E-2,-7.079505920E-2,7.172943461E-2
1.484335339E0,-1.337239146E-2,7.718086243E-3,9.600162506E-3,1.818111187E-2
1.489309705E0,7.337287068E-3,-6.834030151E-3,5.160856247E-2,5.257360050E-2
1.494284070E0,3.964680433E-2,-1.182270050E-2,-2.948236465E-2,5.080211774E-2
1.499258435E0,1.267322153E-2,-4.947662354E-3,-3.197479248E-2,3.474877352E-2
1.504232800E0,-7.008790970E-3,1.871109009E-3,4.345321655E-2,4.405458238E-2
1.509207166E0,2.070976794E-2,6.233215332E-3,-6.907463074E-3,2.270375536E-2
1.514212048E0,2.938019484E-2,2.235984802E-2,3.284978867E-2,4.941930056E-2
1.519186414E0,4.981041700E-2,-2.061939240E-2,2.275753021E-2,5.851617012E-2
1.524160779E0,3.225625306E-2,2.884101868E-2,3.638076782E-2,5.653167685E-2
1.529135144E0,6.676082313E-2,-1.417255402E-2,3.185272217E-4,6.824932419E-2
1.534109509E0,5.142626166E-2,3.993511200E-2,2.590560913E-2,7.007548889E-2
1.539083875E0,4.568141699E-2,1.510620117E-3,6.541776657E-2,7.980324564E-2
1.544088757E0,2.343663573E-2,-1.771163940E-2,-1.106929779E-2,3.139279246E-2
1.549063123E0,3.442867845E-2,-1.342773438E-3,2.877569199E-2,4.489072721E-2
1.554037488E0,3.829286993E-2,-2.760028839E-2,-2.613401413E-2,5.395467080E-2
1.559011853E0,4.209954292E-2,6.332397461E-4,3.269529343E-2,5.330811119E-2
1.563986218E0,8.125781268E-2,-3.510379791E-2,1.333236694E-3,8.852618974E-2
1.568991101E0,4.218211025E-2,3.097915649E-2,5.287504196E-2,7.439629443E-2
1.573965466E0,2.467488497E-2,-2.498626709E-4,6.624650955E-2,7.069308600E-2
1.578939832E0,6.630775332E-2,4.170417786E-3,9.128427505E-2,1.129023003E-1
1.583914197E0,3.909242898E-2,-3.249168396E-3,5.946063995E-2,7.123442147E-2
1.588888562E0,3.325806558E-2,-1.145362854E-3,1.459560394E-1,1.497016240E-1
1.593893445E0,4.864704609E-2,-1.326465607E-2,8.296346664E-2,9.708461769E-2
1.598867810E0,2.616947889E-2,-6.416320801E-3,8.892822266E-2,9.292060903E-2
1.603842175E0,5.350723118E-2,2.757072449E-3,6.654214859E-2,8.543115811E-2
1.608816541E0,4.048786312E-2,7.152557373E-3,4.672813416E-2,6.224102071E-2
1.613790906E0,4.876565188E-2,-1.205539703E-2,1.286339760E-1,1.380946095E-1
1.618765271E0,2.392657101E-2,2.080917358E-2,8.472299576E-2,9.046263602E-2
1.623770154E0,2.528086305E-2,-1.271629333E-2,1.025242805E-1,1.063581415E-1
1.628744519E0,4.558409005E-2,-1.761436462E-2,1.249260902E-1,1.341443369E-1
1.633718884E0,7.049044222E-2,1.174926758E-3,5.985116959E-2,9.247943229E-2
1.638693250E0,5.740061402E-2,-1.085948944E-2,7.324171066E-2,9.368621661E-2
1.643667615E0,5.855771899E-2,-1.337146759E-2,7.941389084E-2,9.957092275E-2
1.648672498E0,4.787792265E-2,-1.701354980E-3,1.114993095E-1,1.213560304E-1
1.653646863E0,5.858751386E-2,-1.948356628E-3,4.415035248E-2,7.338628277E-2
1.658621228E0,6.212077290E-2,-6.895065308E-3,5.713462830E-3,6.276285533E-2
1.663656629E0,4.906632006E-2,1.416301727E-2,1.068663597E-1,1.184420266E-1
1.668600476E0,7.630855590E-2,1.614570618E-2,6.316280365E-2,1.003654288E-1
1.673574841E0,2.306049317E-2,-1.963806152E-2,5.289411545E-2,6.095266405E-2
1.678549207E0,5.287541449E-2,-1.497459412E-2,9.702968597E-2,1.115114698E-1
1.683523572E0,4.941418767E-2,-1.503181458E-2,1.172428131E-1,1.281155518E-1
1.688497937E0,3.179848194E-2,-3.265380859E-3,9.954452515E-2,1.045510337E-1
1.693472302E0,1.899965107E-2,-4.825115204E-2,6.074810028E-2,7.987172279E-2
1.698477185E0,6.295101345E-2,1.579284668E-3,7.423114777E-2,9.734262958E-2
1.703451550E0,1.920567453E-2,-3.396511078E-2,1.017918587E-1,1.090140779E-1
1.708425916E0,4.186948389E-2,-7.572174072E-4,5.594587326E-2,6.988252853E-2
1.713400281E0,5.964349955E-2,-1.033592224E-2,7.183027267E-2,9.393490512E-2
1.718374646E0,1.823550463E-2,-9.107589722E-4,7.110929489E-2,7.341590380E-2
1.723379529E0,2.430754155E-2,-3.307342529E-3,7.047080994E-2,7.461856434E-2
1.728353894E0,4.213721305E-2,-1.988697052E-2,1.193590164E-1,1.281312262E-1
1.733328259E0,8.240714669E-4,-1.986408234E-2,5.445671082E-2,5.797235732E-2
1.738302625E0,4.960159957E-2,-4.344654083E-2,7.271385193E-2,9.815918120E-2
1.743276990E0,2.246608585E-2,-1.011943817E-2,6.492948532E-2,6.944757812E-2
1.748251355E0,7.341563702E-2,-2.896213531E-2,2.185201645E-2,8.189121848E-2
1.753256238E0,5.882278085E-3,-7.498741150E-3,8.066272736E-2,8.122381362E-2
