"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
6.139354138E1;5.104966126E1;1.377817818E1;1.143302486E2;5.752495289E0;2.927082825E2;4.790194511E0;3.000000000E0
6.239354738E1;5.104967829E1;1.377810378E1;1.140293769E2;5.845099926E0;2.722284851E2;4.684949875E0;3.000000000E0
6.339356738E1;5.104965948E1;1.377802275E1;1.137575486E2;5.554946899E0;2.443348541E2;4.795563221E0;3.000000000E0
6.439359838E1;5.104963135E1;1.377795385E1;1.137300879E2;5.490744591E0;2.250027313E2;4.642512798E0;3.000000000E0
6.539379638E1;5.104958690E1;1.377790627E1;1.137786216E2;5.626947880E0;2.103264008E2;4.887901783E0;3.000000000E0
6.639365238E1;5.104954294E1;1.377786994E1;1.138257348E2;5.728168488E0;2.106295166E2;5.972427845E0;3.000000000E0
6.739367138E1;5.104949591E1;1.377783375E1;1.140269724E2;5.829204082E0;2.122900696E2;5.972709179E0;3.000000000E0
6.839368038E1;5.104944828E1;1.377779306E1;1.142500600E2;5.878552914E0;2.163773499E2;5.972990990E0;3.000000000E0
6.939369838E1;5.104939963E1;1.377774822E1;1.143718334E2;5.846409321E0;2.193755798E2;4.885111809E0;3.000000000E0
7.039372238E1;5.104935730E1;1.377770083E1;1.144991754E2;5.813363075E0;2.210494385E2;6.603926659E0;3.000000000E0
7.139373138E1;5.104931078E1;1.377765256E1;1.145736065E2;5.784735680E0;2.162422485E2;5.910180092E0;3.000000000E0
7.239374938E1;5.104926631E1;1.377760955E1;1.145749953E2;5.733053684E0;2.144846191E2;4.621381283E0;3.000000000E0
7.339376138E1;5.104921987E1;1.377756528E1;1.146423921E2;6.014937878E0;2.153816071E2;5.297357559E0;3.000000000E0
7.439378338E1;5.104917321E1;1.377751579E1;1.149035201E2;5.858435154E0;2.284286499E2;5.156375885E0;3.000000000E0
7.539380438E1;5.104914605E1;1.377743540E1;1.145543715E2;5.624419212E0;2.421615448E2;4.056190968E0;3.000000000E0
7.639382038E1;5.104913757E1;1.377734757E1;1.146502698E2;5.728245258E0;2.594307861E2;4.722265244E0;3.000000000E0
7.739383838E1;5.104914219E1;1.377725722E1;1.147056775E2;5.796914101E0;2.753918152E2;4.276908875E0;3.000000000E0
7.839387638E1;5.104915100E1;1.377716799E1;1.146797983E2;6.013991833E0;2.893594666E2;4.616039753E0;3.000000000E0
