"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1740727386.806;"2025-02-28 08:23:06.806 UTC+01:00"
"PAUSE";1.180691954E3;1740728567.498;"2025-02-28 08:42:47.498 UTC+01:00"
