"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1741020575.042;"2025-03-03 17:49:35.042 UTC+01:00"
"PAUSE";9.717470643E2;1741021546.789;"2025-03-03 18:05:46.789 UTC+01:00"
