"event","experiment time","system time","system time text"
"START",0.000000000E0,1720957422.864,"2024-07-14 13:43:42.864 UTC+02:00"
"PAUSE",1.794477213E1,1720957440.808,"2024-07-14 13:44:00.808 UTC+02:00"
